#property,latitude,longitude,name,address,telephoneNumber,referenceObject,note
1,34.35406306,134.02000639,高松市食肉センター,高松市郷東町587-197,087-832-8060,,
2,34.35406306,134.02003417,高松市食肉衛生検査所,高松市郷東町587-197,087-832-8010,http://www.city.takamatsu.kagawa.jp/3393.html,
