#property,areaCode,areaNumber,confidential,confidentialInformation,totalArea,cityCode,cityName,townName,numberOfBusinessFacilities,businessFacilityBuildingArea,totalFloorAreaOfBusinessFacilities,numberOfCommercialFacilities,commercialFacilityBuildingArea,TotalFloorAreaOfCommercialFacilities,NumberOfAccommodationFacilities,AccommodationBuildingArea,AccommodationTotalFloorArea,NumberOfCommercialComplexFacilities,CommercialComplexBuildingArea,TotalFloorAreaOfCommercialComplex,NumberOf Houses,ResidentialBuildingArea,TotalFloorAreaOfTheHouse,numberOfApartmentBuildings
143,37201090004,3,,,,37201,高松市,木太町４区,17,3015.57,6274.56,19,4245.01,6862.57,8,4652.08,12839.8,,,,270,24372.94,57316.39,19
144,37201090005,3,,,,37201,高松市,木太町５区,9,1626.2,3261.22,16,10052.02,21555.48,,,,,,,136,9757.6,21797.88,12
145,37201090006,3,,,,37201,高松市,木太町６区,29,3850.39,7186.47,34,14547.58,17845.04,18,4895.39,14732.04,,,,750,57814.77,129980.01,67
146,37201090007,3,,,,37201,高松市,木太町７区,15,1416.11,2329.98,15,975,1489.67,,,,,,,1901,133489.49,218481.43,85
147,37201090008,3,,,,37201,高松市,木太町８区,17,1312.18,2787.2,17,2758.94,3794.99,,,,,,,1065,81161.7,128719.21,38
148,37201090009,3,,,,37201,高松市,木太町９区,27,2902.9,4730.25,24,7505.52,9144.27,,,,,,,1251,93167.09,145949.63,50
149,372010910,2,,,,37201,高松市,春日町,82,15523.81,43074.06,73,24254.5,57483.73,7,1545.84,5347.12,,,,1456,129216.8,184549.05,79
150,372010920,2,,,,37201,高松市,新田町,44,6826.32,14729.35,34,10190.13,11464.86,1,1973.64,4628.36,,,,1992,171835.48,227384.68,24
151,37201093100,3,,,,37201,高松市,高松町,45,8197.42,14882.99,87,19523.6,31149.3,,,,,,,1801,130658.35,227074.39,60
152,37201093100,3,,,,37201,高松市,高松町,20,1582.91,2297.3,9,790.61,891.35,,,,,,,2711,199671.03,297474.38,55
153,372010940,2,,,,37201,高松市,屋島東町,10,774.16,1457.65,11,1406.49,1493.49,13,2795.37,10108.51,,,,1591,115254.36,166362.99,24
154,372010950,2,,,,37201,高松市,屋島中町,6,561.68,650.06,15,2121.07,2833.17,,,,,,,645,44872.05,71688.69,16
