#property,areaCode,areaNumber,confidential,confidentialInformation,totalArea,cityCode,cityName,townName,numberOfBusinessFacilities,businessFacilityBuildingArea,totalFloorAreaOfBusinessFacilities,numberOfCommercialFacilities,commercialFacilityBuildingArea,TotalFloorAreaOfCommercialFacilities,NumberOfAccommodationFacilities,AccommodationBuildingArea,AccommodationTotalFloorArea,NumberOfCommercialComplexFacilities,CommercialComplexBuildingArea,TotalFloorAreaOfCommercialComplex,NumberOf Houses,ResidentialBuildingArea,TotalFloorAreaOfTheHouse,numberOfApartmentBuildings
29,37201019001,3,,,,37201,高松市,城東町１丁,11,1220.86,4224.78,4,1020.62,3446.79,4,1911.53,14620.26,,,,49,3492.02,8414.04,4
30,37201019002,3,,,,37201,高松市,城東町２丁,7,538.5,1270.76,7,665.8,3515.13,4,373.54,2799.43,,,,45,2678.12,5984.03,2
31,372010200,2,,,,37201,高松市,朝日新町,33,5890.03,13248.85,7,2937.02,8259.2,,,,,,,3,712.94,770.98,
32,372010210,2,,,,37201,高松市,通町,5,523.61,1315.81,5,1297.48,1838.81,2,516.77,3334.38,,,,21,1440.53,5314.21,1
33,372010220,2,,,,37201,高松市,井口町,3,303.54,979.41,4,373.52,914.62,,,,,,,31,2186.86,9049.27,3
34,372010230,2,,,,37201,高松市,末広町,3,264.61,710.97,2,588.94,3578.16,,,,,,,74,4808.86,12694.49,5
35,37201024001,3,,,,37201,高松市,福岡町１丁,2,214.04,735.22,7,618.46,892.11,,,,,,,70,3897.84,10803.63,5
36,37201024002,3,,,,37201,高松市,福岡町２丁,27,5353.35,15177.43,9,1057,1634.23,3,2527.77,10871.77,,,,275,18667.93,49721.88,31
37,37201024003,3,,,,37201,高松市,福岡町３丁,29,5197.88,17514.97,17,14416.21,41942.9,1,89.1,143.64,,,,324,19005.32,35444.48,23
38,37201024004,3,,,,37201,高松市,福岡町４丁,21,3182.26,8833.44,4,428.77,428.77,,,,,,,342,20065.75,35886.66,19
39,37201025001,3,,,,37201,高松市,松福町１丁,13,1850.94,7079.65,,,,,,,,,,225,15214.83,34322.58,17
40,37201025002,3,,,,37201,高松市,松福町２丁,16,2176.42,7143.87,8,1080.43,1671.77,,,,,,,181,10840.92,22615.66,14
41,37201026000,3,,,,37201,高松市,松島町,4,465.08,983.94,1,30.24,30.24,,,,,,,33,2041.78,3241.01,2
42,37201026001,3,,,,37201,高松市,松島町１丁,13,2334.36,9455.33,5,505.25,623.7,,,,,,,128,8313.26,16792.23,9
43,37201026002,3,,,,37201,高松市,松島町２丁,9,790.33,3114.7,15,6743.73,26490.96,,,,,,,235,17349.23,42755.26,22
44,37201026003,3,,,,37201,高松市,松島町３丁,15,1476.77,3489.76,8,2012.95,2681.82,,,,,,,467,27062.85,50721.78,20
45,37201027001,3,,,,37201,高松市,多賀町１丁,7,844.25,2553.59,5,198.77,460.57,,,,,,,119,6258.01,13469.78,13
46,37201027002,3,,,,37201,高松市,多賀町２丁,9,1016.78,4175.33,10,702.44,1644.85,,,,,,,178,10378.08,25219.62,13
47,37201027003,3,,,,37201,高松市,多賀町３丁,10,1001.47,2208.7,6,416.99,732.84,,,,,,,248,14378.43,29384.27,13
48,37201028001,3,,,,37201,高松市,花園町１丁,10,1553.53,4285.3,9,2231.11,3484.11,,,,,,,153,8548.59,21431.83,12
49,37201028002,3,,,,37201,高松市,花園町２丁,6,661.24,1784.16,,,,,,,,,,112,5887.97,11414.66,12
50,37201028003,3,,,,37201,高松市,花園町３丁,,,,,,,,,,,,,119,6568.41,12053.13,10
51,37201029001,3,,,,37201,高松市,観光通１丁,8,2616.8,17296.99,3,444.75,983.68,1,166.76,1400.81,,,,26,2880.09,4765.93,7
52,37201029002,3,,,,37201,高松市,観光通２丁,10,2128.51,9936.03,5,2509.87,6878.79,3,687.44,5646.06,,,,32,2037.5,4545,4
53,372010300,2,,,,37201,高松市,田町,8,1039.46,8069.09,30,3506.59,9678.46,1,465.64,2949.25,,,,83,5328.9,15234.26,6
54,372010310,2,,,,37201,高松市,東田町,4,239.25,1360.7,2,110.82,317.56,,,,,,,59,2778.57,6339.84,4
55,37201032000,3,,,,37201,高松市,藤塚町,,,,2,97.88,548.93,,,,,,,13,603,1351.5,1
56,37201032001,3,,,,37201,高松市,藤塚町１丁,14,3352.27,20184.43,12,1304.53,2607.75,,,,,,,238,14346.31,34368.66,9
57,37201032002,3,,,,37201,高松市,藤塚町２丁,4,441.58,1183.73,8,819.57,1808.16,,,,,,,156,9555.14,32727.28,14
58,37201032003,3,,,,37201,高松市,藤塚町３丁,13,1497.11,5174.32,10,5631.34,9657.02,1,207.49,1637.16,,,,165,10274.78,21890.92,12
59,37201033001,3,,,,37201,高松市,栗林町１丁,10,1188.21,3823.61,18,1904.96,5189.56,4,549.11,4290.19,,,,161,9940.54,31807.68,13
60,37201033002,3,,,,37201,高松市,栗林町２丁,4,925.68,2040.02,10,1046.71,2104.62,1,53.48,106.96,,,,227,14014.13,45965.68,16
61,37201033003,3,,,,37201,高松市,栗林町３丁,6,939.74,2585.58,3,314.6,939.32,,,,,,,177,11673.51,26803.3,12
62,37201034001,3,,,,37201,高松市,桜町１丁目,8,825.16,2323.92,1,151.57,151.57,,,,,,,202,16324.01,41459.55,14
63,37201034002,3,,,,37201,高松市,桜町２丁目,8,970.5,1840.55,5,1646.55,1815.92,,,,,,,187,14854.83,31537.88,14
64,37201035001,3,,,,37201,高松市,楠上町１丁,3,234.37,712.29,1,23.66,23.66,,,,,,,210,13539.48,33084.21,13
65,37201035002,3,,,,37201,高松市,楠上町２丁,1,117,234,,,,,,,,,,69,4903.02,9717.89,7
66,37201036001,3,,,,37201,高松市,花ノ宮町１,9,2145.21,4786.03,3,469.19,1655.54,,,,,,,171,11813.1,24649.49,14
67,37201036002,3,,,,37201,高松市,花ノ宮町２,2,122.85,343.05,3,394.01,589.7,,,,,,,199,15496.72,34669.29,14
68,37201036003,3,,,,37201,高松市,花ノ宮町３,3,150.94,245.2,3,263.89,848.48,,,,,,,106,7495.19,15384.12,9
69,37201037001,3,,,,37201,高松市,上之町１丁,15,2071.97,3510.23,4,1096.61,1567.62,,,,,,,141,11955.93,27008.33,12
70,37201037002,3,,,,37201,高松市,上之町２丁,7,1286.06,3331.59,2,272.2,465.53,,,,,,,272,16326.41,28330.8,20
71,37201037003,3,,,,37201,高松市,上之町３丁,5,854.03,6340.57,4,1217.69,2449.2,,,,,,,149,11107.14,30106.8,10
72,372010380,2,,,,37201,高松市,旅籠町,,,,1,57.11,246.98,,,,,,,6,243.43,620.92,2
73,372010390,2,,,,37201,高松市,中新町,11,3237.3,23010.29,2,589.71,1281.19,1,96.69,193.38,,,,49,3207.5,9015.41,7
74,372010400,2,,,,37201,高松市,天神前,42,11973.32,41347.41,17,1623.78,4667.54,,,,,,,78,4774.58,14568.07,7
75,372010410,2,,,,37201,高松市,中央町,29,4642.83,24127.45,6,686.99,1447.49,1,967.33,8895.51,,,,187,10791.17,27124.9,15
76,372010420,2,,,,37201,高松市,中野町,20,3855.44,27348.01,5,249.38,343.33,4,418.85,1088.59,,,,363,20881.69,47355.91,21
77,372010430,2,,,,37201,高松市,亀岡町,12,1017.06,4029.25,5,330.15,805.13,3,639.73,5192.54,,,,197,10780.5,23390.5,10
78,37201044001,3,,,,37201,高松市,番町１丁目,23,6797.29,55029.93,7,429.58,1765.72,,,,,,,52,3162.47,11078.86,2
79,37201044002,3,,,,37201,高松市,番町２丁目,16,3990.94,15362.46,4,636.41,1430.76,,,,,,,133,10691.63,25116.42,5
80,37201044003,3,,,,37201,高松市,番町３丁目,7,1450.76,8134.59,4,490.28,778.72,,,,,,,164,11456.38,26764.59,9
81,37201044004,3,,,,37201,高松市,番町４丁目,4,192.04,699.93,7,568.29,1089.32,,,,,,,129,9287.85,18726.6,4
82,37201044005,3,,,,37201,高松市,番町５丁目,6,1541.82,3905.57,6,216.89,355.2,,,,,,,66,5034.65,13485.45,6
83,372010450,2,,,,37201,高松市,紫雲町,4,373.3,1028.48,1,17.35,17.35,,,,,,,63,3471.94,6620.08,8
84,372010460,2,,,,37201,高松市,新北町,12,815.25,1639.53,4,339.11,3134.44,,,,,,,366,27167.05,56678.32,22
85,37201047001,3,,,,37201,高松市,宮脇町１丁,15,1132.8,3501.28,16,1898.6,5821.09,,,,,,,546,34127.77,76583.69,30
86,37201047002,3,,,,37201,高松市,宮脇町２丁,10,424.69,870.54,3,644.04,4714.05,2,696.22,2473.17,,,,655,38684.4,76029.23,41
87,37201048001,3,,,,37201,高松市,西宝町１丁,18,3484.04,10170.89,5,1063.7,8650.14,,,,,,,219,13378.33,30924.9,16
88,37201048002,3,,,,37201,高松市,西宝町２丁,3,946.09,5128.26,5,1314.42,2330.89,,,,,,,161,11743.42,31848.42,12
89,37201048003,3,,,,37201,高松市,西宝町３丁,4,566.29,2278.82,4,780.77,1072.48,2,767.45,8508.9,,,,126,6559.28,16286.14,11
90,372010490,2,,,,37201,高松市,茜町,10,1274.06,3235.46,13,3734.27,4396.32,,,,,,,218,21053.89,70867.81,7
91,372010500,2,,,,37201,高松市,西町,5,749.4,1760.61,8,1920.74,2431.59,,,,,,,235,15972.26,31261.09,26
92,372010510,2,,,,37201,高松市,瀬戸内町,20,1513.25,3646.93,8,347.8,531.15,,,,,,,482,24915.01,44276.42,13
93,37201052001,3,,,,37201,高松市,扇町１丁目,6,1427.68,2967.97,10,767.61,1217.5,,,,,,,610,31177.64,60563.76,24
94,37201052002,3,,,,37201,高松市,扇町２丁目,4,576,2323.15,9,4694.82,6736.11,,,,,,,152,9552.48,18580.13,12
95,37201052003,3,,,,37201,高松市,扇町３丁目,6,1018.81,5573.95,4,258.68,855.14,,,,,,,202,9980.11,20081.67,14
96,37201053001,3,,,,37201,高松市,昭和町１丁,5,589.61,1914.98,1,170.01,170.01,,,,,,,152,12154.92,30395.89,17
97,37201053002,3,,,,37201,高松市,昭和町２丁,4,300.88,721.14,1,69.32,207.7,,,,,,,135,8978.85,18233.39,17
98,372010540,2,,,,37201,高松市,幸町,1,49.98,134.57,,,,,,,,,,8,1002.3,2717.05,
99,37201055001,3,,,,37201,高松市,錦町１丁目,33,7166.89,25867.48,6,894.97,2482.35,4,1131.19,3854.07,,,,155,11785.46,35553.82,25
100,37201055002,3,,,,37201,高松市,錦町２丁目,16,3274.58,10999.5,4,353.43,627.25,1,120.45,442.07,,,,252,16483.35,42466.97,15
