"業務種別","施設名称１","施設郵便番号","施設所在地１","施設所在地２","開設者申請者名","開設者役職名","開設者代表者名","開設者都道府県名称","開設者住所１","開設者住所２","開設確認番号","開設確認日"
"美容所","ビューティサロン　ラブリー","760-0017","高松市番町二丁目８−８",,"柳瀬　満知子",,,,,,"第57-15号","S57.07.02"
"美容所","ジュニヤ美容室","761-0311","高松市元山町９０２番地",,"大熊　安代",,,,,,"第57-23号","S57.09.17"
"美容所","レーヌ美容室","761-8084","高松市一宮町２００８−６６",,"麻田　さち子",,,,,,"第57-28号","S57.10.16"
"美容所","しらふじ美容院","761-0130","高松市庵治町５５９９",,"白井　千恵美",,,,,,"第57-29号","S57.10.26"
"美容所","モードサロンはるみ","761-0112","高松市屋島中町１６１番地",,"泉地　春美",,,,,,"第57-49号","S58.01.31"
"美容所","エンゼル美容室","761-1701","高松市香川町大野２２７２",,"林田　喜代美",,,,,,"第57-50号","S58.02.02"
"美容所","カット＆パーマ　マツバラ","761-8033","高松市飯田町３４番地２３",,"松原　泰子",,,,,,"第57-54号","S58.02.28"
"美容所","美容室オリビア","760-0024","高松市兵庫町９番地４","加藤ビル２階","植田　輝子",,,,,,"第57-62号","S58.03.29"
"美容所","美容室　とうの","761-1611","高松市塩江町安原上６３５",,"東野　マリ子",,,,,,"第58-3号","S58.04.27"
"美容所","コラージュ美容室","761-1701","高松市香川町大野４８−１","浅野ビル１階","片桐　弘喜",,,,,,"第58-23号","S58.11.14"
"美容所","藤澤美容室","761-8078","高松市仏生山町甲２３９−６",,"藤沢　利子",,,,,,"第58-26号","S58.11.25"
"美容所","サロンドプルミエール","761-8026","高松市鬼無町鬼無３５５−６",,"祖川　典子",,,,,,"第58-31号","S58.12.19"
"美容所","葵美容室","760-0062","高松市塩上町三丁目１２−５",,"山本　純子",,,,,,"第59-1号","S59.01.09"
"美容所","さとう美容室","761-1612","高松市塩江町安原上東４５０−９",,"佐藤　初代",,,,,,"第59-4号","S59.02.29"
