"業務種別","施設名称１","施設郵便番号","施設所在地１","施設所在地２","開設者申請者名","開設者役職名","開設者代表者名","開設者都道府県名称","開設者住所１","開設者住所２","開設確認番号","開設確認日"
"美容所","サロン・ド・ピュア","761-0441","高松市由良町１４９−２",,"平野　和子",,,,,,"第10-20号","H10.09.24"
"美容所","美容室　ＡＮＮＥＸ　ＪＡＰＡＮ　ゆめタウン店","761-8072","高松市三条町字中所６０８−１",,"有限会社　美容室さかもと","代表取締役","坂本　勝","香川県","高松市番町五丁目１番１１号",,"第10-22号","H10.09.25"
"美容所","ことう美容室","769-0104","高松市国分寺町新名１００１−８",,"古藤　智鶴子",,,,,,"第10-8号","H10.11.05"
"美容所","ＬＯＵＫ","761-0104","高松市高松町１８２２−６",,"三宅　義紀",,,,,,"第10-23号","H10.11.18"
"美容所","有限会社　カットハウス・ヤクリ","761-0121","高松市牟礼町牟礼２２２０−１１",,"有限会社　カットハウス・ヤクリ","代表取締役","三谷　房世","香川県","高松市牟礼町牟礼２２２０−１１",,"第10-28号","H10.12.28"
"美容所","ＳＡＮＡＤＡ美容室","761-1703","高松市香川町浅野８１８−１１",,"眞田　智成",,,,,,"第10-29号","H11.01.22"
"美容所","株式会社　カットスタジオイチマルゴ","761-0104","高松市高松町２４８１−９",,"株式会社　カットスタジオイチマルゴ","代表取締役","都　伸次","香川県","高松市高松町２４８１−９",,"第11001号","H11.04.30"
"美容所","コアフィールド・ハリス","760-0015","高松市紫雲町３番１６号",,"村井　麗子",,,,,,"第11004号","H11.06.28"
"美容所","ビューティーサロン　つた","761-8057","高松市田村町１１４７−７",,"中西　裕子",,,,,,"第11007号","H11.08.25"
"美容所","アトリエ　Ｋｉｒａｒａ","761-8071","高松市伏石町１０７７−３",,"木村　仁美",,,,,,"第11011号","H11.09.20"
"美容所","Ｈａｉｒ　Ｍａｋｅ　ＳＨＩＮ＇Ｓ　ＲＡＩＮＢＯＷ","761-8075","高松市多肥下町１５５８番地１１",,"株式会社　のむら","代表取締役","野村　慎二","香川県","高松市牟礼町牟礼１０８９番地２",,"第11012号","H11.09.28"
"美容所","ａｎ．ｔｅｎ．ｎａ　ＨＡＩＲ　　（アンテナ・ヘアー）　","761-8064","高松市上之町一丁目１３−２２","二ツ橋ビル１０４","森　愛仁",,,,,,"第11013号","H11.09.29"
"美容所","カワハラ美容室","760-0052","高松市瓦町一丁目１０−１４","花田ビル２階","川原　伸昌",,,,,,"第11014号","H11.10.05"
"美容所","cotton","760-0054","高松市常磐町二丁目５−２９","プレイタウンＵ　２−Ａ","亀井　春慈",,,,,,"第11015号","H11.10.08"
"美容所","ｈａｉｒ　ｎｏｕｒｉｓｈ　Ｌａｐｉｓ　ｐａｄｄｙ","760-0046","高松市通町６−１１",,"有限会社ムッシュ","代表取締役","石田　詠子","香川県","高松市通町６−１１",,"第11016号","H11.10.29"
"美容所","美容室　ミヤタケ","761-0313","高松市下田井町５８０−３",,"宮武　美佐代",,,,,,"第11017号","H11.11.01"
"美容所","有限会社　アン美容室","761-8014","高松市香西南町５５５−１",,"有限会社　アン美容室","代表取締役","北原　加代子","香川県","高松市香西東町６３４番地３",,"第11018号","H11.11.02"
"美容所","リップル","761-1705","高松市香川町川東下８９７−６",,"諸井　恵子",,,,,,"第11-4号","H11.12.10"
"美容所","ウエモト工房","769-0105","高松市国分寺町柏原７７７−３",,"上本　早百合",,,,,,"第11-2号","H11.12.22"
"美容所","ＮＡＴＵＲＡＬＬＹ　ＩＮ　ＭＩＳＡＯ","760-0050","高松市亀井町８−９","ハウス８０９　２階","八村　徳",,,,,,"第11022号","H12.03.09"
"美容所","美容室　久美","761-8078","高松市仏生山町甲２５５３−１","ターンベリー仏生山２０１","高屋敷　久美",,,,,,"第11024号","H12.04.11"
"美容所","美容室　ビビ　ＶｉＶｉ","761-0130","高松市庵治町６３７１番地１４",,"木村　珠美",,,,,,"第12-1号","H12.06.09"
"美容所","ａⅰｅ","760-0050","高松市亀井町１１−１３","中村第２ビル２階","横山　省治",,,,,,"第11030号","H12.06.27"
"美容所","シルバー美容室","760-0014","高松市昭和町二丁目１６−６",,"吉田　隆信",,,,,,"第11031号","H12.07.05"
"美容所","アート美容室","761-0312","高松市東山崎町２５１","ナイスタウンビレッジ１ｓｔ１階","有限会社　アートプランニング","代表取締役","串田　和己","香川県","高松市木太町４０８３番地１２",,"第11033号","H12.07.31"
"美容所","美麗館","760-0018","高松市天神前７の２７","吉川ビル２階","若松　俊美",,,,,,"第11036号","H12.09.04"
"美容所","ウェーブ美容室","769-0105","高松市国分寺町柏原７４０−３０",,"近藤　房子",,,,,,"第12-5号","H12.10.04"
"美容所","美容室　ア・ロック・オブ・ヘアー","761-8072","高松市三条町６７−７","堀切ビル１階","佐々木　寛二",,,,,,"第11038号","H12.10.11"
"美容所","美容室みちこ","761-8085","高松市寺井町１１０４−１",,"山本　ミチ子",,,,,,"第11040号","H12.10.26"
"美容所","Ｈａｉｒ　ｄｒｅｓｓｉｎｇ　Ｈ・Ｅ・Ｐ","761-8074","高松市太田上町９５５−１",,"中山　隆史",,,,,,"第11041号","H12.11.02"
"美容所","Ａ＇ｓ　ｃｏｌｌｅｃｔｉｏｎ　","760-0071","高松市藤塚町一丁目４−３",,"鎌野　旭",,,,,,"第11045号","H12.12.06"
"美容所","ｍｕｒ　ミュール","761-0301","高松市林町１１６８",,"村井　委佐子",,,,,,"第11047号","H13.01.26"
"美容所","中川美容室","761-8071","高松市伏石町２０３４−７",,"中川　チヱ子",,,,,,"第11048号","H13.02.05"
"美容所","カラーリスト","760-0017","高松市番町二丁目４番９号",,"佐々木　明美",,,,,,"第11050号","H13.02.23"
"美容所","Ｂｅｅ　Ｄｒｅａｍｅｒ’ｓ","760-0080","高松市木太町１２３６","栄ビル２階","阿野　美香",,,,,,"第11051号","H13.02.27"
"美容所","華美容室","761-8075","高松市多肥下町１５７８−１０",,"白井　理香",,,,,,"第11055号","H13.03.26"
"美容所","ヤマノ　デイスパ＆ビューティ山野愛子美容室ＪＲホテルクレメント高松店","760-0011","高松市浜ノ町１−１","ＪＲホテルクレメント高松　２Ｆ","株式会社　ビューティトップヤマノ","代表取締役","山野　純治","東京都","中央区銀座三丁目４番８号",,"第11057号","H13.04.13"
"美容所","美容室　葵","760-0054","高松市常磐町二丁目１１−１６","近藤ビル１階","物井　幸子",,,,,,"第11058号","H13.04.16"
"美容所","ハピネス美容室","761-0311","高松市元山町５２−５",,"田井　律子",,,,,,"第11060号","H13.07.04"
"美容所","眞鍋美容室","761-8078","高松市仏生山町甲１７０３−３３",,"眞鍋　綾子",,,,,,"第11061号","H13.07.16"
"美容所","美容プラージュ　高松店","760-0079","高松市松縄町１１１８番地１１",,"阪南理美容株式会社","代表取締役","濱屋　雄大","大阪府","藤井寺市春日丘三丁目１２番１号",,"第11064号","H13.09.06"
"美容所","hair image","761-8073","高松市太田下町２３１１−４",,"鎌田　純二",,,,,,"第11065号","H13.09.12"
"美容所","ジュリア美容室","761-8081","高松市成合町１４９７番地４",,"有限会社　ラ・ボン・ヴィー","代表取締役","汐先　美香","香川県","高松市成合町１４９７番地４",,"第11066号","H13.10.01"
"美容所","ジュリア美容室","761-1405","高松市香南町池内２５４−９",,"有限会社　ラ・ボン・ヴィー","代表取締役","汐先　美香","香川県","高松市成合町１４９７番地４",,"第13-2号","H13.10.01"
"美容所","Ａｍｉｘ　ＫＯＫＵＳＡＩ　ＨＯＴＥＬ","760-0080","高松市木太町４区２１９１−１",,"Ａｍａｒｅ株式会社","代表取締役","熊野　正英","香川県","高松市藤塚町６番地２５",,"第11067号","H13.10.30"
"美容所","ナベサカ美容室","760-0054","高松市常磐町一丁目４−２１","１階","鍋坂　光一",,,,,,"第11072号","H13.11.21"
"美容所","ａｇｅ","760-0028","高松市鍛冶屋町１番地７",,"吉田　正彦",,,,,,"第11073号","H13.12.03"
"美容所","美容室　Ｈａｉｒ　Ｃｏｌｌｅｃｔｉｏｎ","761-0312","高松市東山崎町４３４−７",,"髙木　登",,,,,,"第11074号","H13.12.06"
"美容所","みき美容室　太田","761-8073","高松市太田下町２２８７番地１",,"有限会社　ドゥース","代表取締役","三木　圭子","香川県","高松市太田下町２２８７番地１",,"第11075号","H13.12.06"
"美容所","みき美容室　クレシェント","760-0038","高松市井口町３番地２",,"有限会社クレシェント","取締役","村下　恵美子","香川県","高松市井口町３番地２",,"第11077号","H13.12.20"
"美容所","ａｇｅ","760-0028","高松市鍛冶屋町１番地７",,"有限会社　ミウ","取締役","堀岡　博史","香川県","高松市鍛冶屋町１番地７",,"第11081号","H14.01.25"
"美容所","Ｈａｉｒ　Ｍｏｄｅ　Ｓｔｕｄｉｏ　Ｎ＇ｓ","761-0301","高松市林町２５１０−１２",,"森　信雄",,,,,,"第11083号","H14.02.01"
"美容所","Ｃ’ｓ","761-1705","高松市香川町川東下１８６５",,"株式会社　ささき","代表取締役","木村　幸男","香川県","高松市瓦町二丁目７番１６号",,"第14-2号","H14.04.25"
"美容所","ヘアースタジオ　ソエル","761-8078","高松市仏生山町甲８３６番地１","ガーデンハイツピュア１０２号室","上村　幸広",,,,,,"第11095号","H14.05.17"
"美容所","美容室トップヘアーズ","769-0103","高松市国分寺町福家甲３５７１−９",,"有限会社　美容室トップヘアーズ","代表取締役","香川　佳昭","香川県","高松市国分寺町福家甲３５７１−９",,"第14-1号","H14.05.17"
"美容所","美容室　おしゃれ泥棒","769-0104","高松市国分寺町新名４７０−１",,"鶴﨑　陽子",,,,,,"第14-3号","H14.06.10"
"美容所","Ｉ’’","760-0068","高松市松島町三丁目１１番２６号",,"井上　順子",,,,,,"第11099号","H14.06.12"
"美容所","美容室　マリエ・ア・ラ・モード","761-0434","高松市十川東町５５−１",,"株式会社　マリエ・ア・ラ・モード","代表取締役","藤村　幸三","香川県","丸亀市中府町二丁目６番２０号",,"第11100号","H14.06.13"
"美容所","美容室　ボン","760-0060","高松市末広町７−２５",,"庄司　清江",,,,,,"第11101号","H14.06.21"
"美容所","音色","760-0013","高松市扇町３丁目８−１６",,"乃上　眞智子",,,,,,"第11102号","H14.06.26"
"美容所","レイ美容室","761-8084","高松市一宮町１１８１番地７",,"三好　禮子",,,,,,"第11104号","H14.07.04"
"美容所","美容室　リープ","761-0104","高松市高松町２０６０番地７",,"蓮井　秋美",,,,,,"第11105号","H14.07.04"
"美容所","おかもと美容室","760-0080","高松市木太町５０１６番地５",,"岡本　美津子",,,,,,"第11108号","H14.08.01"
"美容所","Ｌｉｔｔｌｅ　Ｂｉｒｄ","760-0054","高松市常磐町二丁目５−１１","コリドールシュッド１階","小林　和裕",,,,,,"第11112号","H14.10.03"
"美容所","美容室　Ｅｍｉｌｉａ","761-8076","高松市多肥上町６１８−６",,"田淵　江美子",,,,,,"第11115号","H14.11.01"
"美容所","ＨＡＩＲ　ＰＲＯＤＵＣＥ　ＡＲＯＭＡ","761-8084","高松市一宮町字松木２３０−４",,"有限会社　アロマ","代表取締役","辻野　良光","香川県","高松市一宮町２３０番地４",,"第11116号","H14.11.28"
"美容所","Ｈａｉｒ　Ｍａｋｅ　ｏａｓｉｓ","769-0101","高松市国分寺町新居１０１９−１５",,"佐々木　誠",,,,,,"第14-6号","H14.12.02"
"美容所","有限会社　ヘアーズ","761-8084","高松市一宮町１４３−２",,"有限会社　ヘアーズ","代表取締役","関　準二","香川県","高松市木太町１３３４番地１１",,"第11117号","H14.12.05"
"美容所","ＣｏＣｏ美容室","760-0080","高松市木太町３区１８８７","ビレッヂオーロラテナント東","植田　朱美",,,,,,"第11118号","H14.12.06"
"美容所","トータル　ビューティー　リ・ナチュラ","761-8044","高松市円座町９５５−３","太山ビル２階","中井　春美",,,,,,"第11120号","H15.01.16"
"美容所","たかおか美容室","761-8078","高松市仏生山町甲３２２３−２",,"髙岡　松子",,,,,,"第11121号","H15.01.20"
"美容所","美髪空間　ゆり","760-0080","高松市木太町７区３０６９−８",,"南原　由利子",,,,,,"第11122号","H15.01.24"
"美容所","Ｓａｌｏｎ　Ｂｅｓｏ","761-0104","高松市高松町２５０８−２",,"宮本　ゆかり",,,,,,"第11123号","H15.02.07"
"美容所","モナミ美容室","760-0048","高松市福田町１０−３","モナミビル１階北","櫛田　喜代美",,,,,,"第11124号","H15.02.27"
"美容所","カワクボ美容室","761-0442","高松市川島本町字流田６４−４",,"川田　芳子",,,,,,"第11126号","H15.03.18"
"美容所","モコ　カワハラ美容室","760-0071","高松市藤塚町一丁目１４−２２",,"川原　茂子",,,,,,"第11128号","H15.04.15"
"美容所","サロンド　ミヨシ","760-0053","高松市田町４番地１８","玉木ビル１階","有限会社　サロンド　ミヨシ","代表取締役","三好　重保","香川県","高松市田町４番地１８","玉木ビル","第11130号","H15.04.21"
"美容所","ＱＰ","769-0102","高松市国分寺町国分２４６−６",,"田中　史朗",,,,,,"第15-1号","H15.04.23"
"美容所","ＡＣＲＡＴＡ","761-0121","高松市牟礼町牟礼２４２１−５","菊の家マンション１階","中川　由美",,,,,,"第15-4号","H15.04.24"
"美容所","美容室　さわこ","761-0443","高松市川島東町４９７番地１９",,"佐立　佐和子",,,,,,"第11131号","H15.04.25"
"美容所","美容室　ｖｏｇｕｅ","761-8075","高松市多肥下町１５５６番地１１",,"有限会社アットホーム・エステート","代表取締役","鈴木　誠司","香川県","高松市多肥下町１５５６番地１１",,"第11132号","H15.05.15"
"美容所","ア・チーブ","761-8046","高松市川部町１６２９−６",,"古川　勝弥",,,,,,"第11133号","H15.06.02"
"美容所","ビューティーサロン　ヴォーグ","761-8044","高松市円座町１１２４−９",,"松村　旬子",,,,,,"第11134号","H15.06.04"
"美容所","美容室　ももたろー","761-8044","高松市円座町１５７６−１",,"有限会社　ももたろー","代表取締役","木下　一生","香川県","高松市円座町１５７６−１",,"第11135号","H15.06.18"
"美容所","ｒｕｔｅｎ","760-0062","高松市塩上町一丁目１−２８","１階","米谷　亮司",,,,,,"第11138号","H15.07.22"
"美容所","ＨＡＩＲ　ＭＡＫＥ　Ａｒｍ＇ｓ","761-8054","高松市東ハゼ町８番地６",,"有限会社　キタムラ","代表取締役","北村　芳子","大阪府","八尾市太田六丁目２７番地３号",,"第11141号","H15.08.19"
"美容所","ヘアタイム　ひつじこ","761-8044","高松市円座町１０６９−１１",,"久保　雅子",,,,,,"第11142号","H15.09.30"
"美容所","しーぷ美容室","760-0005","高松市宮脇町一丁目３５−２４",,"藤田　アキミ",,,,,,"第11144号","H15.10.09"
"美容所","ｈａｉｒ　ｃｒｅａｔｅ　ａ．ｒ．ｍ","760-0079","高松市松縄町１０４９−３８",,"丸山　篤志",,,,,,"第11147号","H16.01.16"
"美容所","ＹＩＥＫＳ","761-0301","高松市林町２５１７−１",,"平岡　真理子",,,,,,"第11148号","H16.01.23"
"美容所","美容室　菅田","760-0005","高松市宮脇町一丁目１８−１９",,"有限会社　桜堂楽器","代表取締役","菅田　百合子","香川県","高松市田町１−２",,"第11149号","H16.02.09"
"美容所","ｂｏｎｄ　ｇｉｒｌ","760-0028","高松市鍛冶屋町４番地７","藤ビル２階","有限会社　グランデックス","代表取締役","谷次　哲二","香川県","高松市鍛冶屋町４番地７","藤川ビル２階","第11150号","H16.02.16"
"美容所","Ｌａ　Ｂｌａｎｃｈｅ","761-8071","高松市伏石町２０７１−５",,"山下　明美",,,,,,"第11153号","H16.03.22"
"美容所","カプリス","761-8033","高松市飯田町３４−１１４",,"岡本　恵美子",,,,,,"第11154号","H16.03.24"
"美容所","ファイブ★ワン","760-0034","高松市内町６−１１",,"藤本　恵津子",,,,,,"第11155号","H16.03.26"
"美容所","美容室　ＣＡＲＯ","760-0063","高松市多賀町二丁目１７番１３号","株式会社鈴木電機ビル１階","三谷　安人",,,,,,"第11157号","H16.04.05"
"美容所","SoL −HAIR&FACE−","760-0079","高松市松縄町１００３番地７","レインボータウン２階","株式会社ソール","代表取締役","植田　由希","香川県","高松市松縄町１００３番地７","レインボータウン２階","第11158号","H16.04.08"
"美容所","モード　ヘア　クロス","760-0033","高松市丸の内７−１５",,"米谷　敬子",,,,,,"第11159号","H16.04.14"
"美容所","美容室　おしゃれ泥棒","761-8073","高松市太田下町１９３３−１８",,"北原　隆夫",,,,,,"第11160号","H16.04.28"
"美容所","ＨＡＩＲ　ＡＴＥＬＩＥＲ　ｄｒｏｐ（ヘアー・アトリエ・ドロップ）","761-0122","高松市牟礼町大町５１２−５",,"湯浅　里美",,,,,,"第16-1号","H16.05.17"
"美容所","ｈａｉｒ　ｓａｌｏｎ　ｋｏｍｏｒｅｂｉ","769-0102","高松市国分寺町国分１９４−１",,"有限会社花もり","代表取締役","古市　亮","香川県","高松市昭和町一丁目１２番３号",,"第16-3号","H16.05.27"
"美容所","ＳＣＯＲＰＩＯ","761-8075","高松市多肥下町１０７１番地５",,"中井　美和子",,,,,,"第11162号","H16.05.31"
"美容所","ＨＡＩＲ−ＡＲＴ　ｉｓｔ","761-0443","高松市川島東町１１７６−５",,"下岡　茂夫",,,,,,"第11163号","H16.06.04"
"美容所","ピュア美容室","769-0104","高松市国分寺町新名１２５６−１",,"松村　弘美",,,,,,"第16-5号","H16.06.08"
"美容所","ｈａｉｒ　Ｆｕｔａｂａ","761-8084","高松市一宮町１８１−４","フォーラムフタバビル１Ｆ","黒坂　和代",,,,,,"第11164号","H16.06.08"
"美容所","Ｈａｉｒ　ｍａｋｅ　ＳＨＩＮ＇Ｓ　ＹＡＳＨＩＭＡ","761-0101","高松市春日町１６７０−１","ヘアメイクシンズビル１階","株式会社　のむら","代表取締役","野村　慎二","香川県","高松市牟礼町牟礼１０８９番地２",,"第11165号","H16.06.15"
"美容所","ＭＩＴＳＵＯ　ＦＡＩＲＥ","760-0080","高松市木太町１６８６−１",,"有限会社美容室ミツオの部屋","取締役","吉田　光宏","香川県","高松市木太町１３１３番地１",,"第11167号","H16.07.01"
"美容所","美容室　彩","761-8026","高松市鬼無町鬼無４４９−１",,"山白　朱実",,,,,,"第11170号","H16.07.08"
"美容所","Ｈａｉｒ　Ｓａｌｏｎ　ＫＲＩＣＥ","761-0102","高松市新田町甲３−９",,"土草　和成",,,,,,"第11171号","H16.07.13"
"美容所","ヘアカラー　四季彩","760-0080","高松市木太町５０４６−１１",,"髙岡　浩子",,,,,,"第11172号","H16.07.21"
"美容所","ヘアースタジオ　プレジール","760-0014","高松市昭和町二丁目１３−５","寿伍ビル１階","松本　佐由里",,,,,,"第11173号","H16.08.23"
"美容所","ｃａｌｍａ　ｈａｉｒ","761-0102","高松市新田町甲８１２−８",,"松下　幸代",,,,,,"第11174号","H16.08.27"
"美容所","ＨＡＩＲ　ｄｏｌｌｙ","760-0052","高松市瓦町二丁目９−１０",,"平井　春美",,,,,,"第11175号","H16.09.17"
"美容所","たき美容室","769-0101","高松市国分寺町新居１６７２−５",,"金井　智子",,,,,,"第16-11号","H16.09.28"
"美容所","Ｈａｉｒ　Ｓａｌｏｎ　Ｌｏｏｐ","761-0113","高松市屋島西町２０３０番地３",,"佐々木　康夫",,,,,,"第11178号","H16.11.24"
"美容所","美容室　あさこ","760-0080","高松市木太町５０６２−９",,"水田　浅子",,,,,,"第11180号","H16.12.02"
"美容所","ヘアメイク　サンサーラ　屋島店","761-0104","高松市高松町２２８８−３０",,"有限会社　美容室さかもと","代表取締役","坂本　勝","香川県","高松市番町五丁目１番１１号",,"第11181号","H16.12.03"
"美容所","有限会社　ヘアーボーグ　ブラザーフッド","761-8062","高松市室新町１０３２−６","村上ビル１−Ｅ号室","有限会社　ヘアーボーグ　ブラザーフッド","代表取締役","井本　一正","徳島県","三好市池田町シマ７９７番地の９",,"第11184号","H17.02.02"
"美容所","ＨＡＩＧＨＴ","760-0077","高松市上福岡町２０３１番地１６",,"稲毛　隆浩",,,,,,"第11187号","H17.02.10"
"美容所","ｎｏｎ／ｎｏｎ美容室","760-0056","高松市中新町１０−３","阿部ビル１階","田岡　千恵",,,,,,"第11188号","H17.02.25"
"美容所","ビューティサロン　スギ","761-8062","高松市室新町１０３６番地１３",,"杉山　昌子",,,,,,"第11189号","H17.02.25"
"美容所","有限会社丸善美容商事　オーレリア","760-0062","高松市塩屋町１１番１５","１階","有限会社丸善美容商事","代表取締役","山内　澄子","香川県","高松市番町三丁目２０番６号",,"第11191号","H17.03.01"
"美容所","美容室　エスコア　栗林店","760-0073","高松市栗林町二丁目１６−１７","メゾン栗林１階","平野　貴司",,,,,,"第11192号","H17.03.04"
"美容所","ｈａｉｒ　ｃｈｉｌｌａｇｅ　ｉｎＮａｔｅ","761-0104","高松市高松町２４２１",,"天雲　信二",,,,,,"第11194号","H17.03.31"
"美容所","美容室　ミモザ","760-0006","高松市亀岡町１９−２５","Ｃ．アルド１階","矢野　真由美",,,,,,"第11195号","H17.04.11"
"美容所","ｈａｉｒ　ｃｌｅａｒ（ヘアー　クリアー）","761-0121","高松市牟礼町牟礼２７３−３",,"坂本　圭",,,,,,"第17-2号","H17.04.18"
"美容所","美容室　たからか","760-0051","高松市南新町１−４","富田ビル４階","横岡　明美",,,,,,"第11197号","H17.04.21"
"美容所","ミネルバ美容室","760-0044","高松市御坊町８−３","石﨑ビル１階","石﨑　美栄子",,,,,,"第11200号","H17.05.30"
"美容所","ミエ美容室","760-0080","高松市木太町５０５１−６",,"三好　美枝",,,,,,"第11202号","H17.06.27"
"美容所","ｘｅｌ−ｈａ","760-0078","高松市今里町二丁目１５−１７",,"奥村　朋美",,,,,,"第11204号","H17.07.12"
"美容所","フォレストヘアー","761-0121","高松市牟礼町牟礼２７４１",,"谷本　美奈枝",,,,,,"第17-3号","H17.09.20"
"美容所","ｃｕｔ　ｓｐａｃｅ　ｓａｋｕ","761-8002","高松市生島町６１２−５",,"髙橋　美幸",,,,,,"第11210号","H17.10.18"
"美容所","ＣＥＲＴＯ","761-8073","高松市太田下町２５１８−１","安西ビル１０５","田中　達人",,,,,,"第11211号","H17.10.24"
"美容所","ヘア・ギャラリー　ＡＴＯＯ","761-8064","高松市上之町二丁目１２−３２",,"太田　美紀",,,,,,"第11212号","H17.11.01"
"美容所","美容室「エヌ」","760-0020","高松市錦町二丁目９−１３","細川ビル１階","西山　満子",,,,,,"第11213号","H17.11.10"
"美容所","Ｍ’ｓ","761-1703","高松市香川町浅野９３２−２３",,"岩瀬　真理子",,,,,,"第17-5号","H17.12.13"
"美容所","サロンド・アム","761-8005","高松市植松町４５−６",,"池田　豊美",,,,,,"第11224号","H18.03.03"
"美容所","縮毛矯正専門サロン　ｉｒｏｎ","760-0071","高松市藤塚町一丁目９−８","白星社ビル２階東","大平　英通",,,,,,"第11225号","H18.03.07"
"美容所","美容室ＡＮＡＢＵＫＩ","761-1703","高松市香川町浅野２４５−５",,"羽床　伊知子",,,,,,"第11227号","H18.03.20"
"美容所","フェリーチェ","761-8032","高松市鶴市町２０４４−１７",,"松谷　志津加",,,,,,"第11228号","H18.03.23"
"美容所","青木美容室","761-8011","高松市香西北町２８−１",,"青木　あけみ",,,,,,"第11229号","H18.03.28"
"美容所","Ｐｅｒｆｅｃｔｉｏｎ","761-0443","高松市川島東町５００−２","細谷マンション１０１","溝渕　千浪",,,,,,"第11231号","H18.05.10"
"美容所","マドモアゼルまさこ","760-0005","高松市宮脇町一丁目３１−１５",,"山下　マサ子",,,,,,"第11232号","H18.05.11"
"美容所","Ｈａｉｒ・ｍａｋｅ　Ｐｉｇｌｅｔ","760-0079","高松市松縄町２９−４",,"赤田　憲彦",,,,,,"第11233号","H18.05.22"
"美容所","美容室　花","761-0301","高松市林町１１７１−１",,"平尾　英也",,,,,,"第11236号","H18.06.16"
"美容所","フェリーチェ","761-0113","高松市屋島西町３１６−１０","２階","高倉　順子",,,,,,"第11237号","H18.06.19"
"美容所","ヘアー＆エステ　ＴＡＫＩ","760-0080","高松市木太町１６７０−４",,"滝　日登美",,,,,,"第11238号","H18.06.20"
"美容所","美容室　Ｎｏｒｕｍｉｄｏ（ノルミド）","761-8032","高松市鶴市町８２０−３",,"米谷　眞由美",,,,,,"第11239号","H18.07.05"
"美容所","ｇｒｅｅｎ　ｇｒｅｅｎ","761-8072","高松市三条町６２２−１","１Ｆ","瀬尾　涼太",,,,,,"第11240号","H18.07.14"
"美容所","美容室　Ａ．ｙｕｍｉｎ−あゆみん−","761-0313","高松市下田井町６１５−１０",,"香西　由実",,,,,,"第11241号","H18.07.18"
"美容所","サロン・ド・シルク","761-0104","高松市高松町２４１２−１０","カーザ・シェイロ・ジ・アムール南２","浜中　文子",,,,,,"第11242号","H18.07.27"
"美容所","美容室Ｄａｙｓ","760-0073","高松市栗林町一丁目８−８","田所ビル１階","西丸　信吾",,,,,,"第11243号","H18.07.28"
"美容所","美容室ゼロ　木太店","760-0080","高松市木太町５０２４−１",,"有限会社美容室ゼロ","代表取締役","入倉　利一","香川県","高松市南新町１０番地３",,"第11245号","H18.08.18"
"美容所","ＣＳ１（シーエスワン）","761-0104","高松市高松町２４８１−９","カットスタジオ１０５ビル１階","大谷　朋也",,,,,,"第11248号","H18.09.07"
"美容所","ＫＥＲＡｖｉｔａ","760-0062","高松市塩上町一丁目２−２０","タカサンビル２階","池下　直美",,,,,,"第11251号","H18.10.20"
"美容所","Ｒｅ　ｚｅｓｔ．","761-8045","高松市西山崎町１９８−８",,"木村　正和",,,,,,"第11252号","H18.10.23"
"美容所","エリーゼ美容室","760-0005","高松市宮脇町一丁目２１−１６",,"立川　由美子",,,,,,"第11254号","H18.11.06"
"美容所","ＦＬＩＰ　ＨＡＩＲ","761-8073","高松市太田下町３０３９−９",,"福家　昌宏",,,,,,"第11255号","H18.11.30"
"美容所","ストーリア","761-8031","高松市郷東町１３４−９",,"有限会社リッツ","代表取締役","喜田　健三","香川県","高松市香川町大野１９５９番地７",,"第11256号","H18.12.14"
"美容所","ａｎｉｃｃ","760-0043","高松市今新町７−１４","シティービル１Ｆ","岩佐　香里",,,,,,"第11257号","H18.12.26"
"美容所","ヘアーギャラリー　ケータル","761-0102","高松市新田町甲２２８１−６",,"渡邊　利弘",,,,,,"第11258号","H19.01.19"
"美容所","ＨＡＩＲ　ＭＡＫＥ　ｆｒｅａｋｓ","760-0043","高松市今新町２番地１６","フリークスビル２Ｆ","加藤　雄紀",,,,,,"第11260号","H19.01.29"
"美容所","ウェーブスワールド　ヘアーウェーブス店","760-0080","高松市木太町７区３５２７−１",,"ウェーブスワールド有限会社","代表取締役","松本　秀樹","香川県","高松市木太町２４６５番地１",,"第11265号","H19.02.15"
"美容所","ＨＡＩＲ　ＰＲＯＤＵＣＥ　ａｒｏｍａ　ｅｍｕｅ","760-0078","高松市今里町１０−１０",,"有限会社　アロマ","代表取締役","辻野　良光","香川県","高松市一宮町２３０番地４",,"第11266号","H19.02.20"
"美容所","Ｓｍａｌｌ　ｂｅｒｒｙ","761-0301","高松市林町１３３６番地１０",,"千田　裕香理",,,,,,"第11271号","H19.03.15"
"美容所","ＨＡＩＲ　ＡＮＤ　ＭＡＫＥ　ＰＯＰ　ＡＲＴ","761-0313","高松市下田井町字助成２４８−１","１階","橋本　美和子",,,,,,"第11273号","H19.03.27"
"美容所","Ｍｏｃａ．","761-0443","高松市川島東町３６５−１４　１Ｆ",,"岩井　真都香",,,,,,"第11274号","H19.04.10"
"美容所","カメリア　ヘア","761-8012","高松市香西本町１−１","イオンモール高松　２Ｆ","有限会社　美容室さかもと","代表取締役","坂本　勝","香川県","高松市番町五丁目１番１１号",,"第11275号","H19.04.13"
"美容所","Ｈａｉｒ　ｃｒａｆｔ　ｊｏｊｏ　ｍｏｄａ．","761-8074","高松市太田上町３８４−１３　１階",,"東条　政和",,,,,,"第11276号","H19.05.14"
