#property,prefCode,regionCode,prefName,cityName,surveyDate,regionName,totalPopulation,male,woman,man1,woman1,man2,woman2,man3,woman3,man4,woman4,man5,woman5,man6,woman6,man7,woman7,man8,woman8,man9,woman9,man10,woman10,man11,woman11,man12,woman12,man13,woman13,man14,woman14,man15,woman15,man16,woman16,man17,woman17,man18,woman18,numberOfHouseholds,note,location
1,37201,,香川県,高松市,5/1/2019,塩屋町,225,98,127,1,3,3,2,3,3,3,2,6,6,4,6,3,5,9,5,7,11,12,14,10,10,7,9,6,10,6,9,10,9,2,6,1,8,5,9,139,,"34.342286,134.055021"
2,37201,,香川県,高松市,5/1/2019,築地町,696,328,368,4,6,8,10,9,8,14,10,14,19,21,21,18,18,23,22,25,21,27,27,21,23,24,22,26,30,21,26,37,30,14,27,15,18,7,30,419,,"34.341274,134.056839"
3,37201,,香川県,高松市,5/1/2019,塩上町,119,58,61,3,0,2,1,0,0,2,2,8,3,5,4,5,2,1,5,1,5,5,1,2,3,4,4,3,2,4,3,4,6,2,9,4,6,3,5,82,,"34.335876,134.052375"
4,37201,,香川県,高松市,5/1/2019,塩上町１丁目,208,111,97,1,1,2,2,2,0,5,1,5,4,7,6,6,2,9,1,5,5,13,6,6,9,5,4,4,8,7,8,14,12,8,11,7,8,5,9,138,,"34.338200,134.053646"
5,37201,,香川県,高松市,5/1/2019,塩上町２丁目,726,337,389,4,13,7,3,12,12,10,13,22,21,30,18,15,11,23,26,25,33,29,32,27,24,24,23,23,21,20,24,28,26,17,31,8,21,13,37,458,,"34.338544,134.055472"
6,37201,,香川県,高松市,5/1/2019,塩上町３丁目,636,313,323,12,9,17,10,11,11,9,13,16,12,12,15,23,15,16,22,28,29,23,14,23,21,17,11,19,24,29,28,26,30,10,20,9,21,13,18,362,,"34.339112,134.057533"
7,37201,,香川県,高松市,5/1/2019,八坂町,84,35,49,2,2,1,0,0,2,0,0,1,2,3,4,0,0,4,2,4,4,1,1,2,3,1,0,0,3,2,5,3,5,3,5,4,4,4,7,49,,"34.339782,134.053748"
8,37201,,香川県,高松市,5/1/2019,福田町,258,116,142,3,3,6,4,9,6,5,3,7,3,2,4,4,6,5,6,10,18,8,4,6,9,6,12,13,8,8,14,9,12,8,7,3,7,4,16,139,,"34.341477,134.053890"
9,37201,,香川県,高松市,5/1/2019,常磐町１丁目,136,60,76,4,3,1,2,1,2,1,3,4,2,3,4,1,3,3,5,6,9,4,4,6,2,9,9,3,4,2,6,6,3,1,3,2,3,3,9,71,,"34.338740,134.051256"
10,37201,,香川県,高松市,5/1/2019,常磐町２丁目,267,128,139,2,3,3,2,1,2,2,4,8,12,13,11,3,4,8,6,9,5,9,9,13,9,9,9,11,8,8,9,9,7,9,11,6,14,5,14,181,,"34.337613,134.051101"
11,37201,,香川県,高松市,5/1/2019,瓦町１丁目,182,98,84,0,2,4,1,5,3,4,2,3,3,4,3,2,0,4,1,3,6,5,7,12,2,8,4,5,5,10,11,11,8,7,9,8,9,3,8,121,,"34.341325,134.051585"
12,37201,,香川県,高松市,5/1/2019,瓦町２丁目,319,141,178,2,5,3,4,4,6,2,8,5,8,6,7,6,7,9,6,10,14,11,10,12,7,11,11,7,8,18,20,14,14,7,14,8,8,6,21,190,,"34.339954,134.051305"
13,37201,,香川県,高松市,5/1/2019,古馬場町,187,89,98,0,1,2,1,1,3,1,0,2,1,4,2,5,1,3,3,10,4,4,1,4,4,6,7,9,9,10,6,8,10,6,10,4,13,10,22,129,,"34.342517,134.051924"
14,37201,,香川県,高松市,5/1/2019,御坊町,139,67,72,0,1,5,1,4,1,2,1,3,1,2,2,3,4,4,3,6,5,4,6,7,6,5,2,3,4,4,5,5,11,2,6,3,7,5,6,71,,"34.343378,134.052548"
15,37201,,香川県,高松市,5/1/2019,今新町,149,71,78,3,0,1,2,2,0,3,1,2,2,3,3,2,2,4,3,4,6,9,4,4,6,7,3,1,4,5,7,8,5,2,7,5,6,6,17,93,,"34.343979,134.052660"
16,37201,,香川県,高松市,5/1/2019,大工町,186,86,100,0,1,2,0,0,1,4,5,5,3,6,2,5,6,4,7,8,1,8,9,6,8,4,3,8,9,9,10,2,13,6,5,6,3,3,14,131,,"34.344544,134.052793"
17,37201,,香川県,高松市,5/1/2019,百間町,280,142,138,5,3,4,8,7,2,5,6,8,6,10,1,3,7,7,7,9,15,18,10,12,6,8,12,8,8,9,6,11,11,6,8,3,4,9,18,167,,"34.345116,134.052861"
