#property,prefCode,regionCode,prefName,cityName,surveyDate,regionName,totalPopulation,male,woman,man1,woman1,man2,woman2,man3,woman3,man4,woman4,man5,woman5,man6,woman6,man7,woman7,man8,woman8,man9,woman9,man10,woman10,man11,woman11,man12,woman12,man13,woman13,man14,woman14,man15,woman15,man16,woman16,man17,woman17,man18,woman18,numberOfHouseholds,note,location
1,37201,,香川県,高松市,4/1/2019,塩屋町,225,100,125,1,3,3,2,3,3,6,2,3,6,5,7,3,4,9,5,7,10,14,14,9,9,8,9,5,10,6,9,10,9,2,6,1,8,5,9,136,,"34.342286,134.055021"
2,37201,,香川県,高松市,4/1/2019,築地町,704,330,374,4,6,9,11,11,8,12,10,15,20,21,21,19,19,23,22,25,21,26,28,21,24,23,23,27,30,21,27,37,29,14,27,15,19,7,29,424,,"34.341274,134.056839"
3,37201,,香川県,高松市,4/1/2019,塩上町,114,54,60,2,0,2,1,0,0,2,2,8,3,4,3,3,2,1,5,1,5,5,1,2,3,4,4,3,2,4,3,4,6,2,9,4,6,3,5,79,,"34.335876,134.052375"
4,37201,,香川県,高松市,4/1/2019,塩上町１丁目,208,110,98,1,1,2,2,3,0,4,2,5,3,5,6,8,3,9,1,3,5,14,6,6,9,5,4,4,8,7,8,14,12,8,11,7,8,5,9,138,,"34.338200,134.053646"
5,37201,,香川県,高松市,4/1/2019,塩上町２丁目,717,331,386,3,12,7,3,11,11,10,13,21,21,28,18,16,11,22,25,25,34,28,32,26,23,24,24,23,20,23,25,25,25,17,31,8,21,14,37,452,,"34.338544,134.055472"
6,37201,,香川県,高松市,4/1/2019,塩上町３丁目,629,311,318,14,9,15,11,11,10,10,13,15,13,12,12,25,15,15,21,28,28,22,14,23,20,16,11,19,24,29,29,25,29,10,20,9,21,13,18,356,,"34.339112,134.057533"
7,37201,,香川県,高松市,4/1/2019,八坂町,83,35,48,2,2,1,0,0,2,0,0,1,1,3,4,0,0,4,2,4,4,1,1,2,3,1,1,0,2,3,5,2,5,3,5,4,4,4,7,49,,"34.339782,134.053748"
8,37201,,香川県,高松市,4/1/2019,福田町,256,115,141,3,3,6,4,9,6,5,3,6,2,2,4,4,6,5,6,10,18,8,6,7,7,5,12,13,8,8,14,9,12,8,7,3,7,4,16,137,,"34.341477,134.053890"
9,37201,,香川県,高松市,4/1/2019,常磐町１丁目,132,58,74,4,3,1,2,1,2,1,4,5,1,2,4,1,3,3,5,5,7,5,5,4,1,9,10,3,3,2,6,6,3,1,3,2,3,3,9,68,,"34.338740,134.051256"
10,37201,,香川県,高松市,4/1/2019,常磐町２丁目,268,129,139,2,3,3,2,1,2,2,4,6,13,13,9,3,4,10,6,9,5,10,9,14,11,8,9,11,8,8,9,9,8,9,10,6,14,5,13,179,,"34.337613,134.051101"
11,37201,,香川県,高松市,4/1/2019,瓦町１丁目,186,101,85,0,2,4,1,4,3,4,2,3,3,4,4,3,0,4,1,6,6,5,6,12,2,8,4,6,5,9,14,11,6,7,9,9,9,2,8,126,,"34.341325,134.051585"
12,37201,,香川県,高松市,4/1/2019,瓦町２丁目,318,140,178,2,5,3,4,5,6,2,7,4,8,5,7,6,7,9,6,10,15,11,10,12,7,12,11,6,8,19,21,13,13,7,14,8,8,6,21,188,,"34.339954,134.051305"
13,37201,,香川県,高松市,4/1/2019,古馬場町,186,89,97,0,1,2,1,1,3,1,0,2,1,6,2,3,1,3,3,10,4,4,1,4,4,6,6,9,9,11,6,7,11,6,9,5,13,9,22,128,,"34.342517,134.051924"
14,37201,,香川県,高松市,4/1/2019,御坊町,140,67,73,0,1,5,1,4,1,2,1,3,1,2,2,3,4,4,3,6,5,4,6,7,7,5,2,3,4,5,5,4,11,2,6,3,7,5,6,72,,"34.343378,134.052548"
15,37201,,香川県,高松市,4/1/2019,今新町,147,70,77,3,0,1,2,2,0,3,1,2,2,3,3,2,1,4,3,3,6,9,5,4,5,7,3,2,4,4,7,8,5,2,7,6,6,5,17,92,,"34.343979,134.052660"
16,37201,,香川県,高松市,4/1/2019,大工町,187,86,101,0,1,2,0,0,1,4,5,5,3,6,2,5,7,4,6,8,1,8,9,6,8,5,3,7,9,9,10,2,13,6,5,6,4,3,14,132,,"34.344544,134.052793"
17,37201,,香川県,高松市,4/1/2019,百間町,285,144,141,5,3,4,8,7,2,6,6,7,8,10,1,3,7,8,7,10,16,18,10,12,7,8,11,8,7,9,6,10,11,6,8,3,4,10,19,172,,"34.345116,134.052861"
18,37201,,香川県,高松市,4/1/2019,片原町,307,140,167,4,3,6,7,2,2,3,4,3,5,5,3,6,8,6,7,10,15,12,9,13,11,10,13,14,14,8,8,12,18,13,7,3,11,10,22,175,,"34.345681,134.053043"
19,37201,,香川県,高松市,4/1/2019,鶴屋町,287,136,151,1,6,1,5,0,3,5,6,3,7,7,1,9,5,12,3,6,12,10,8,8,8,8,8,12,13,17,11,15,12,8,12,6,10,8,21,173,,"34.346738,134.055123"
20,37201,,香川県,高松市,4/1/2019,本町,453,233,220,4,2,1,2,2,0,5,3,20,20,28,19,14,17,13,9,16,8,13,14,17,15,20,12,21,17,16,10,10,22,14,16,9,15,10,19,317,,"34.348509,134.054779"
21,37201,,香川県,高松市,4/1/2019,北浜町,409,198,211,3,2,7,4,9,9,7,4,4,5,10,6,13,10,11,10,13,13,14,16,22,14,24,21,19,18,7,20,9,12,13,8,6,14,7,25,239,,"34.350584,134.055577"
22,37201,,香川県,高松市,4/1/2019,朝日町１丁目,13,9,4,0,0,0,0,0,0,0,0,1,1,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,13,,"34.349551,134.062394"
23,37201,,香川県,高松市,4/1/2019,朝日町２丁目,339,169,170,4,6,2,6,8,7,7,8,15,6,22,3,19,4,11,8,11,6,5,10,5,9,8,9,4,7,11,9,13,13,7,26,10,5,7,28,199,,"34.349476,134.065023"
24,37201,,香川県,高松市,4/1/2019,朝日町３丁目,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,2,1,0,1,0,8,,"34.349433,134.067854"
25,37201,,香川県,高松市,4/1/2019,朝日町４丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,"34.355141,134.063999"
26,37201,,香川県,高松市,4/1/2019,朝日町５丁目,34,33,1,0,0,0,0,0,0,1,0,5,1,16,0,8,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,,"34.350713,134.074847"
