#property,prefCode,regionCode,prefName,cityName,surveyDate,regionName,totalPopulation,male,woman,man1,woman1,man2,woman2,man3,woman3,man4,woman4,man5,woman5,man6,woman6,man7,woman7,man8,woman8,man9,woman9,man10,woman10,man11,woman11,man12,woman12,man13,woman13,man14,woman14,man15,woman15,man16,woman16,man17,woman17,man18,woman18,numberOfHouseholds,note,location
1,37201,,香川県,高松市,2/1/2023,塩屋町,344,154,190,9,11,3,4,4,3,3,3,5,5,14,13,11,15,13,16,15,11,17,16,16,25,12,8,12,13,6,10,7,12,4,8,1,5,2,12,199,,"34.342286,134.055021"
2,37201,,香川県,高松市,2/1/2023,築地町,687,316,371,11,10,8,14,8,11,11,8,16,17,20,22,14,15,16,20,21,15,19,29,29,31,27,22,22,21,23,26,21,29,28,26,10,28,12,27,411,,"34.341274,134.056839"
3,37201,,香川県,高松市,2/1/2023,塩上町,120,63,57,2,2,2,1,1,0,0,0,2,2,17,5,8,3,2,3,1,2,6,5,2,2,3,4,3,1,3,2,2,3,4,6,0,9,5,7,82,,"34.335876,134.052375"
4,37201,,香川県,高松市,2/1/2023,塩上町１丁目,184,99,85,0,0,1,2,2,1,2,0,6,3,4,2,4,1,7,2,9,0,4,4,11,8,4,6,6,4,3,8,8,8,12,12,8,10,8,14,129,,"34.338200,134.053646"
5,37201,,香川県,高松市,2/1/2023,塩上町２丁目,686,333,353,5,4,5,7,9,5,11,11,25,23,26,23,15,10,13,13,22,17,36,31,28,30,30,24,25,21,25,29,18,26,22,23,7,24,11,32,447,,"34.338544,134.055472"
6,37201,,香川県,高松市,2/1/2023,塩上町３丁目,613,298,315,10,13,11,8,16,13,12,8,14,13,19,20,11,10,22,20,21,21,29,28,18,16,18,18,15,12,13,22,30,29,20,28,9,15,10,21,354,,"34.339112,134.057533"
7,37201,,香川県,高松市,2/1/2023,八坂町,74,33,41,3,1,1,2,0,1,1,1,0,1,1,3,2,1,1,0,4,4,2,1,0,1,1,3,2,2,1,2,4,4,0,5,4,5,6,4,43,,"34.339782,134.053748"
8,37201,,香川県,高松市,2/1/2023,福田町,234,102,132,2,1,3,3,5,3,8,6,4,4,6,2,1,2,5,5,3,13,8,10,6,7,6,6,12,12,7,8,8,15,7,6,7,8,4,21,132,,"34.341477,134.053890"
9,37201,,香川県,高松市,2/1/2023,常磐町１丁目,124,54,70,1,3,4,2,0,3,1,3,2,4,4,3,1,1,3,5,4,5,7,7,4,3,5,3,7,8,1,3,4,6,4,2,0,3,2,6,70,,"34.338740,134.051256"
10,37201,,香川県,高松市,2/1/2023,常磐町２丁目,247,134,113,0,2,3,2,2,2,1,1,12,8,19,7,6,4,6,3,11,3,5,6,11,7,11,10,11,7,7,4,10,12,4,5,6,11,9,19,175,,"34.337613,134.051101"
11,37201,,香川県,高松市,2/1/2023,瓦町１丁目,183,99,84,0,1,2,2,4,2,5,3,3,4,8,3,4,5,3,2,5,1,6,8,9,6,11,6,8,3,5,7,10,7,6,7,7,7,3,10,125,,"34.341325,134.051585"
12,37201,,香川県,高松市,2/1/2023,瓦町２丁目,255,113,142,1,1,3,3,2,2,2,4,5,5,6,7,4,7,5,2,6,6,7,13,8,8,9,4,10,10,8,8,15,25,11,11,3,9,8,17,165,,"34.339954,134.051305"
13,37201,,香川県,高松市,2/1/2023,古馬場町,174,91,83,0,0,0,0,2,1,2,0,5,2,3,2,10,1,2,0,3,3,11,3,5,4,5,7,5,4,9,7,10,8,7,8,3,7,9,26,127,,"34.342517,134.051924"
14,37201,,香川県,高松市,2/1/2023,御坊町,127,64,63,0,3,1,1,4,1,5,1,2,0,3,3,3,1,4,2,3,2,6,6,5,7,8,5,4,2,2,4,5,5,4,6,0,7,5,7,62,,"34.343378,134.052548"
15,37201,,香川県,高松市,2/1/2023,今新町,116,54,62,1,0,3,0,0,2,1,0,2,2,3,2,0,2,2,1,3,2,6,3,5,5,6,5,2,3,2,4,6,9,4,3,1,6,7,13,77,,"34.343979,134.052660"
16,37201,,香川県,高松市,2/1/2023,大工町,165,81,84,0,1,2,0,3,0,0,2,4,2,2,1,6,3,4,3,5,1,10,6,6,9,6,4,5,5,8,9,6,13,4,9,4,5,6,11,113,,"34.344544,134.052793"
17,37201,,香川県,高松市,2/1/2023,百間町,275,141,134,2,2,4,2,3,6,9,4,6,3,10,5,7,4,4,7,10,12,15,11,16,10,9,12,5,5,8,8,12,5,10,16,2,5,9,17,182,,"34.345116,134.052861"
18,37201,,香川県,高松市,2/1/2023,片原町,280,125,155,1,3,5,3,6,6,3,4,4,4,2,3,5,3,7,7,5,5,8,13,8,14,11,10,15,11,12,10,8,17,8,12,9,9,8,21,164,,"34.345681,134.053043"
19,37201,,香川県,高松市,2/1/2023,鶴屋町,267,133,134,2,2,2,6,0,3,0,4,3,3,8,6,7,2,12,5,10,5,10,11,10,9,10,6,7,8,13,12,15,12,13,13,5,7,6,20,177,,"34.346738,134.055123"
20,37201,,香川県,高松市,2/1/2023,本町,453,228,225,4,3,3,0,2,1,4,8,38,36,14,28,15,8,8,6,5,6,18,10,15,11,22,16,15,10,23,18,11,11,11,19,11,12,9,22,339,,"34.348509,134.054779"
21,37201,,香川県,高松市,2/1/2023,北浜町,378,177,201,3,4,5,2,4,4,5,7,3,5,10,2,10,9,14,10,6,11,17,13,18,17,14,14,20,19,15,19,9,20,8,9,10,12,6,24,239,,"34.350584,134.055577"
22,37201,,香川県,高松市,2/1/2023,朝日町１丁目,14,9,5,0,0,0,0,0,0,0,0,1,0,7,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,,"34.349551,134.062394"
23,37201,,香川県,高松市,2/1/2023,朝日町２丁目,320,175,145,1,3,4,4,1,8,11,5,31,5,21,4,8,1,15,6,11,7,11,7,6,8,7,9,7,7,6,7,10,11,10,15,8,16,7,22,207,,"34.349476,134.065023"
24,37201,,香川県,高松市,2/1/2023,朝日町３丁目,13,10,3,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,2,1,0,9,,"34.349433,134.067854"
25,37201,,香川県,高松市,2/1/2023,朝日町４丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,"34.355141,134.063999"
26,37201,,香川県,高松市,2/1/2023,朝日町５丁目,31,31,0,0,0,0,0,0,0,0,0,1,0,16,0,9,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,,"34.350713,134.074847"
27,37201,,香川県,高松市,2/1/2023,朝日町６丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,,"34.358639,134.077278"
28,37201,,香川県,高松市,2/1/2023,東浜町１丁目,84,42,42,2,0,0,1,1,0,0,2,2,4,5,6,2,2,3,2,1,1,2,2,4,1,2,4,3,1,1,2,3,2,2,4,4,2,5,6,59,,"34.345672,134.057062"
29,37201,,香川県,高松市,2/1/2023,城東町１丁目,151,72,79,0,0,1,1,0,3,1,1,5,6,7,1,4,5,4,2,6,3,4,4,6,6,3,4,4,5,5,5,7,13,6,7,6,3,3,10,105,,"34.34741472,134.05595611"
30,37201,,香川県,高松市,2/1/2023,城東町２丁目,101,50,51,0,0,0,0,1,3,1,2,4,4,2,3,2,0,1,0,3,1,2,5,4,7,7,1,2,0,5,2,3,2,3,1,4,8,6,12,63,,"34.349670,134.058749"
31,37201,,香川県,高松市,2/1/2023,朝日新町,6,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,,"34.360121,134.067116"
32,37201,,香川県,高松市,2/1/2023,通町,88,36,52,0,0,0,0,1,2,0,1,3,2,7,4,3,0,1,1,0,5,4,4,4,2,1,2,2,4,1,0,2,5,3,4,3,4,1,12,55,,"34.345184,134.055567"
33,37201,,香川県,高松市,2/1/2023,井口町,191,97,94,6,0,3,2,4,3,1,1,8,5,9,5,5,4,6,4,5,9,8,5,17,9,4,6,3,4,5,3,5,8,3,10,1,6,4,10,128,,"34.345031,134.057334"
34,37201,,香川県,高松市,2/1/2023,末広町,374,179,195,6,2,5,3,9,8,7,6,7,5,6,8,7,3,9,11,15,21,19,16,11,14,14,16,14,11,11,15,9,20,15,8,3,9,12,19,211,,"34.344064,134.057235"
35,37201,,香川県,高松市,2/1/2023,福岡町１丁目,396,203,193,8,5,12,4,8,9,4,11,6,11,6,8,10,4,12,10,16,12,18,19,18,18,11,9,9,14,20,9,15,21,17,13,8,7,5,9,219,,"34.346039,134.061190"
