"#property","prefCode","regionCode","prefName","cityName","surveyDate","regionName","totalPopulation","male","woman","man1","woman1","man2","woman2","man3","woman3","man4","woman4","man5","woman5","man6","woman6","man7","woman7","man8","woman8","man9","woman9","man10","woman10","man11","woman11","man12","woman12","man13","woman13","man14","woman14","man15","woman15","man16","woman16","man17","woman17","man18","woman18","numberOfHouseholds","note","location"
"1","37201",,"香川県","高松市","9/1/2019","塩屋町","230","101","129","0","5","4","2","3","2","3","3","5","7","9","4","2","7","10","5","7","11","12","15","10","8","7","10","5","10","5","7","11","10","2","6","1","7","5","10","143",,"34.342286,134.055021"
"2","37201",,"香川県","高松市","9/1/2019","築地町","691","323","368","4","6","8","9","8","9","14","9","13","18","21","21","18","19","18","21","25","22","25","27","25","23","24","23","27","29","20","28","35","30","16","23","14","22","8","29","411",,"34.341274,134.056839"
"3","37201",,"香川県","高松市","9/1/2019","塩上町","121","63","58","1","1","3","1","0","0","2","1","8","4","12","3","6","2","0","5","1","5","5","1","2","3","4","4","3","2","4","3","3","4","3","9","3","5","3","5","85",,"34.335876,134.052375"
"4","37201",,"香川県","高松市","9/1/2019","塩上町１丁目","214","113","101","1","1","2","2","2","0","5","1","5","5","8","4","3","4","10","1","6","4","12","4","7","12","7","4","4","7","7","10","13","12","9","12","6","8","6","10","142",,"34.338200,134.053646"
"5","37201",,"香川県","高松市","9/1/2019","塩上町２丁目","728","340","388","6","12","7","3","11","12","9","11","26","24","30","17","13","15","24","20","27","29","29","35","22","26","30","22","20","23","17","25","31","24","17","30","7","23","14","37","463",,"34.338544,134.055472"
"6","37201",,"香川県","高松市","9/1/2019","塩上町３丁目","633","310","323","11","11","17","10","12","10","9","11","17","13","12","17","18","13","19","24","28","25","23","18","21","21","16","11","19","23","25","27","31","33","10","18","9","19","13","19","361",,"34.339112,134.057533"
"7","37201",,"香川県","高松市","9/1/2019","八坂町","84","35","49","2","1","1","1","0","2","0","0","1","2","2","4","1","0","3","1","5","5","1","1","1","3","2","0","0","3","1","5","4","5","3","5","4","4","4","7","49",,"34.339782,134.053748"
"8","37201",,"香川県","高松市","9/1/2019","福田町","262","119","143","3","4","7","3","8","6","5","3","8","4","3","3","4","6","5","7","11","18","6","4","8","8","4","13","15","8","6","13","11","13","6","7","5","5","4","18","140",,"34.341477,134.053890"
"9","37201",,"香川県","高松市","9/1/2019","常磐町１丁目","138","60","78","4","3","1","2","0","2","3","3","4","2","2","4","0","3","4","5","6","9","5","6","6","3","9","9","2","4","1","6","7","3","1","2","2","3","3","9","73",,"34.338740,134.051256"
"10","37201",,"香川県","高松市","9/1/2019","常磐町２丁目","265","128","137","1","4","3","2","1","1","2","4","13","13","11","11","3","3","8","7","9","5","6","7","13","10","10","9","10","7","8","9","10","7","8","11","7","12","5","15","180",,"34.337613,134.051101"
