"#property","latitude","longitude","prefCode","identification","pref","city","name","fullNameInKana","fullNameInRomaji","address","katagaki","installationPosition","totalMensRestroom","smallMensRestroom","japaneseMensRestroom","westernMensRestroom","totalWomanRestroom","japaneseWomanRestroom","westernWomanRestroom","sharedRestroom","japaneseSharedRestroom","westernSharedRestroom","multifunctionalRestroom","wheelchairRestroom","anInfantRestroom","ostomateRestroom","startTime","endTime","availableDateNote","image","iamgeLicense","note"
"125","34.39003667","134.13233","37201","125","香川県","高松市","庵治朝日児童公園","アジアサヒジドウコウエン","","高松市庵治町1256-1","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"126","34.38591778","134.13309167","37201","126","香川県","高松市","庵治交通ミニ公園","アジコウツウミニコウエン","","高松市庵治町826-1","","","","","","","","","","1","1","","","無","無","無","","","","","",""
"127","34.38066417","134.12376306","37201","127","香川県","高松市","庵治城岬公園","アジシロバナコウエン","","高松市庵治町6392-91","","","3","2","1","","2","2","","","","","1","有","無","無","","","","","",""
"128","34.30446111","134.05483","37201","128","香川県","高松市","太田中央公園","オオタチュウオウコウエン","","高松市多肥下町1512","","","3","2","1","","1","1","","","","","1","有","無","無","","","","","",""
"129","34.32028556","134.058485","37201","129","香川県","高松市","松縄流石中央公園","マツナワナガレイシチュウオウコウエン","","高松市松縄町1015","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"130","34.33115472","134.0345525","37201","130","香川県","高松市","紫雲公園","シウンコウエン","","高松市宮脇町二丁目439-6","","","1","1","","","","","","1","1","","","無","無","無","","","","","",""
"131","34.32530333","134.05862611","37201","131","香川県","高松市","今里中央公園","イマザトチュウオウコウエン","","高松市今里町一丁目20","","","3","2","1","","2","2","","","","","1","有","無","無","","","","","",""
"132","34.31416222","134.05503222","37201","132","香川県","高松市","伏石中央公園","フセイシチュウオウコウエン","","高松市伏石町2077","","","3","2","1","","2","2","","","","","1","有","無","無","","","","","",""
"133","34.30308417","134.06420222","37201","133","香川県","高松市","長池中央公園","ナガイケチュウオウコウエン","","高松市林町2581-1","","","3","2","1","","2","2","","","","","","無","無","無","","","","","",""
"134","34.31567444","134.06570556","37201","134","香川県","高松市","木太中央公園","キタチュウオウコウエン","","高松市木太町5052","","","3","2","1","","2","2","","","","","1","有","有","無","","","","","",""
"135","34.30894556","134.06463917","37201","135","香川県","高松市","平塚中央公園","ヒラツカチュウオウコウエン","","高松市木太町5092-1","","","3","2","1","","2","2","","","","","1","有","無","無","","","","","",""
"136","34.34749417","134.13416333","37201","136","香川県","高松市","御山公園","ミヤマコウエン","","高松市牟礼町牟礼1355-1","","多目的広場","","","","","","","","1","1","","","無","無","無","","","","","",""
"137","34.34749417","134.13416333","37201","137","香川県","高松市","御山公園","ミヤマコウエン","","高松市牟礼町牟礼1355-1","","事務所","4","3","1","","2","2","","","","","2","有","無","無","","","","","",""
"138","34.3340425","134.15809667","37201","138","香川県","高松市","房前公園","フサザキコウエン","","高松市牟礼町原632","","","2","1","1","","2","2","","","","","1","有","無","無","","","","","",""
"139","34.331275","134.11538","37201","139","香川県","高松市","菱の池公園","シノイケコウエン","","高松市高松町1211-28","","","1","1","","","","","","1","1","","","無","無","無","","","","","",""
"140","34.331275","134.11538","37201","140","香川県","高松市","菱の池公園","シノイケコウエン","","高松市高松町1211-28","","","2","1","1","","2","2","","","","","","無","無","無","","","","","",""
"141","34.27980139","134.05591361","37201","141","香川県","高松市","彦作池公園","ヒコサクイケコウエン","","高松市多肥上町2049-1","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"142","34.24167944","134.00722222","37201","142","香川県","高松市","月見ヶ原公園","ツキミガハラコウエン","","高松市香南町横井796-1","","","2","1","1","","2","2","","","","","1","有","無","無","","","","","",""
"143","34.34164389","134.04675889","37201","143","香川県","高松市","中央公園","チュウオウコウエン","","高松市番町一丁目11","","","3","2","1","","3","3","","","","","1","有","無","無","","","","","",""
"144","34.34164389","134.04675889","37201","144","香川県","高松市","中央公園","チュウオウコウエン","","高松市番町一丁目11","","","4","3","1","","3","3","","","","","","無","無","無","","","","","",""
"145","34.27322778","133.95288167","37201","145","香川県","高松市","橘ノ丘総合運動公園","タチバナノオカソウゴウコウエン","","高松市国分寺町新名2069-1","","","4","3","1","","1","1","","","","","1","有","無","無","","","","","",""
"146","34.30820583","133.95243417","37201","146","香川県","高松市","如意輪寺公園","ニョイリンジコウエン","","高松市国分寺町国分2530-2","","","2","1","1","","1","1","","","","","","無","無","無","","","","","",""
"147","34.27183306","134.04807","37201","147","香川県","高松市","仏生山公園","ブッショウザンコウエン","","高松市仏生山町甲2654-1","","西","5","3","2","","3","3","","","","","1","有","無","無","","","","","",""
"148","34.27183306","134.04807","37201","148","香川県","高松市","仏生山公園","ブッショウザンコウエン","","高松市仏生山町甲2654-1","","中","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"149","34.27183306","134.04807","37201","149","香川県","高松市","仏生山公園","ブッショウザンコウエン","","高松市仏生山町甲2654-1","","事務所","6","4","2","","4","4","","","","","1","有","無","無","","","","","",""
"150","34.27183306","134.04807","37201","150","香川県","高松市","仏生山公園","ブッショウザンコウエン","","高松市仏生山町甲2654-1","","東","1","1","","","1","1","","","","","","無","無","無","","","","","",""
"151","34.32982694","134.02650944","37201","151","香川県","高松市","峰山公園","ミネヤマコウエン","","高松市峰山町1838-37","","芝生広場西","4","3","1","","3","3","","","","","1","有","無","無","","","","","",""
"152","34.32982694","134.02650944","37201","152","香川県","高松市","峰山公園","ミネヤマコウエン","","高松市峰山町1838-37","","石船","4","3","1","","4","4","","","","","","無","無","無","","","","","",""
"153","34.32982694","134.02650944","37201","153","香川県","高松市","峰山公園","ミネヤマコウエン","","高松市峰山町1838-37","","姫塚","4","3","1","","4","4","","","","","","無","無","無","","","","","",""
"154","34.32982694","134.02650944","37201","154","香川県","高松市","峰山公園","ミネヤマコウエン","","高松市峰山町1838-37","","はにわっこ広場","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"155","34.32982694","134.02650944","37201","155","香川県","高松市","峰山公園","ミネヤマコウエン","","高松市峰山町1838-37","","第3駐車場","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"156","34.32982694","134.02650944","37201","156","香川県","高松市","峰山公園","ミネヤマコウエン","","高松市峰山町1838-37","","キャンプ場","1","1","","","","","","1","1","","1","有","無","無","","","","","",""
"157","34.32982694","134.02650944","37201","157","香川県","高松市","峰山公園","ミネヤマコウエン","","高松市峰山町1838-37","","事務所","6","4","2","","4","4","","","","","","無","無","無","","","","","",""
"158","34.382273","134.15283","37201","158","香川県","高松市","あじ竜王山公園","アジリュウオウザンコウエン","","高松市庵治町4389-1","","","3","2","1","","2","2","","","","","1","有","無","無","","","休園：毎週火曜日、年末年始。開放時間：夏季5月～10月 7時～18時、冬期11月～4月 8時～17時","","",""
"159","34.34731278","134.07805278","37201","159","香川県","高松市","木太海浜緑地","キタカイヒンリョクチ","","高松市木太町4583-9","","","1","1","","","","","","1","1","","","無","無","無","","","","","",""
"160","34.1541275","134.07593361","37201","160","香川県","高松市","内場ダム上公園","ナイバダムカミコウエン","","高松市塩江町上西字内場乙（内場池内）","","","2","1","1","","2","2","","","","","","無","無","無","","","","","",""
"161","34.16821389","134.07561056","37201","161","香川県","高松市","内場ダム下公園","ナイバダムシモコウエン","","高松市塩江町安原上東131","","","2","2","","","","","","1","1","","","無","無","無","","","","","",""
"162","34.302882","134.045509","37201","162","香川県","高松市","太田南皿井公園","オオタミナミサライコウエン","","高松市太田上町字皿井1172","","","1","1","","","","","","1","1","","1","有","無","無","","","","","",""
"163","34.32668","134.077468","37201","163","香川県","高松市","木太えびす公園","キタエビスコウエン","","高松市木太町字夷村3429-1","","","1","1","","","1","1","","","","","1","有","無","無","","","","","",""
"164","34.27090778","134.10594","37201","164","香川県","高松市","十川ふれあい公園","ソガワフレアイコウエン","","高松市十川西町613-1","","","","","","","","","","1","1","","","無","無","無","","","","","",""
"165","34.26896","134.02486","37201","165","香川県","高松市","大野ふれあい公園","オオノフレアイコウエン","","高松市香川町大野1104","","","1","1","","","","","","1","","","1","有","無","無","","","","","",""
"166","34.34403","134.00018","37201","166","香川県","高松市","香西中央公園","コウザイチュオウコウエン","","高松市香西南町551","","","1","1","","","","","","1","","","1","有","無","無","","","","","",""
"167","34.29018","134.01331","37201","167","香川県","高松市","円座れいわ公園","エンザレイワコウエン","","高松市円座町987-4","","","1","1","","","","","","1","","","1","有","無","無","","","","","",""
"168","34.37388427638902","133.94298405163897","37201","168","香川県","高松市","亀水中央公園","タルミチュウオウコウエン","","高松市亀水町458-3","","","3","2","","1","2","","2","","","","1","有","有","無","","","","","",""
"169","34.300704198532245","133.99379437763025","37201","169","香川県","高松市","まゆみ公園","マユミコウエン","","高松市御厩町771-1","","","1","1","","","","","","1","","","1","有","無","無","","","","","",""
