"#property","name","address","building","note","latitude","longitude",,,,,,,,,,,,,,,,,,,,
"1","高松市岡の上農村公園","高松市香川町浅野61-3","便所12㎡",,"34.27201","134.03929",,,,,,,,,,,,,,,,,,,,
"2","高松市伽羅土農村公園","高松市香川町浅野1302-1","便所12㎡",,"34.24807","134.03364",,,,,,,,,,,,,,,,,,,,
"3","高松市宮の前農村公園","高松市香川町浅野2080-5","便所12㎡",,"34.25372","134.04176",,,,,,,,,,,,,,,,,,,,
"4","高松市流田農村公園","高松市香川町川内原1340-2","便所12㎡",,"34.23687","134.04927",,,,,,,,,,,,,,,,,,,,
"5","高松市光栄農村公園","高松市香川町川内原2203","東屋",,"34.22368","134.05197",,,,,,,,,,,,,,,,,,,,
"6","高松市龍満池親水公園","高松市香川町川東上1865-11","便所","駐車場有","34.24206","134.03617",,,,,,,,,,,,,,,,,,,,
"7","高松市梅ヶ井農村公園","高松市香川町川東下1397","便所12㎡",,"34.24939","134.02534",,,,,,,,,,,,,,,,,,,,
"8","高松市下谷農村公園","高松市香川町東谷637","便所12㎡",,"34.2107","134.05375",,,,,,,,,,,,,,,,,,,,
"9","高松市小鵜生原広場","高松市香南町池内1015","-",,"34.2513","133.9943",,,,,,,,,,,,,,,,,,,,
"10","高松市大上親水公園","高松市香南町由佐1435-1","東屋２棟","駐車場有","34.23825","134.00829",,,,,,,,,,,,,,,,,,,,
"11","高松市香南中央農村公園","高松市香南町横井823","便所","駐車場有
（隣接駐車場、香南体育館）","34.24355","134.00713",,,,,,,,,,,,,,,,,,,,
"12","高松市新居宮池親水公園","高松市国分寺町新居3332-1","水上展望台","駐車場有","34.30868","133.97084",,,,,,,,,,,,,,,,,,,,
