#property,latitude,longitude,name,address,telephoneNumber,referenceObject,note,availableDate,startTime,endTime,availableDateNote
1,34.3367,134.155543,高松市牟礼南会館,高松市牟礼町大町1008-2,087-845-1160,,,月火水木金土日,09:00,22:00,日曜日は17:00まで。国民の祝日に関する法律に規定する休日及び年末年始（12月29日から翌年の1月3日まで）は利用不可。
2,34.38297056,134.12712111,高松市庵治やすらぎ会館,高松市庵治町6392-14,087-871-5111,,,月火水木金土日,09:00,22:00,国民の祝日に関する法律に規定する休日及び年末年始（１２月２９日から翌年の１月３日まで）は利用不可。
3,34.22676139,134.03778111,高松市香川町グリーンセンター,高松市香川町川東上604-85,087-879-5597,,,火水木金土日,09:00,22:00,年末年始（12月29日から翌年の1月3日まで）は利用不可。
4,34.29663222,133.96011083,高松市国分寺会館,高松市国分寺町新名430-2,087-874-1111,,,火水木金土日,09:00,21:00,月曜日と年末年始（１２月２９日から翌年の１月３日まで）は利用不可。ただし月曜日が国民の祝日に関する法律に規定する休日に当たるときは、その日後においてその日に最も近い休日でない日とする。
5,34.30128,133.9699,高松市新居会館,高松市国分寺町新居387-2,087-874-7202,,,月火水木金土日,09:00,22:00,日曜日は17:00まで。国民の祝日に関する法律に規定する休日及び年末年始（12月29日から翌年の1月3日まで）は利用不可。
6,34.29422,133.97525,高松市福家会館,高松市国分寺町福家乙21-43,087-874-6805,,,月火水木金土日,09:00,22:00,日曜日は17:00まで。国民の祝日に関する法律に規定する休日及び年末年始（12月29日から翌年の1月3日まで）は利用不可。
7,34.42221861,134.05416972,高松市男木交流館,高松市男木町1986,087-873-0006,http://www.city.takamatsu.kagawa.jp/kurashi/kurashi/shimin_katsudo/shimindandai/sonota/ogi/index.html,,月火水木金土日,06:30,17:00,無休
