"#property","latitude","longitude","name","address","shelter","capacity","district"
"1","34.34657056","134.06495","ホテルパールガーデン","高松市福岡町二丁目2-1","２階・３階","1750","松島"
"2","34.34667333","134.0657719","ホテルマリンパレスさぬき","高松市福岡町二丁目3-4","２階・３階","1150","松島"
"3","34.34510972","134.0717994","イオン高松東店","高松市福岡町三丁目8-5","立体駐車場の３階以上","10000","松島"
"4","34.34324028","134.070955","福岡会館","高松市福岡町三丁目31-18","２階","150","松島"
"5","34.34065167","134.0674556","国土交通省四国地方整備局  香川河川国道事務所","高松市福岡町四丁目26-32","北館２階会議室","100","松島"
"6","34.34182111","134.0742075","総合体育館","高松市福岡町四丁目36-1","２階から４階まで","4500","松島"
"7","34.34009889","134.0650111","松島コミュニティセンター","高松市松福町二丁目15-24","２階","100","松島"
"8","34.33846583","134.0608339","高松商業高等学校","高松市松島町一丁目18-54","体育館　２階","1000","松島"
"9","34.33921861","134.0652722","たまや１１号線店","高松市松島町二丁目5-20","立体駐車場の３階以上","2850","松島"
"10","34.33912694","134.0671611","ラウンドワン・スタジアム高松店","高松市松島町二丁目7-43","駐車場棟　２階以上","3600","松島"
"11","34.33857139","134.0629114","高松第一学園","高松市松島町二丁目14-5","校舎","1000","松島"
"12","34.3451625","134.0688414","建設クリエイトビル","高松市福岡町三丁目11-22","３，４，５階廊下部分および５階第二会議室","220","松島"
"13","34.33427194","134.0664836","玉藻中学校","高松市上福岡町714-1","校舎","300","花園"
"14","34.3372075","134.0590481","あなぶきＰＭアカデミー","高松市多賀町二丁目8-2","３階の一部と４階","350","花園"
"15","34.33356056","134.0576147","花園小学校","高松市花園町二丁目7-7","校舎","250","花園"
"16","34.33639917","134.0535956","第２ダイヤビル","高松市観光通二丁目2-15","９階","350","花園"
"17","34.33590194","134.0566706","花園コミュニティセンター","高松市観光通二丁目8-9","２階","150","花園"
"18","34.34079583","134.0573814","築地コミュニティセンター","高松市築地町14-1","２階","150","築地"
"19","34.33887667","134.0522514","コトデン瓦町ビル","高松市常磐町一丁目3-1","２階デッキ部分とコンコース","5500","築地"
"20","34.34312333","134.0575728","株式会社アムロン本社ビル","高松市築地町2-5","４階コミュニケーションルーム、５階会議室","150","築地"
"21","34.34533972","134.0535814","高松市生涯学習センター（まなびＣＡＮ）","高松市片原町11-1","２階・３階","800","新塩屋町"
"22","34.34711472","134.0552675","ファーストイン高松","高松市鶴屋町2-3","４階・５階の通路スペース","150","新塩屋町"
"23","34.35043917","134.055845","特別養護老人ホーム玉藻荘","高松市北浜町7-10","３階・６階","100","新塩屋町"
"24","34.34518417","134.0551314","ニューグランデみまつ","高松市通町2-3","３階","200","新塩屋町"
"25","34.34375667","134.0563119","総合教育センター","高松市末広町5","２階・３階","100","新塩屋町"
"26","34.34643417","134.0620308","競輪場（選手宿舎，プレスセンター）","高松市福岡町一丁目4-46","２階から５階まで","2150","新塩屋町"
"27","34.34722306","134.0558478","新塩屋町コミュニティセンター","高松市城東町一丁目1-47","２階","100","新塩屋町"
"28","34.34792833","134.0577783","シティホール高松","高松市城東町一丁目4-17","２階から４階まで","1600","新塩屋町"
"29","34.34723972","134.0572228","ビジネスホテル東宝イン高松","高松市城東町一丁目5-18","２階から１０階まで","2400","新塩屋町"
"30","34.34536472","134.0510844","ホテル川六エルステージ","高松市百間町1-2","エルステージ館の３階から１１階の廊下部分・禁煙館の３階から１２階","400","新塩屋町"
"31","34.35120306","134.0524647","レクザムホール（香川県県民ホール）","高松市玉藻町9-10","２階・４階・５階のロビー","850","四番丁"
"32","34.34689806","134.0539369","Ｇ−ＯＮＥ","高松市丸の内12-3","立体駐車場の３階以上","2000","四番丁"
"33","34.34676722","134.051165","高松丸亀町壱番街駐車場","高松市内町2-1","２階以上","13100","四番丁"
"34","34.34613667","134.0478458","高松東急ＲＥＩホテル","高松市兵庫町9-9","３階宴会場","150","四番丁"
"35","34.34465","134.05093","丸亀町くるりん駐車場","高松市大工町8-1","２階以上","5081","四番丁"
"36","34.34417028","134.0492236","美術館","高松市紺屋町10-4","３階","350","四番丁"
"37","34.34583972","134.0505317","高松丸亀町レッツホール，カルチャールーム","高松市丸亀町1-1","高松丸亀町壱番街ビル東館４階","150","四番丁"
"38","34.34155667","134.0487486","丸亀町まるい亀さん","高松市亀井町1-2","２階以上","3200","四番丁"
"39","34.34347028","134.0463461","四番丁小学校跡施設南北棟","高松市番町一丁目5-1","２階以上","100","四番丁"
"40","34.34372306","134.0444686","四番丁コミュニティセンター","高松市番町二丁目3-5","２階","100","四番丁"
"41","34.34442306","134.0421797","高松工芸高等学校","高松市番町二丁目9-30","体育館　２階","1000","四番丁"
"42","34.34201222","134.0438575","高松高等学校","高松市番町三丁目1-1","体育館　２階","1000","四番丁"
"43","34.34458667","134.0359136","二番丁コミュニティセンター","高松市扇町二丁目8-7","２階","100","二番丁"
"44","34.3482975","134.0440961","高松センチュリーホテル","高松市錦町一丁目4-19","本館屋上","200","二番丁"
"45","34.34594222","134.0405436","新番丁小学校","高松市錦町二丁目14-1","校舎","750","二番丁"
"46","34.35111111","134.0469903","JRホテルクレメント高松","高松市浜ノ町1-1","２階共用廊下・３階宴会ロビー","850","二番丁"
"47","34.34975583","134.0423183","四国旅客鉄道株式会社本社ビル","高松市浜ノ町8-33","８階と屋上","500","二番丁"
"48","34.35166","134.03847","ロイヤルガーデン高松駅西オーシャンビュー壱番館","高松市浜ノ町265番3","各階%2525252525282～14階）の廊下及び屋上供用部分","282","二番丁"
