#LINK,,,,
#lang,ja,,,
#attribution_name,高松市,,,
#license,http://creativecommons.org/licenses/by/3.0/deed.ja,,,
#file_name,0084,,,
#download_from,https://opendata.smartcity-takamatsu.jp/ckan/dataset/menu_Information,,,
#property,lunchDay,menuName,foodName,quantity
#object_type_xsd,string,string,string,string
#property_context,Assertion,Assertion,Assertion,Assertion
1,9/1/2021,ごはん,精白米（委託・白）,80
2,9/1/2021,牛乳,牛肉（2×2㎝スライス）,206
3,9/1/2021,豚キムチどんぶり,豚肉並（3×3㎝スライス）,35
4,9/1/2021,豚キムチどんぶり,生姜,1
5,9/1/2021,豚キムチどんぶり,清酒,1
6,9/1/2021,豚キムチどんぶり,濃口しょうゆ,0.4
7,9/1/2021,豚キムチどんぶり,玉葱,30
8,9/1/2021,豚キムチどんぶり,キャベツ,25
9,9/1/2021,豚キムチどんぶり,白菜キムチ,20
10,9/1/2021,豚キムチどんぶり,人参,8
11,9/1/2021,豚キムチどんぶり,中ねぎ,8
12,9/1/2021,豚キムチどんぶり,にんにく　,0.5
13,9/1/2021,豚キムチどんぶり,ごま油,1
14,9/1/2021,豚キムチどんぶり,濃口しょうゆ,2
15,9/1/2021,豚キムチどんぶり,上白糖,0.8
16,9/1/2021,小松菜のナムル,もやし,40
17,9/1/2021,小松菜のナムル,小松菜,25
18,9/1/2021,小松菜のナムル,人参,5
19,9/1/2021,小松菜のナムル,炒り白ごま,2
20,9/1/2021,小松菜のナムル,棒々鶏ドレッシング,8
21,9/2/2021,中華風炊き込みごはん(麦入り),精白米（自校）,55
22,9/2/2021,中華風炊き込みごはん(麦入り),米粒麦　自校,5
23,9/2/2021,中華風炊き込みごはん(麦入り),焼き豚（1㎝角切り）,20
24,9/2/2021,中華風炊き込みごはん(麦入り),たけのこ水煮（ホール）,10
25,9/2/2021,中華風炊き込みごはん(麦入り),人参,5
26,9/2/2021,中華風炊き込みごはん(麦入り),中ねぎ,5
27,9/2/2021,中華風炊き込みごはん(麦入り),（冷）むき枝豆,5
28,9/2/2021,中華風炊き込みごはん(麦入り),干ししいたけ（スライス）,0.5
29,9/2/2021,中華風炊き込みごはん(麦入り),ごま油,1
30,9/2/2021,中華風炊き込みごはん(麦入り),清酒,4
31,9/2/2021,中華風炊き込みごはん(麦入り),濃口しょうゆ,3.5
32,9/2/2021,中華風炊き込みごはん(麦入り),上白糖,0.8
33,9/2/2021,中華風炊き込みごはん(麦入り),食塩,0.4
34,9/2/2021,牛乳,牛乳,206
35,9/2/2021,ひじきサラダ,キャベツ,25
36,9/2/2021,ひじきサラダ,きゅうり,20
37,9/2/2021,ひじきサラダ,人参,7
38,9/2/2021,ひじきサラダ,（缶）ホールコーン,5
39,9/2/2021,ひじきサラダ,（乾）ひじき,1.3
40,9/2/2021,ひじきサラダ,焙煎ごまドレッシング,8
41,9/2/2021,フルーツ白玉,（レト）パインアップル,20
42,9/2/2021,フルーツ白玉,（レト）みかん,20
43,9/2/2021,フルーツ白玉,（レト）黄桃,20
44,9/2/2021,フルーツ白玉,（冷）カラフルボール,20
45,9/2/2021,フルーツ白玉,（冷）カクテルゼリー,15
46,9/2/2021,ミックスナッツ（中のみ）,（袋）ミックスナッツ,15
47,9/3/2021,コッペパン（袋入り）,（袋）コッペパン,50
48,9/3/2021,牛乳,牛乳,206
49,9/3/2021,おからハンバーグ,（冷）おからハンバーグ　ボイル用,60
50,9/3/2021,ゆで野菜,キャベツ,35
51,9/3/2021,ゆで野菜,人参,5
52,9/3/2021,ゆで野菜,（袋）トマトケチャップ　,8
53,9/3/2021,ゆで野菜,（DP)ケチャップ＆マスタード,8
54,9/3/2021,クラムチャウダー,（冷）あさりむき身,15
55,9/3/2021,クラムチャウダー,白ぶどう酒,1
56,9/3/2021,クラムチャウダー,ベーコン（短冊）,5
57,9/3/2021,クラムチャウダー,（レト）大豆ペースト,15
58,9/3/2021,クラムチャウダー,じゃがいも,30
59,9/3/2021,クラムチャウダー,皮むき玉葱,30
60,9/3/2021,クラムチャウダー,人参,5
61,9/3/2021,クラムチャウダー,パセリ,0.5
62,9/3/2021,クラムチャウダー,バター,0.5
63,9/3/2021,クラムチャウダー,（レト）がらスープ,4
64,9/3/2021,クラムチャウダー,チキンコンソメ,0.6
65,9/3/2021,クラムチャウダー,食塩,0.6
66,9/3/2021,クラムチャウダー,こしょう,0.05
67,9/3/2021,クラムチャウダー,コーンスターチ,1
68,9/3/2021,クラムチャウダー,調理用牛乳,30
69,9/3/2021,クラムチャウダー,湯,50
70,9/3/2021,チーズ（中のみ）,（個）チーズ　鉄強化,15
71,9/6/2021,ごはん　,精白米（自校）,75
72,9/6/2021,牛乳,牛乳,206
73,9/6/2021,厚揚げとなすのみそ炒め,豚肉並ミンチ,15
74,9/6/2021,厚揚げとなすのみそ炒め,清酒,2
75,9/6/2021,厚揚げとなすのみそ炒め,（冷）厚揚げ（カット）,40
76,9/6/2021,厚揚げとなすのみそ炒め,玉葱,25
77,9/6/2021,厚揚げとなすのみそ炒め,なす,15
78,9/6/2021,厚揚げとなすのみそ炒め,チンゲンサイ,10
79,9/6/2021,厚揚げとなすのみそ炒め,人参,10
80,9/6/2021,厚揚げとなすのみそ炒め,たけのこ水煮（ホール）,8
81,9/6/2021,厚揚げとなすのみそ炒め,生姜,0.6
82,9/6/2021,厚揚げとなすのみそ炒め,にんにく　,0.2
83,9/6/2021,厚揚げとなすのみそ炒め,ごま油,1
