"#property","lunchDay","menuName","foodName","quantity"
"49","7/2","そうめん汁","中ねぎ","5"
"50","7/2","そうめん汁","乾）そうめん","5"
"51","7/2","そうめん汁","食塩","0.3"
"52","7/2","そうめん汁","しょうゆ","0.4"
"53","7/2","そうめん汁","削り節　だし用","4"
"54","7/2","そうめん汁","出し昆布","1"
"55","7/2","そうめん汁","水","125"
"56","7/2","七夕ゼリー","（個）七夕ゼリー","50"
"57","7/3","カレーピラフ","精白米（自校）","60"
"58","7/3","カレーピラフ","鉄強化米","0.5"
"59","7/3","カレーピラフ","（冷）鶏肉　胸・皮なし（１×１㎝）","12"
"60","7/3","カレーピラフ","（冷）鶏肉　もも・皮なし（１×１㎝）","8"
"61","7/3","カレーピラフ","白ぶどう酒","1"
"62","7/3","カレーピラフ","玉葱","20"
"63","7/3","カレーピラフ","人参","5"
"64","7/3","カレーピラフ","エリンギ（１×２×０．３㎝）","5"
"65","7/3","カレーピラフ","（冷）グリンピース","5"
"66","7/3","カレーピラフ","サラダ油","1"
"67","7/3","カレーピラフ","食塩","0.65"
"68","7/3","カレーピラフ","こしょう","0.03"
"69","7/3","カレーピラフ","カレー粉","0.7"
"70","7/3","カレーピラフ","チキンコンソメ","0.4"
"71","7/3","カレーピラフ","ウスターソース","0.7"
"72","7/3","牛乳","牛乳","206"
"73","7/3","かぼちゃのサラダ","（生）かぼちゃ（２×２㎝）","55"
"74","7/3","かぼちゃのサラダ","（缶）ホールコーン","5"
"75","7/3","かぼちゃのサラダ","人参","5"
"76","7/3","かぼちゃのサラダ","（冷）むき枝豆　１㎏","5"
"77","7/3","かぼちゃのサラダ","ゆで塩","0.5"
"78","7/3","かぼちゃのサラダ","（個）マヨネーズ","8"
"79","7/3","うずらたまごとチンゲンサイのスープ","（生）かぼちゃ（２×２㎝）","55"
"80","7/3","うずらたまごとチンゲンサイのスープ","（缶）ホールコーン","5"
"81","7/3","うずらたまごとチンゲンサイのスープ","人参","5"
"82","7/3","うずらたまごとチンゲンサイのスープ","（冷）むき枝豆　１㎏","5"
"83","7/3","うずらたまごとチンゲンサイのスープ","ゆで塩","0.5"
"84","7/3","うずらたまごとチンゲンサイのスープ","（個）マヨネーズ","8"
"85","7/3","　ミックスナッツ（中のみ）","（個）ミックスナッツ","15"
"86","7/4","ごはん　","精白米（委託・白）","70"
"87","7/4","ごはん　","精白米（委託・白）","80"
"88","7/4","牛乳","牛乳","206"
"89","7/4","ぶた肉のしょうが焼き　","豚肉並（３×３㎝スライス）","45"
"90","7/4","ぶた肉のしょうが焼き　","生姜","1.5"
"91","7/4","ぶた肉のしょうが焼き　","玉葱","45"
"92","7/4","ぶた肉のしょうが焼き　","人参","7"
"93","7/4","ぶた肉のしょうが焼き　","しょうゆ","4"
"94","7/4","ぶた肉のしょうが焼き　","清酒","1"
"95","7/4","ぶた肉のしょうが焼き　","みりん","0.5"
"96","7/4","ぶた肉のしょうが焼き　","上白糖","1"
"97","7/4","ぶた肉のしょうが焼き　","サラダ油","2"
"98","7/4","ゆで野菜","キャベツ","20"
"99","7/4","ゆで野菜","きゅうり","15"
