"#property","lunchDay","menuName","foodName","quantity"
"1","6/3","黒糖パン","黒糖パン","50"
"2","6/3","黒糖パン","黒糖パン","50"
"3","6/3","黒糖パン","粉黒糖","7.5"
"4","6/3","黒糖パン","粉黒糖","7.5"
"5","6/3","牛乳","牛乳","206"
"6","6/3","ぶた肉の角煮","豚肉赤身（２㎝角）","50"
"7","6/3","ぶた肉の角煮","サラダ油","1"
"8","6/3","ぶた肉の角煮","（乾）早煮昆布（カット）","0.8"
"9","6/3","ぶた肉の角煮","生姜","0.8"
"10","6/3","ぶた肉の角煮","にんにく　","0.3"
"11","6/3","ぶた肉の角煮","しょうゆ","2.5"
"12","6/3","ぶた肉の角煮","中双糖","2"
"13","6/3","ぶた肉の角煮","清酒","2.5"
"14","6/3","ぶた肉の角煮","だし汁","15"
"15","6/3","　ゴーヤチャンプルー","ベーコン（短冊）","5"
"16","6/3","　ゴーヤチャンプルー","豆腐","15"
"17","6/3","　ゴーヤチャンプルー","キャベツ","25"
"18","6/3","　ゴーヤチャンプルー","もやし","15"
"19","6/3","　ゴーヤチャンプルー","ゴーヤ","15"
"20","6/3","　ゴーヤチャンプルー","人参","7"
"21","6/3","　ゴーヤチャンプルー","サラダ油","1"
"22","6/3","　ゴーヤチャンプルー","しょうゆ","0.8"
"23","6/3","　ゴーヤチャンプルー","チキンコンソメ","0.3"
"24","6/3","　ゴーヤチャンプルー","食塩","0.2"
"25","6/3","　ゴーヤチャンプルー","こしょう","0.03"
"26","6/3","　ゴーヤチャンプルー","ごま油","0.5"
"27","6/3","　ゴーヤチャンプルー","花かつお　１kg","0.5"
"28","6/3","アーサー汁","ボンレスハム（短冊）卵抜き","5"
"29","6/3","アーサー汁","玉葱","20"
"30","6/3","アーサー汁","えのきたけ","10"
"31","6/3","アーサー汁","人参","7"
"32","6/3","アーサー汁","（乾）あおさのり　100g","0.5"
"33","6/3","アーサー汁","清酒","1"
"34","6/3","アーサー汁","（袋）がらスープ　１ｋｇ","2"
"35","6/3","アーサー汁","しょうゆ","0.8"
"36","6/3","アーサー汁","チキンコンソメ","0.3"
"37","6/3","アーサー汁","食塩","0.4"
"38","6/3","アーサー汁","ごま油","0.3"
"39","6/3","アーサー汁","削り節　だし用","4"
"40","6/3","アーサー汁","出し昆布","1"
"41","6/3","アーサー汁","湯","140"
"42","6/3","（個）ちんすこう","ちんすこう","9"
"43","6/4","いり黒豆のたきこみごはん","精白米（自校）","60"
"44","6/4","いり黒豆のたきこみごはん","鉄強化米","0.5"
"45","6/4","いり黒豆のたきこみごはん","牛肉（２×２㎝スライス）","20"
"46","6/4","いり黒豆のたきこみごはん","炒り黒豆","8"
"47","6/4","いり黒豆のたきこみごはん","油揚げ","5"
"48","6/4","いり黒豆のたきこみごはん","人参","7"
"49","6/4","いり黒豆のたきこみごはん","サラダ油","0.8"
"50","6/4","いり黒豆のたきこみごはん","しょうゆ","3"
"51","6/4","いり黒豆のたきこみごはん","清酒","2"
"52","6/4","いり黒豆のたきこみごはん","上白糖","1.5"
"53","6/4","いり黒豆のたきこみごはん","食塩","0.5"
"54","6/4","牛乳","牛乳","206"
"55","6/4","きんぴらごぼう","てんぷら","15"
"56","6/4","きんぴらごぼう","洗いごぼう","25"
"57","6/4","きんぴらごぼう","つきこんにゃく","10"
"58","6/4","きんぴらごぼう","人参","7"
"59","6/4","きんぴらごぼう","（冷）さやいんげん　５００ｇ","6"
"60","6/4","きんぴらごぼう","ごま油","1"
"61","6/4","きんぴらごぼう","しょうゆ","2"
"62","6/4","きんぴらごぼう","三温糖","1"
"63","6/4","きんぴらごぼう","みりん","1"
"64","6/4","きんぴらごぼう","炒り白ごま","1.5"
"65","6/4","きんぴらごぼう","だし汁","5"
"66","6/4","白玉汁","油揚げ","5"
"67","6/4","白玉汁","（冷）白玉","25"
"68","6/4","白玉汁","玉葱","15"
"69","6/4","白玉汁","人参","7"
"70","6/4","白玉汁","中ねぎ","5"
"71","6/4","白玉汁","しょうゆ","2"
"72","6/4","白玉汁","清酒","1"
"73","6/4","白玉汁","みりん","0.5"
"74","6/4","白玉汁","削り節　だし用","4"
"75","6/4","白玉汁","出し昆布","1"
"76","6/4","白玉汁","水","120"
"77","6/5","麦ごはん","精白米（委託）","60"
"78","6/5","麦ごはん","精白米（委託）","70"
"79","6/5","麦ごはん","米粒麦　委託　","6"
"80","6/5","麦ごはん","米粒麦　委託　","7"
"81","6/5","牛乳","牛乳","206"
"82","6/5","いわしのかんろ煮","冷）いわしの甘露煮","小　40"
"83","6/5","いわしのかんろ煮","冷）いわしの甘露煮","中　50"
"84","6/5","野菜の梅肉あえ","きゅうり","30"
"85","6/5","野菜の梅肉あえ","大根","20"
"86","6/5","野菜の梅肉あえ","人参","5"
"87","6/5","野菜の梅肉あえ","（個）うめびしお","7"
"88","6/5","とん汁","豚肉並（３×３㎝スライス）","10"
"89","6/5","とん汁","さつまいも（２㎝角）","40"
"90","6/5","とん汁","もやし","10"
"91","6/5","とん汁","洗いごぼう","7"
"92","6/5","とん汁","人参","7"
"93","6/5","とん汁","つきこんにゃく","7"
"94","6/5","とん汁","中ねぎ","5"
"95","6/5","とん汁","麦みそ","9"
"96","6/5","とん汁","ごま油","0.5"
"97","6/5","とん汁","煮干し　だし用","4"
"98","6/5","とん汁","水","100"
"99","6/6","ガーリックピラフ（麦入り）","精白米（自校）","55"
"100","6/6","ガーリックピラフ（麦入り）","米粒麦　自校","5"
"101","6/6","ガーリックピラフ（麦入り）","鉄強化米","0.5"
"102","6/6","ガーリックピラフ（麦入り）","（冷）鶏肉　胸・皮なし（１×１㎝）","12"
"103","6/6","ガーリックピラフ（麦入り）","（冷）鶏肉　もも・皮なし（１×１㎝）","8"
"104","6/6","ガーリックピラフ（麦入り）","白ぶどう酒","1"
"105","6/6","ガーリックピラフ（麦入り）","玉葱","15"
"106","6/6","ガーリックピラフ（麦入り）","人参","5"
"107","6/6","ガーリックピラフ（麦入り）","エリンギ（１×２×０．３㎝）","5"
"108","6/6","ガーリックピラフ（麦入り）","（冷）むき枝豆　１㎏","5"
