"#property","lunchDay","menuName","foodName","quantity"
"480","9/26","キムチごはん（麦入り）","清酒","0.8"
"481","9/26","キムチごはん（麦入り）","白菜キムチ　１kg","15"
"482","9/26","キムチごはん（麦入り）","人参","7"
"483","9/26","キムチごはん（麦入り）","（冷）むき枝豆　１㎏","5"
"484","9/26","キムチごはん（麦入り）","炒り白ごま","2"
"485","9/26","キムチごはん（麦入り）","ごま油","2"
"486","9/26","キムチごはん（麦入り）","上白糖","1.2"
"487","9/26","キムチごはん（麦入り）","清酒","2"
"488","9/26","キムチごはん（麦入り）","しょうゆ","1.2"
"489","9/26","キムチごはん（麦入り）","食塩","0.1"
"490","9/26","キムチごはん（麦入り）","チキンコンソメ","0.5"
"491","9/26","牛乳","牛乳","206"
"492","9/26","もやしのナムル","もやし","35"
"493","9/26","もやしのナムル","きゅうり","10"
"494","9/26","もやしのナムル","小松菜","10"
"495","9/26","もやしのナムル","人参","5"
"496","9/26","もやしのナムル","（個）韓国ナムルドレッシング","10"
"497","9/26","うずらたまご入りわかめスープ","ボンレスハム（短冊）卵抜き","5"
"498","9/26","うずらたまご入りわかめスープ","（レト）うずら卵１㎏","20"
"499","9/26","うずらたまご入りわかめスープ","玉葱","20"
"500","9/26","うずらたまご入りわかめスープ","中ねぎ","3"
"501","9/26","うずらたまご入りわかめスープ","干しわかめ（カット）","0.8"
"502","9/26","うずらたまご入りわかめスープ","サラダ油","0.5"
"503","9/26","うずらたまご入りわかめスープ","（袋）がらスープ　１ｋｇ","4"
"504","9/26","うずらたまご入りわかめスープ","しょうゆ","0.8"
"505","9/26","うずらたまご入りわかめスープ","食塩","0.5"
"506","9/26","うずらたまご入りわかめスープ","こしょう","0.03"
"507","9/26","うずらたまご入りわかめスープ","チキンコンソメ","0.5"
"508","9/26","うずらたまご入りわかめスープ","ごま油","0.3"
"509","9/26","うずらたまご入りわかめスープ","湯","140"
"510","9/26","チーズ","（個）チーズ　鉄強化","13.5"
"511","9/27","ごはん","精白米（委託・白）","70"
"512","9/27","ごはん","精白米（委託・白）","80"
"513","9/27","牛乳","牛乳","206"
"514","9/27","　さんまのかんろ煮","冷）さんまの甘露煮","小　40"
"515","9/27","　さんまのかんろ煮","冷）さんまの甘露煮","中　60"
"516","9/27","小松菜のあえもの","小松菜","25"
"517","9/27","小松菜のあえもの","もやし","25"
"518","9/27","小松菜のあえもの","きゅうり","20"
"519","9/27","小松菜のあえもの","炒り白ごま","1"
"520","9/27","小松菜のあえもの","（個）ゆずかつおドレッシング","10"
"521","9/27","じゃがいものみそ汁","油揚げ","5"
"522","9/27","じゃがいものみそ汁","じゃがいも","30"
"523","9/27","じゃがいものみそ汁","玉葱","20"
"524","9/27","じゃがいものみそ汁","人参","7"
"525","9/27","じゃがいものみそ汁","ブナピー","7"
"526","9/27","じゃがいものみそ汁","中ねぎ","5"
"527","9/27","じゃがいものみそ汁","中みそ","5.5"
"528","9/27","じゃがいものみそ汁","甘みそ","5"
"529","9/27","じゃがいものみそ汁","煮干し　だし用","4"
"530","9/27","じゃがいものみそ汁","湯","110"
"531","9/30","コッペパン","コッペパン","50"
"532","9/30","コッペパン","コッペパン","50"
"533","9/30","牛乳","牛乳","206"
"534","9/30","アイントプフ","鶏肉　胸・皮なし（２×１㎝）","9"
"535","9/30","アイントプフ","鶏肉　もも・皮なし（２×１㎝）","6"
"536","9/30","アイントプフ","（冷）白いんげん豆　１㎏","15"
"537","9/30","アイントプフ","キャベツ","30"
"538","9/30","アイントプフ","玉葱","25"
"539","9/30","アイントプフ","人参","15"
"540","9/30","アイントプフ","（冷）さやいんげん　５００ｇ","5"
"541","9/30","アイントプフ","セロリ","3"
"542","9/30","アイントプフ","ローリエ","0.1"
"543","9/30","アイントプフ","サラダ油","1"
"544","9/30","アイントプフ","（袋）がらスープ　１ｋｇ","4"
"545","9/30","アイントプフ","白ぶどう酒","1"
"546","9/30","アイントプフ","チキンコンソメ","0.5"
"547","9/30","アイントプフ","食塩","0.5"
"548","9/30","アイントプフ","こしょう","0.03"
"549","9/30","アイントプフ","湯","80"
"550","9/30","カリーブルスト","粗挽きウインナーＦｅ強化（２㎝）","30"
"551","9/30","カリーブルスト","玉葱","10"
"552","9/30","カリーブルスト","サラダ油","1.5"
"553","9/30","カリーブルスト","（冷）皮つきフライドポテト","25"
"554","9/30","カリーブルスト","なたね油","3"
"555","9/30","カリーブルスト","（袋）トマトケチャップ　１kg","3"
"556","9/30","カリーブルスト","カレー粉","0.1"
"557","9/30","カリーブルスト","ウスターソース","2"
"558","9/30","カリーブルスト","みりん","1"
"559","9/30","カリーブルスト","水","5"
"560",,,,
"561",,,,
"562",,,,
"563",,,,
"564",,,,
"565",,,,
"566",,,,
"567",,,,
"568",,,,
"569",,,,
"570",,,,
"571",,,,
"572",,,,
"573",,,,
"574",,,,
"575",,,,
"576",,,,
"577",,,,
"578",,,,
"579",,,,
"580",,,,
"581",,,,
"582",,,,
"583",,,,
"584",,,,
"585",,,,
"586",,,,
"587",,,,
"588",,,,
"589",,,,
"590",,,,
"591",,,,
"592",,,,
"593",,,,
"594",,,,
"595",,,,
"596",,,,
"597",,,,
"598",,,,
"599",,,,
"600",,,,
"601",,,,
"602",,,,
"603",,,,
"604",,,,
"605",,,,
"606",,,,
"607",,,,
"608",,,,
"609",,,,
"610",,,,
"611",,,,
"612",,,,
"613",,,,
"614",,,,
"615",,,,
"616",,,,
"617",,,,
"618",,,,
"619",,,,
"620",,,,
"621",,,,
"622",,,,
"623",,,,
"624",,,,
"625",,,,
"626",,,,
"627",,,,
"628",,,,
"629",,,,
"630",,,,
"631",,,,
"632",,,,
"633",,,,
"634",,,,
"635",,,,
"636",,,,
"637",,,,
"638",,,,
"639",,,,
"640",,,,
"641",,,,
"642",,,,
"643",,,,
"644",,,,
"645",,,,
"646",,,,
"647",,,,
