#property,name,burnableGarbage,crushableGarbage,cansGlassPlastic,paperAndCloth,plasticContainers
1,高松第一（松島・築地・新塩屋町）花園・新番丁（四番丁）・塩江,毎週火・金曜日,第２・４月曜日,第１・３木曜日,第２・４木曜日,毎週水曜日
2,新番丁（日新・二番丁）・亀阜・庵治・牟礼北部,毎週月・木曜日,第２・４金曜日,第１・３火曜日,第２・４火曜日,毎週水曜日
3,栗林・太田・香川（浅野）,毎週月・木曜日,第１・３金曜日,第２・４火曜日,第１・３火曜日,毎週水曜日
4,木太・林・多肥・国分寺南部,毎週火・金曜日,第１・３月曜日,第２・４木曜日,第１・３木曜日,毎週水曜日
5,檀紙・弦打・香西・鬼無・下笠居・国分寺北部,毎週月・木曜日,第２・４火曜日,第１・３金曜日,第２・４金曜日,毎週水曜日
6,鶴尾・一宮・円座・川岡・香川（川東）,毎週月・木曜日,第１・３火曜日,第２・４金曜日,第１・３金曜日,毎週水曜日
7,前田・三谷・川添・仏生山・川島・十河・西植田・東植田・香南・香川（大野）,毎週火・金曜日,第１・３木曜日,第２・４月曜日,第１・３月曜日,毎週水曜日
8,屋島・古高松・牟礼南部,毎週火・金曜日,第２・４木曜日,第１・３月曜日,第２・４月曜日,毎週水曜日
