"業務種別","施設名称１","施設郵便番号","施設所在地１","施設所在地２","営業者申請者名","営業者役職名","営業者代表者名","営業者都道府県名称","営業者住所１","営業者住所２","開設確認番号","開設確認日","開設確認日"
"クリーニング所","東宝サンシャイン　八栗口店","761-0121","高松市牟礼町牟礼２５２１−３",,"木村　カツ子",,,,,,"第7-14号","H07.10.09","H07.10.09"
"クリーニング所","株式会社　白洋舎　南三条店","761-8072","高松市三条町１７１番地",,"株式会社　白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第7-18号","H07.10.27","H07.10.27"
"クリーニング所","全国みつばチェーン　大杉ドライ　上之町店","761-8064","高松市上之町二丁目９−３０",,"米田　昭男",,,,,,"第7-21号","H07.11.17","H07.11.17"
"クリーニング所","ワンナワードライ・東宝　ハローズ円座店","761-8044","高松市円座町８４５−３",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第7-25号","H07.12.08","H07.12.08"
"クリーニング所","木村クリーニング店","760-0080","高松市木太町８区３８２１番地",,"木村　伸二",,,,,,"第7-26号","H08.01.16","H08.01.16"
"クリーニング所","ホワイト急便　八幡店","760-0007","高松市中央町１４の１４",,"岡沢　多可子",,,,,,"第7-27号","H08.02.02","H08.02.02"
"クリーニング所","大林店","761-8024","高松市鬼無町藤井１０７",,"生南　正次",,,,,,"第7-29号","H08.02.23","H08.02.23"
"クリーニング所","白洋舎　四国ダイコーサービス　ショップ","761-8063","高松市花ノ宮町３丁目３−１０",,"久本　邦夫",,,,,,"第7-31号","H08.03.04","H08.03.04"
"クリーニング所","白洋舎　仏生山駅前店","761-8078","高松市仏生山町甲８３７番地２",,"有限会社　フォトプラザ企画","代表取締役","村上　一己","香川県","高松市仏生山町甲８３７番地２",,"第8-8号","H08.06.25","H08.06.25"
"クリーニング所","白洋舎　上福岡店","760-0077","高松市上福岡町２０４６−２",,"長野　寿賀子",,,,,,"第8-9号","H08.06.28","H08.06.28"
"クリーニング所","有限会社　サンセルフ高松","761-8032","高松市鶴市町２００３番地３",,"有限会社　サンセルフ高松","代表取締役","鵜川　登美子","香川県","高松市鶴市町２００３番地３",,"第8-17号","H08.12.12","H08.12.12"
"クリーニング所","さかえドライ　伏石店","761-8071","高松市伏石町２０８４番地５",,"さかえドライ株式会社","代表取締役","長渡　邦弘","香川県","高松市太田下町２２４５番地",,"第9-3号","H09.04.22","H09.04.22"
"クリーニング所","ベストクリーニング　南店","761-8057","高松市田村町９６２−１１",,"片山　廣",,,,,,"第9-6号","H09.06.20","H09.06.20"
"クリーニング所","ホワイト急便　林町サービス","761-0301","高松市林町２８６ー８",,"有限会社　井上空港前センター","取締役","井上　賢次","香川県","高松市林町２８６番地８",,"第9-9号","H09.08.08","H09.08.08"
"クリーニング所","高田駅前サービス","761-0323","高松市亀田町３８３−４",,"大野　則栄",,,,,,"第9-22号","H09.12.22","H09.12.22"
"クリーニング所","有限会社ホワイト急便　新名店","769-0104","高松市国分寺町新名７５２−１",,"鵜川　比佐子",,,,,,"第9-8号","H10.03.05","H10.03.05"
"クリーニング所","白洋舎　リフォーム　ケイ","761-0104","高松市高松町３００９番地１０",,"川東　秀誠",,,,,,"第10-3号","H10.05.13","H10.05.13"
"クリーニング所","さかえドライ　ゆめタウン高松店","761-8072","高松市三条町字中所６０８番１","ゆめタウン本館１Ｆ","さかえドライ株式会社","代表取締役","長渡　邦弘","香川県","高松市太田下町２２４５番地",,"第10-10号","H10.09.21","H10.09.21"
"クリーニング所","株式会社　ワールドマルハチ高松支店","760-0080","高松市木太町３区２０６３−１",,"株式会社　ワールドマルハチ高松支店","高松支店長","花川　孝司","香川県","高松市木太町３区２０６３−１",,"第10-15号","H10.11.13","H10.11.13"
"クリーニング所","たにもと成合サービス","761-8081","高松市成合町１５４１−２",,"谷本　豪規",,,,,,"第10-14号","H10.11.16","H10.11.16"
"クリーニング所","エンゼル　仏生山東店","761-8078","高松市仏生山町甲４５１",,"小松　敏子",,,,,,"第10-17号","H11.01.07","H11.01.07"
"クリーニング所","ミッキーのクリーニング　まえだ","761-0450","高松市三谷町１８８８番地１",,"有限会社前田クリーニング店","代表取締役","前田　和伸","香川県","高松市仏生山町甲２５１８番地",,"第10-20号","H11.03.03","H11.03.03"
"クリーニング所","ハニードライ　木太工場前店","760-0080","高松市木太町１８７３番地１",,"株式会社　ハニードライ","代表取締役","新宮領　達也","香川県","高松市木太町１８７３番地１",,"第10-21号","H11.03.08","H11.03.08"
"クリーニング所","新橋サービス","760-0066","高松市福岡町一丁目１１−５",,"大野　喜代子",,,,,,"第10-22号","H11.03.09","H11.03.09"
"クリーニング所","ＪＲ本社店","760-0011","高松市浜ノ町８番３３号",,"株式会社　ステーションクリエイト香川","代表取締役","岩本　好弘","香川県","高松市浜ノ町８番２４号",,"第11005号","H11.08.06","H11.08.06"
"クリーニング所","さかえドライ　本社前店","761-8073","高松市太田下町２２４５番地",,"さかえドライ株式会社","代表取締役","長渡　邦弘","香川県","高松市太田下町２２４５番地",,"第11009号","H11.09.21","H11.09.21"
"クリーニング所","ホワイト急便　ハニードライ　仏生山駅前店","761-8078","高松市仏生山町甲３２２",,"赤坂　智恵",,,,,,"第11013号","H11.11.02","H11.11.02"
"クリーニング所","ワンナワードライ・東宝　マルナカ八栗店","761-0121","高松市牟礼町牟礼２６１５−１",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第11-3号","H11.12.02","H11.12.02"
"クリーニング所","東宝物産株式会社　屋島ワイシャツ工場","761-0113","高松市屋島西町２４８５−７",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第11015号","H12.02.10","H12.02.10"
"クリーニング所","さかえドライ　太田上町店","761-8074","高松市太田上町４９４−１１",,"さかえドライ株式会社","代表取締役","長渡　邦弘","香川県","高松市太田下町２２４５番地",,"第11020号","H12.03.23","H12.03.23"
"クリーニング所","白洋舎　コミュニティーストアー牟礼店","761-0123","高松市牟礼町原６６８−４",,"小西　茂克",,,,,,"第11-4号","H12.03.31","H12.03.31"
"クリーニング所","白洋舎　藤塚店","760-0071","高松市藤塚町２丁目１１−１７",,"田所　邦紀",,,,,,"第11022号","H12.04.05","H12.04.05"
"クリーニング所","エンゼル紫雲店","760-0015","高松市紫雲町８−２６",,"美濃　武子",,,,,,"第11023号","H12.04.10","H12.04.10"
"クリーニング所","ワンナワードライ・東宝　パワーシティ　レインボー店","761-8075","高松市多肥下町１５５２−１７",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第11028号","H12.07.19","H12.07.19"
"クリーニング所","さかえドライ　広場店","760-0020","高松市錦町一丁目１４−３","吉岡ビル１階","さかえドライ株式会社","代表取締役","長渡　邦弘","香川県","高松市太田下町２２４５番地",,"第11032号","H12.11.22","H12.11.22"
"クリーニング所","ワンナワードライ・東宝　マルナカ国分寺店","769-0101","高松市国分寺町新居１０７４−１",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第12-5号","H12.12.19","H12.12.19"
"クリーニング所","白洋舎　高商前店","760-0063","高松市多賀町二丁目１−３",,"谷本　良喜",,,,,,"第11035号","H13.01.10","H13.01.10"
"クリーニング所","ホワイト急便小西サービス","761-8032","高松市鶴市町３３８−１",,"小西　好子",,,,,,"第11043号","H13.05.18","H13.05.18"
"クリーニング所","香川県農業協同組合　ふれあいセンター弦打店","761-8032","高松市鶴市町５９９−１",,"香川県農業協同組合","代表理事","遠城　昌宏","香川県","高松市西の丸町１４番７号",,"第11044号","H13.05.23","H13.05.23"
"クリーニング所","心身障害者小規模作業所　Ｈｅｌｌｏ　Ｈｏｕｓｅ　こがも","761-8058","高松市勅使町７３０番地",,"山田　博子",,,,,,"第11045号","H13.07.25","H13.07.25"
"クリーニング所","さかえドライ　片原町店","760-0040","高松市片原町３−２",,"さかえドライ株式会社","代表取締役","長渡　邦弘","香川県","高松市太田下町２２４５番地",,"第11047号","H13.09.12","H13.09.12"
"クリーニング所","Ｙショップ牟礼町すやま店","761-0121","高松市牟礼町牟礼１４０番地３",,"陶山　イソヱ",,,,,,"第13-2号","H13.10.26","H13.10.26"
"クリーニング所","白洋舎　Ｙショップ　元山店","761-0311","高松市元山町９５５−１",,"佐々木　秀和",,,,,,"第11053号","H13.12.13","H13.12.13"
"クリーニング所","さかえドライ　宮脇店","760-0005","高松市宮脇町一丁目２１−１３",,"さかえドライ株式会社","代表取締役","長渡　邦弘","香川県","高松市太田下町２２４５番地",,"第11055号","H14.01.22","H14.01.22"
"クリーニング所","香川県庁消費生活協同組合","760-0017","高松市番町四丁目１番１０号",,"香川県庁消費生活協同組合","代表理事","吉本　具視","香川県","高松市番町四丁目１番１０号",,"第11058号","H14.03.13","H14.03.13"
"クリーニング所","大杉ドライクリーニング　森岡店","761-0102","高松市新田町甲５１−５",,"森岡　廣子",,,,,,"第11060号","H14.03.25","H14.03.25"
"クリーニング所","ダイヤクリーニング　フジグラン十川店","761-0434","高松市十川東町５５−１",,"ダイヤクリーニング株式会社","代表取締役","黒田　惠介","岡山県","倉敷市中島２６３６番地３",,"第11064号","H14.06.12","H14.06.12"
"クリーニング所","さかえドライ　国分寺店","769-0101","高松市国分寺町新居１２５８−３",,"さかえドライ株式会社","代表取締役","長渡　邦弘","香川県","高松市太田下町２２４５番地",,"第14-1号","H14.08.21","H14.08.21"
"クリーニング所","木太町　松井店","760-0080","高松市木太町３１０９番地２",,"松井　正信",,,,,,"第11068号","H14.09.18","H14.09.18"
"クリーニング所","白洋舎　太田店","761-8073","高松市太田下町２５０１",,"波多野　光子",,,,,,"第11072号","H14.11.05","H14.11.05"
"クリーニング所","日本リースキン㈱ダストコントロール工場","761-8032","高松市鶴市町２０２５−３",,"日本リースキン株式会社","代表取締役","国生　徹","香川県","高松市鶴市町２０４９番地５",,"第11073号","H14.12.18","H14.12.18"
"クリーニング所","ダスキン　太田支店","761-8073","高松市太田下町３０２３−１２",,"株式会社　クエスト","代表取締役","橋本　登","香川県","高松市香西本町５３４番地",,"第11075号","H15.01.17","H15.01.17"
"クリーニング所","ダスキン高松","761-8055","高松市紙町４４２−３",,"有限会社　ダスキン高松","代表取締役","福島　範明","香川県","高松市松島町１−２−２４",,"第11077号","H15.02.14","H15.02.14"
"クリーニング所","ダスキン鶴市支店","761-8032","高松市鶴市町１００６番地１",,"株式会社ダスキンサーヴ中国四国","代表取締役","増子　哲也","広島県","広島市西区草津新町二丁目１７番２４号",,"第11078号","H15.02.20","H15.02.20"
"クリーニング所","Ｙショップ　やまだ","760-0072","高松市花園町１丁目１４番３号",,"山田　保知",,,,,,"第11079号","H15.03.05","H15.03.05"
"クリーニング所","有限会社　ダスキン竹内","761-0113","高松市屋島西町１８９８−４",,"有限会社　ダスキン竹内","代表取締役","竹内　英人","香川県","高松市屋島西町１８９８−４",,"第11080号","H15.03.07","H15.03.07"
"クリーニング所","ダイヤクリーニング　円座店","761-8044","高松市円座町１７５",,"ダイヤクリーニング株式会社","代表取締役","黒田　惠介","岡山県","倉敷市中島２６３６番地３",,"第11084号","H15.04.09","H15.04.09"
"クリーニング所","ワンナワードライ・東宝　サンフラワー店","760-0078","高松市今里町１１−５",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第11085号","H15.04.15","H15.04.15"
"クリーニング所","さかえドライ田町店","760-0053","高松市田町８−１","リバーボールマンション１Ｆ","さかえドライ株式会社","代表取締役","長渡　邦弘","香川県","高松市太田下町２２４５番地",,"第11093号","H15.09.30","H15.09.30"
"クリーニング所","ワンナワードライ・東宝　木太店","760-0080","高松市木太町３１４５−３",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第11097号","H15.12.17","H15.12.17"
"クリーニング所","海面クリーニング","760-0067","高松市松福町２丁目７番２５号",,"海面　浩二",,,,,,"第11098号","H16.01.20","H16.01.20"
"クリーニング所","さかえドライ　レインボーロード店","761-8075","高松市多肥下町１５７９−３",,"さかえドライ株式会社","代表取締役","長渡　邦弘","香川県","高松市太田下町２２４５番地",,"第11106号","H16.04.16","H16.04.16"
"クリーニング所","ハニードライたんぽぽサービス店","761-0311","高松市元山町６１３−３",,"国宗　孝則",,,,,,"第11107号","H16.05.07","H16.05.07"
"クリーニング所","ワンナワードライ・東宝　茜町店","760-0002","高松市茜町１９−６","アクトⅡ　１階","東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第11116号","H16.07.02","H16.07.02"
"クリーニング所","ワンナワードライ・東宝　鬼無店","761-8014","高松市香西南町３７−１",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第11120号","H16.09.24","H16.09.24"
"クリーニング所","ダイヤクリーニング　太田店","761-8075","高松市多肥下町１５８４−１",,"ダイヤクリーニング株式会社","代表取締役","黒田　惠介","岡山県","倉敷市中島２６３６番地３",,"第11121号","H16.09.30","H16.09.30"
"クリーニング所","きものダイスキ","760-0079","高松市松縄町６８２番地１",,"株式会社　愛美","代表取締役","伊藤　伸一","香川県","高松市松縄町６８２番地１",,"第11123号","H16.10.21","H16.10.21"
"クリーニング所","木田クリーニング","761-0102","高松市新田町甲３−１０",,"木田　桂次",,,,,,"第11124号","H16.10.22","H16.10.22"
"クリーニング所","さかえドライ仏生山東店","761-8077","高松市出作町字東原３１１−１",,"さかえドライ株式会社","代表取締役","長渡　邦弘","香川県","高松市太田下町２２４５番地",,"第11125号","H16.11.17","H16.11.17"
"クリーニング所","ホワイト急便　スターサービス","761-8041","高松市檀紙町２２番地２",,"平星　絹代",,,,,,"第11127号","H17.01.21","H17.01.21"
"クリーニング所","高松市職員消費生活協同組合","760-0017","高松市番町一丁目８番１５号",,"高松市職員消費生活協同組合","代表理事","外村　稔哉","香川県","高松市番町一丁目８番１５号",,"第11131号","H17.02.23","H17.02.23"
"クリーニング所","白進舎","761-8071","高松市伏石町１５４９−７",,"西山　昌秀",,,,,,"第11132号","H17.03.17","H17.03.17"
"クリーニング所","ワンナワードライ・東宝　潟元店","761-0113","高松市屋島西町１４４４",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第11134号","H17.05.20","H17.05.20"
"クリーニング所","白洋舎　中央町店","760-0071","高松市藤塚町１丁目１番１号",,"市原　敏全",,,,,,"第11135号","H17.06.03","H17.06.03"
"クリーニング所","さかえドライ　コープ扇町店","760-0013","高松市扇町２丁目１１−２","コープ新扇町店内","さかえドライ株式会社","代表取締役","長渡　邦弘","香川県","高松市太田下町２２４５番地",,"第11137号","H17.08.19","H17.08.19"
"クリーニング所","白洋舎　マルヨシ松縄店","760-0079","高松市松縄町１０１１−１１",,"株式会社白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地の１",,"第11140号","H17.10.28","H17.10.28"
"クリーニング所","ワンナワードライ・東宝　牟礼店","761-0121","高松市牟礼町牟礼１１１６−１５",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第17-3号","H17.11.04","H17.11.04"
"クリーニング所","株式会社イレブンリース","761-8052","高松市松並町７６２番地３",,"株式会社イレブンリース","代表取締役","和田　光敬","香川県","高松市松並町７２４番地３",,"第11142号","H17.11.10","H17.11.10"
"クリーニング所","ワンナワードライ・東宝　マルナカ香西店","761-8012","高松市香西本町１−１７６",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第11143号","H17.11.28","H17.11.28"
"クリーニング所","都ユニリース　松並工場","761-8052","高松市松並町９５４番地",,"都ユニリース株式会社","代表取締役","髙杉　恭一郎","岡山県","倉敷市連島町連島１４２番地の２８９",,"第11155号","H18.01.31","H18.01.31"
"クリーニング所","ワンナワードライ・東宝　通町店","760-0046","高松市通町５番地４",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第11157号","H18.04.18","H18.04.18"
"クリーニング所","光泉ドライ丸新店","761-0441","高松市由良町４８１","スーパー丸新店内","溝渕　昭義",,,,,,"第11162号","H18.07.20","H18.07.20"
"クリーニング所","ニュードライ谷","760-0078","高松市今里町１丁目４０４−１１",,"谷　知英",,,,,,"第11165号","H18.12.15","H18.12.15"
"クリーニング所","ワンナワードライ・東宝　パワーシティ屋島店","761-0113","高松市屋島西町１９１２−１",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第11169号","H19.03.05","H19.03.05"
"クリーニング所","さかえドライ　古高松店","761-0102","高松市新田町甲４２８−３",,"さかえドライ株式会社","代表取締役","長渡　邦弘","香川県","高松市太田下町２２４５番地",,"第11170号","H19.03.12","H19.03.12"
"クリーニング所","さかえドライ　木太町八坂店","760-0080","高松市木太町１２４２",,"柳瀬　健司",,,,,,"第11171号","H19.03.19","H19.03.19"
"クリーニング所","白洋舎ＮＴＴ売店","760-0055","高松市観光通１丁目８−２","ＮＴＴ西日本支店５階","有限会社　福広運輸","代表取締役","福井　高広","香川県","高松市川島東町４８１番地１３",,"第11172号","H19.03.30","H19.03.30"
"クリーニング所","白洋舎　イオン高松店","761-8012","高松市香西本町１番地１","イオン高松店　１階","株式会社　白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第11175号","H19.04.17","H19.04.17"
"クリーニング所","高松サンポート合同庁舎売店","760-0019","高松市サンポート３−３３","１階","シダックスアイ株式会社","代表取締役","志太　正次郎","東京都","渋谷区広尾一丁目１３番１号",,"第11176号","H19.05.02","H19.05.02"
"クリーニング所","ワンナワードライ・東宝　川島東店","761-0443","高松市川島東町５３２−２−３",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第11177号","H19.05.18","H19.05.18"
"クリーニング所","白洋舎　宮脇サービス店","760-0005","高松市宮脇町一丁目３２−４",,"村川　順",,,,,,"第11179号","H19.08.31","H19.08.31"
"クリーニング所","ワンナワードライ・東宝　マルナカ新田店","761-0102","高松市新田町甲７０２−１",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第11180号","H19.10.04","H19.10.04"
"クリーニング所","白洋舎あやのサービス店","761-8005","高松市植松町１５−６",,"古川　綾乃",,,,,,"第11181号","H19.10.24","H19.10.24"
"クリーニング所","ワンナワードライ・東宝　新太田店","761-8073","高松市太田下町１８７６−１",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第11182号","H20.03.21","H20.03.21"
"クリーニング所","白洋舎　クリーンエコーズ店","761-8057","高松市田村町１０１０番地",,"社会福祉法人　田村やまびこ会","理事長","中田　耕次","香川県","高松市田村町１０１０番地",,"第3220001号","H20.07.23","H20.07.23"
"クリーニング所","株式会社インテリアプランニング・キット","761-0322","高松市前田東町６７０−１４","【営業区域】高松市内に限る","株式会社インテリアプランニング・キット","代表取締役","高橋　知己","香川県","高松市前田東町１２２５番地",,"第3220002号","H20.07.24","H20.07.24"
"クリーニング所","さかえドライ三条店","761-8072","高松市三条町８８番地１",,"さかえドライ株式会社","代表取締役","長渡　邦弘","香川県","高松市太田下町２２４５番地",,"第3220003号","H20.08.05","H20.08.05"
"クリーニング所","株式会社　サニクリーン四国高松支店","761-0302","高松市上林町５００−３",,"株式会社　サニクリーン四国","代表取締役","芝　光師","愛媛県","松山市衣山５丁目１番地２３",,"第3220005号","H20.10.14","H20.10.14"
"クリーニング所","株式会社タダノビジネスサポート","761-0102","高松市新田町甲３４番地",,"株式会社タダノビジネスサポート","代表取締役","田邉　和利","香川県","高松市新田町甲３４番地",,"第3220006号","H20.10.31","H20.10.31"
"クリーニング所","ダイヤクリーニング　フジ楠上店","760-0075","高松市楠上町２丁目３−１５",,"ダイヤクリーニング株式会社","代表取締役","黒田　惠介","岡山県","倉敷市中島２６３６番地３",,"第3220007号","H20.11.05","H20.11.05"
"クリーニング所","ダイヤクリーニング　国分寺店","769-0104","高松市国分寺町新名６９６−２",,"ダイヤクリーニング株式会社","代表取締役","黒田　惠介","岡山県","倉敷市中島２６３６番地３",,"第3220012号","H21.03.05","H21.03.05"
"クリーニング所","宅配クリーニング　フェイス","760-0038","高松市井口町３番地１",,"後藤　武伸",,,,,,"第3221002号","H21.04.15","H21.04.15"
"クリーニング所","宅配クリーニング　フェイス","760-0038","高松市井口町３−１",,"後藤　武伸",,,,,,"第3221004号","H21.06.01","H21.06.01"
"クリーニング所","男木地区コミュニティ協議会","760-0091","高松市男木町１９１７−４",,"佐藤　格",,,,,,"第3221005号","H21.06.05","H21.06.05"
"クリーニング所","クリーニングＵ．Ｓ．Ａ　ハローズ仏生山店","761-8078","高松市仏生山町甲１３１４",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第3221006号","H21.11.05","H21.11.05"
"クリーニング所","ワンナワードライ・東宝　マルナカサンポート店","760-0011","高松市浜ノ町５−１",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第3221009号","H21.12.10","H21.12.10"
"クリーニング所","¥１００−ＤＲＹ　松縄店","760-0079","高松市松縄町１０９２−２","フィーネス松縄１Ｆ","株式会社ミニスター","代表取締役","池内　洋平","香川県","高松市木太町２２９５番地４",,"第3221010号","H22.03.17","H22.03.17"
"クリーニング所","さかえドライ　屋島東店","761-0104","高松市高松町２３７３−１５",,"さかえドライ株式会社","代表取締役","長渡　邦弘","香川県","高松市太田下町２２４５番地",,"第3222001号","H22.04.02","H22.04.02"
"クリーニング所","ホワイト急便　多肥コスモス店","761-8076","高松市多肥上町１１８２−１",,"株式会社　ハニードライ","代表取締役","新宮領　達也","香川県","高松市木太町１８７３番地１",,"第3222002号","H22.04.21","H22.04.21"
"クリーニング所","ホワイト急便　元山コスモス店","761-0311","高松市元山町６７３−１",,"株式会社　ハニードライ","代表取締役","新宮領　達也","香川県","高松市木太町１８７３番地１",,"第3222003号","H22.04.21","H22.04.21"
"クリーニング所","株式会社　カンセン","761-0311","高松市元山町１１８８番地",,"株式会社　カンセン","代表取締役","植村　尚記","香川県","高松市元山町１１８８番地",,"第3222007号","H22.08.11","H22.08.11"
"クリーニング所","白洋舎　ザ・ビッグ国分寺店","769-0104","高松市国分寺町新名６５４番地３",,"株式会社　白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第3222009号","H22.09.15","H22.09.15"
"クリーニング所","¥１００−ＤＲＹ　兵庫町店","760-0024","高松市兵庫町５番地２",,"株式会社ミニスター","代表取締役","池内　洋平","香川県","高松市木太町２２９５番地４",,"第3222013号","H22.10.25","H22.10.25"
"クリーニング所","¥１００−ＤＲＹ　藤塚店","760-0071","高松市藤塚町一丁目５番２１号",,"株式会社ミニスター","代表取締役","池内　洋平","香川県","高松市木太町２２９５番地４",,"第3222012号","H22.10.25","H22.10.25"
"クリーニング所","¥１００−ＤＲＹ　木太店","760-0080","高松市木太町２２９５番地４",,"株式会社ミニスター","代表取締役","池内　洋平","香川県","高松市木太町２２９５番地４",,"第3222011号","H22.10.25","H22.10.25"
"クリーニング所","クリーニングＵ．Ｓ．Ａ　ハローズ栗林公園店","761-8063","高松市花ノ宮町三丁目１番４号",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第3222018号","H22.10.26","H22.10.26"
"クリーニング所","ダイヤクリーニング　ハローズ春日店","761-0101","高松市春日町１０６９−２",,"ダイヤクリーニング株式会社","代表取締役","黒田　惠介","岡山県","倉敷市中島２６３６番地３",,"第3222022号","H23.02.01","H23.02.01"
"クリーニング所","ダイヤクリーニング　福岡店","760-0066","高松市福岡町４丁目６−６",,"ダイヤクリーニング株式会社","代表取締役","黒田　惠介","岡山県","倉敷市中島２６３６番地３",,"第3222024号","H23.03.07","H23.03.07"
"クリーニング所","タイヨウ株式会社","761-0101","高松市春日町１２７１番地",,"タイヨウ株式会社","代表取締役","小松　和雄","香川県","高松市春日町１２７１番地",,"第3222026号","H23.03.23","H23.03.23"
"クリーニング所","きものサロン　桂","760-0079","高松市松縄町１０６７番地１９",,"株式会社　桂","代表取締役","奥山　功","香川県","高松市松縄町１０６７番地１９",,"第3223001号","H23.05.17","H23.05.17"
"クリーニング所","ダイヤクリーニング　コープ太田店","761-8071","高松市伏石町２０５３−５",,"ダイヤクリーニング株式会社","代表取締役","黒田　惠介","岡山県","倉敷市中島２６３６番地３",,"第3223002号","H23.11.18","H23.11.18"
"クリーニング所","ホワイト急便香西本町店","761-8012","高松市香西本町４２４",,"井出　克幸",,,,,,"第3223005号","H24.01.16","H24.01.16"
"クリーニング所","株式会社トーカイ　メディカルリネン工場","761-8032","高松市鶴市町２０３６番地１０",,"株式会社トーカイ","代表取締役","松尾　隆之","香川県","高松市鶴市町２０２５番地３",,"第3224002号","H24.10.15","H24.10.15"
"クリーニング所","株式会社トーカイ　ユニフォーム工場","761-8032","高松市鶴市町２０３７番地１",,"株式会社トーカイ","代表取締役","松尾　隆之","香川県","高松市鶴市町２０２５番地３",,"第3224003号","H24.10.15","H24.10.15"
"クリーニング所","白洋舎河田サービス店","761-8041","高松市檀紙町１５６９の３",,"河田　昌朋",,,,,,"第3224005号","H24.10.19","H24.10.19"
"クリーニング所","かおりサービス店","761-8042","高松市御厩町９２４−２",,"宮西　かおり",,,,,,"第3224006号","H24.10.30","H24.10.30"
"クリーニング所","ホワイト急便　ムーミー花園店","760-0072","高松市花園町１丁目１０−５",,"株式会社ハニードライ","代表取締役","新宮領　達也","香川県","高松市木太町１８７３番地１",,"第30003号","H25.03.07","H25.03.07"
"クリーニング所","ダイヤクリーニング　コープ香西店","761-8012","高松市香西本町９６−１",,"ダイヤクリーニング株式会社","代表取締役","黒田　惠介","岡山県","倉敷市中島２６３６番地３",,"第30008号","H25.05.07","H25.05.07"
"クリーニング所","白洋舎マルヨシ茜町店","760-0002","高松市茜町１−１",,"株式会社白洋舎","代表取締役","鵜川　俊英","香川県","高松市郷東町１３５番地１",,"第30009号","H25.05.23","H25.05.23"
"クリーニング所","ホワイト急便　国税局売店サービス","760-0018","高松市天神前２番１０号　地下１Ｆ",,"株式会社ホーユー","代表取締役","山浦　芳樹","広島県","広島市西区己斐本町一丁目１７番１４号",,"第30010号","H25.05.30","H25.05.30"
"クリーニング所","ワンナワードライ・東宝　マルナカ栗林南店","761-8053","高松市西ハゼ町１８","マルナカ栗林南店","東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第30014号","H25.10.01","H25.10.01"
"クリーニング所","ホワイト急便　林　きむら店","        ","高松市林町１１８３",,"株式会社ハニードライ","代表取締役","新宮領　達也","香川県","高松市木太町１８７３番地１",,"第30016号","H26.04.10","H26.04.10"
"クリーニング所","四電ビジネス（株）ヴィラフリーデ瓦町","760-0052","高松市瓦町１丁目１２−１５",,"四電ビジネス株式会社","代表取締役","山﨑　達成","香川県","高松市亀井町７番地９",,"第30017号","H27.05.20","H27.05.20"
"クリーニング所","ワンナワードライ・東宝　錦町店","760-0020","高松市錦町１−１４−１",,"東宝物産株式会社","代表取締役","東　寛","香川県","さぬき市鴨庄３０２９番地",,"第30021号","H27.09.16","H27.09.16"
"クリーニング所","株式会社イレブンリース","761-8052","高松市松並町７３６番地１",,"株式会社イレブンリース","代表取締役","和田　光敬","香川県","高松市松並町７２４番地３",,"第30022号","H27.11.19","H27.11.19"
"クリーニング所","白洋舎　松島店","760-0068","高松市松島町２−１８−２８",,"蓮井　邦洋",,,,,,"第30023号","H27.11.25","H27.11.25"
