#property,month,birthTotal,birthMan,birthWoman,deathTotal,deathMan,deathWoman
1,1,267,119,148,491,256,235
2,2,244,123,121,393,197,196
3,3,258,138,120,420,222,198
4,4,270,128,142,382,208,174
5,5,227,122,105,333,155,178
6,6,281,139,142,336,172,164
7,7,266,131,135,334,171,163
8,8,270,138,132,375,187,188
9,9,250,126,124,335,170,165
10,10,260,125,135,404,201,203
11,11,264,135,129,387,204,183
12,12,259,133,126,399,213,186
