"#property","areaCode","areaNumber","confidential","confidentialInformation","totalArea","cityCode","cityName","townName","beforeShowa46","showa4657","showa57Heisei","heisei211","heisei1221","heisei22","unknown","total","verificationOfAccounts","subtraction"
"146","37201090007","3",,,,"37201","高松市","木太町７区","307","866","433","552","384","171","1","2714","2713","-1"
"147","37201090008","3",,,,"37201","高松市","木太町８区","183","451","230","226","121","165","0","1376","1376","0"
"148","37201090009","3",,,,"37201","高松市","木太町９区","218","537","164","301","359","181","1","1761","1760","-1"
"149","372010910","2",,,,"37201","高松市","春日町","395","505","365","404","484","317","0","2470","2470","0"
"150","372010920","2",,,,"37201","高松市","新田町","577","663","335","475","420","383","12","2865","2853","-12"
"151","37201093100","3",,,,"37201","高松市","高松町","1101","2135","972","1207","621","376","0","6412","6412","0"
"152","37201093100","3",,,,"37201","高松市","高松町","1101","2135","972","1207","621","376","0","6412","6412","0"
"153","372010940","2",,,,"37201","高松市","屋島東町","504","523","546","474","285","107","0","2439","2439","0"
"154","372010950","2",,,,"37201","高松市","屋島中町","324","197","136","107","133","85","3","985","982","-3"
"155","37201096100","3",,,,"37201","高松市","屋島西町","963","1388","976","931","636","426","0","5320","5320","0"
"156","37201096100","3",,,,"37201","高松市","屋島西町","963","1388","976","931","636","426","0","5320","5320","0"
"157","372010970","2",,,,"37201","高松市","前田西町","246","265","140","194","90","53","0","988","988","0"
"158","372010980","2",,,,"37201","高松市","前田東町","286","309","145","204","107","111","0","1162","1162","0"
"159","372010990","2",,,,"37201","高松市","亀田町","172","287","75","165","52","39","0","790","790","0"
"160","372011000","2",,,,"37201","高松市","元山町","407","590","324","304","255","196","0","2076","2076","0"
"161","372011010","2",,,,"37201","高松市","東山崎町","366","602","280","315","310","132","0","2005","2005","0"
"162","372011020","2",,,,"37201","高松市","下田井町","164","223","86","142","145","126","0","886","886","0"
"163","372011030","2",,,,"37201","高松市","林町","356","361","296","725","863","585","0","3186","3186","0"
"164","372011040","2",,,,"37201","高松市","六条町","330","365","143","220","261","267","0","1586","1586","0"
"165","372011050","2",,,,"37201","高松市","上林町","80","102","107","93","216","371","0","969","969","0"
"166","372011060","2",,,,"37201","高松市","三谷町","529","621","316","429","409","482","0","2786","2786","0"
"167","372011070","2",,,,"37201","高松市","多肥下町","148","152","71","370","449","183","1","1374","1373","-1"
"168","372011080","2",,,,"37201","高松市","多肥上町","519","679","424","517","715","569","1","3424","3423","-1"
"169","372011090","2",,,,"37201","高松市","出作町","145","145","124","148","79","190","0","831","831","0"
"170","37201110100","3",,,,"37201","高松市","仏生山町","1032","1031","587","705","403","576","0","4334","4334","0"
"171","37201110100","3",,,,"37201","高松市","仏生山町","1032","1031","587","705","403","576","0","4334","4334","0"
"172","372011110","2",,,,"37201","高松市","三名町","116","177","102","108","63","80","0","646","646","0"
"173","372011120","2",,,,"37201","高松市","鹿角町","301","307","164","212","147","79","0","1210","1210","0"
"174","372011130","2",,,,"37201","高松市","成合町","468","399","436","485","275","167","0","2230","2230","0"
"175","372011140","2",,,,"37201","高松市","一宮町","709","881","470","552","461","253","0","3326","3326","0"
"176","372011150","2",,,,"37201","高松市","寺井町","332","511","311","393","338","243","1","2129","2128","-1"
"177","372011160","2",,,,"37201","高松市","川部町","378","352","229","382","255","266","0","1862","1862","0"
"178","372011170","2",,,,"37201","高松市","岡本町","204","286","157","124","104","89","0","964","964","0"
"179","372011180","2",,,,"37201","高松市","円座町","722","934","695","848","596","672","0","4467","4467","0"
"180","372011190","2",,,,"37201","高松市","西山崎町","221","222","174","297","310","204","0","1428","1428","0"
"181","372011200","2",,,,"37201","高松市","檀紙町","473","530","321","383","397","389","0","2493","2493","0"
"182","372011210","2",,,,"37201","高松市","御厩町","424","393","222","274","316","249","0","1878","1878","0"
"183","372011220","2",,,,"37201","高松市","中間町","199","182","136","176","158","261","0","1112","1112","0"
"184","372011230","2",,,,"37201","高松市","郷東町","276","450","233","313","172","145","1","1590","1589","-1"
"185","372011240","2",,,,"37201","高松市","鶴市町","467","670","344","392","643","243","0","2759","2759","0"
"186","372011250","2",,,,"37201","高松市","飯田町","357","348","192","250","200","370","2","1719","1717","-2"
"187","372011260","2",,,,"37201","高松市","鬼無町藤井","136","212","82","123","167","125","0","845","845","0"
"188","372011270","2",,,,"37201","高松市","鬼無町是竹","214","197","67","118","55","40","0","691","691","0"
