#property,lunchDay,menuName,foodName,quantity
1,10/1/2021,コッペパン,コッペパン,60
2,10/1/2021,牛乳,牛乳,206
3,10/1/2021,ポトフ,粗挽きウインナー　輪切り,25
4,10/1/2021,ポトフ,じゃがいも,50
5,10/1/2021,ポトフ,玉葱,45
6,10/1/2021,ポトフ,キャベツ,25
7,10/1/2021,ポトフ,人参,15
8,10/1/2021,ポトフ,（冷）白いんげん豆,15
9,10/1/2021,ポトフ,セロリー,2
10,10/1/2021,ポトフ,パセリ,0.7
11,10/1/2021,ポトフ,サラダ油,1
12,10/1/2021,ポトフ,白ぶどう酒,1
13,10/1/2021,ポトフ,（レト）がらスープ,4
14,10/1/2021,ポトフ,食塩,0.5
15,10/1/2021,ポトフ,こしょう,0.03
16,10/1/2021,ポトフ,チキンコンソメ,0.3
17,10/1/2021,ポトフ,ローリエ,0.1
18,10/1/2021,ポトフ,湯,75
19,10/1/2021,野菜とまぐろのソテー,（レト）まぐろ油漬,15
20,10/1/2021,野菜とまぐろのソテー,白ぶどう酒,1
21,10/1/2021,野菜とまぐろのソテー,キャベツ,20
22,10/1/2021,野菜とまぐろのソテー,小松菜,20
23,10/1/2021,野菜とまぐろのソテー,しめじ,10
24,10/1/2021,野菜とまぐろのソテー,人参,10
25,10/1/2021,野菜とまぐろのソテー,（缶）ホールコーン,8
26,10/1/2021,野菜とまぐろのソテー,サラダ油,1
27,10/1/2021,野菜とまぐろのソテー,チキンコンソメ,0.2
28,10/1/2021,野菜とまぐろのソテー,食塩,0.2
29,10/1/2021,野菜とまぐろのソテー,こしょう,0.05
30,10/1/2021,ヨーグルト・希少糖入りシロップ,（個）ヨーグルト（無糖）,100
31,10/1/2021,ヨーグルト・希少糖入りシロップ,（個）希少糖入りシロップ,10
32,10/4/2021,ばらずし,精白米（自校）,65
33,10/4/2021,ばらずし,清酒,3
34,10/4/2021,ばらずし,出し昆布,0.8
35,10/4/2021,ばらずし,食酢,9
36,10/4/2021,ばらずし,上白糖,8
37,10/4/2021,ばらずし,食塩,0.8
38,10/4/2021,ばらずし,（冷）むきえび,15
39,10/4/2021,ばらずし,清酒,2
40,10/4/2021,ばらずし,油揚げ,5
41,10/4/2021,ばらずし,ごぼう（ささがき・ごはん用小さめ）,8
42,10/4/2021,ばらずし,人参,7
43,10/4/2021,ばらずし,（冷）グリンピース,5
44,10/4/2021,ばらずし,高野豆腐（すし用）,0.8
45,10/4/2021,ばらずし,干ししいたけ（スライス）,0.8
46,10/4/2021,ばらずし,上白糖,2.5
47,10/4/2021,ばらずし,薄口しょうゆ,2.5
48,10/4/2021,ばらずし,清酒,2
49,10/4/2021,牛乳,牛乳,206
50,10/4/2021,さつまいものあげもん,さつまいも（スライス天ぷら用）,40
51,10/4/2021,さつまいものあげもん,天ぷら粉　乳・卵抜き,7
52,10/4/2021,さつまいものあげもん,水,16
53,10/4/2021,さつまいものあげもん,なたね油,5
54,10/4/2021,そうめん汁,玉葱,25
55,10/4/2021,そうめん汁,人参,6
56,10/4/2021,そうめん汁,（乾）そうめん,6
57,10/4/2021,そうめん汁,中ねぎ,5
58,10/4/2021,そうめん汁,薄口しょうゆ,0.8
59,10/4/2021,そうめん汁,食塩,0.3
60,10/4/2021,そうめん汁,削り節　だし用,4
61,10/4/2021,そうめん汁,出し昆布,0.5
62,10/4/2021,そうめん汁,水,140
63,10/4/2021,しょうゆ豆,しょうゆ豆,10
64,10/5/2021,しっぽくうどん,（袋）ゆでうどん　さぬきの夢,280
65,10/5/2021,しっぽくうどん,鶏肉　胸・皮なし（2×1㎝）,12
66,10/5/2021,しっぽくうどん,鶏肉　もも・皮なし（2×1㎝）,8
67,10/5/2021,しっぽくうどん,清酒,1
68,10/5/2021,しっぽくうどん,てんぷら,10
69,10/5/2021,しっぽくうどん,油揚げ,10
70,10/5/2021,しっぽくうどん,大根,30
71,10/5/2021,しっぽくうどん,里いもカット,15
72,10/5/2021,しっぽくうどん,人参,10
73,10/5/2021,しっぽくうどん,中ねぎ,5
74,10/5/2021,しっぽくうどん,濃口しょうゆ,5
75,10/5/2021,しっぽくうどん,みりん,1
76,10/5/2021,しっぽくうどん,清酒,1
77,10/5/2021,しっぽくうどん,食塩,0.4
78,10/5/2021,しっぽくうどん,煮干し　だし用,5
79,10/5/2021,しっぽくうどん,水,150
80,10/5/2021,牛乳,牛乳,206
81,10/5/2021,ごまあえ,もやし,35
82,10/5/2021,ごまあえ,小松菜,25
83,10/5/2021,ごまあえ,人参,10
84,10/5/2021,ごまあえ,炒り白ごま,1
85,10/5/2021,ごまあえ,（袋）和風ドレッシング,10
86,10/5/2021,さつまいもと栗のタルト,（個）お米のさつまいもと栗のタルト,30
87,10/6/2021,麦ごはん,精白米（自校）,73
88,10/6/2021,麦ごはん,米粒麦　自校,7
89,10/6/2021,牛乳,牛乳,206
90,10/6/2021,厚揚げとチンゲンサイのみそ炒め,豚肉赤身（2×2㎝スライス）,20
91,10/6/2021,厚揚げとチンゲンサイのみそ炒め,清酒,2
92,10/6/2021,厚揚げとチンゲンサイのみそ炒め,（冷）厚揚げ（カット）,50
93,10/6/2021,厚揚げとチンゲンサイのみそ炒め,玉葱,30
94,10/6/2021,厚揚げとチンゲンサイのみそ炒め,チンゲンサイ,25
95,10/6/2021,厚揚げとチンゲンサイのみそ炒め,人参,10
96,10/6/2021,厚揚げとチンゲンサイのみそ炒め,たけのこ水煮（ホール）,8
97,10/6/2021,厚揚げとチンゲンサイのみそ炒め,生しいたけ（スライス）,2
98,10/6/2021,厚揚げとチンゲンサイのみそ炒め,生姜,0.6
99,10/6/2021,厚揚げとチンゲンサイのみそ炒め,にんにく　,0.2
100,10/6/2021,厚揚げとチンゲンサイのみそ炒め,ごま油,0.8
101,10/6/2021,厚揚げとチンゲンサイのみそ炒め,中双糖,2
