"#property","lunchDay","menuName","foodName","quantity"
"1","3/1/2024","ばらずし（えび入り）","精白米（自校）","65"
"2","3/1/2024","ばらずし（えび入り）","鉄強化米","0.5"
"3","3/1/2024","ばらずし（えび入り）","清酒","3"
"4","3/1/2024","ばらずし（えび入り）","出し昆布","0.8"
"5","3/1/2024","ばらずし（えび入り）","食酢","10"
"6","3/1/2024","ばらずし（えび入り）","上白糖","8"
"7","3/1/2024","ばらずし（えび入り）","食塩","0.8"
"8","3/1/2024","ばらずし（えび入り）","（冷）むきえび","15"
"9","3/1/2024","ばらずし（えび入り）","清酒","1"
"10","3/1/2024","ばらずし（えび入り）","油揚げ","8"
"11","3/1/2024","ばらずし（えび入り）","高野豆腐（すし用）","1"
"12","3/1/2024","ばらずし（えび入り）","ごぼう（ささがき・ごはん用小さめ）","8"
"13","3/1/2024","ばらずし（えび入り）","人参","10"
"14","3/1/2024","ばらずし（えび入り）","（冷）グリンピース","5"
"15","3/1/2024","ばらずし（えび入り）","干ししいたけ（スライス）","0.8"
"16","3/1/2024","ばらずし（えび入り）","上白糖","2.5"
"17","3/1/2024","ばらずし（えび入り）","清酒","2"
"18","3/1/2024","ばらずし（えび入り）","うすくちしょうゆ","2"
"19","3/1/2024","牛乳","牛乳","206"
"20","3/1/2024","ブロッコリーのあえもの","（レト）ささみ油漬（フレーク）","18"
"21","3/1/2024","ブロッコリーのあえもの","キャベツ","25"
"22","3/1/2024","ブロッコリーのあえもの","（生）ブロッコリー（カット）県産","20"
"23","3/1/2024","ブロッコリーのあえもの","（缶）ホールコーン","10"
"24","3/1/2024","ブロッコリーのあえもの","しょうゆ","2"
"25","3/1/2024","ブロッコリーのあえもの","上白糖","1.1"
"26","3/1/2024","ブロッコリーのあえもの","サラダ油","0.6"
"27","3/1/2024","すまし汁","手まり麩","1.5"
"28","3/1/2024","すまし汁","（冷）豆腐（カット）１㎏","30"
"29","3/1/2024","すまし汁","玉葱","20"
"30","3/1/2024","すまし汁","えのきたけ","7"
"31","3/1/2024","すまし汁","中ねぎ","5"
"32","3/1/2024","すまし汁","食塩","0.5"
"33","3/1/2024","すまし汁","うすくちしょうゆ","0.5"
"34","3/1/2024","すまし汁","削り節　だし用","4"
"35","3/1/2024","すまし汁","出し昆布","1"
"36","3/1/2024","すまし汁","水","120"
"37","3/1/2024","ひなあられ","（個）ひなあられ","8"
"38","3/4/2024","コッペパン","コッペパン（丸型）","60"
"39","3/4/2024","牛乳","牛乳","206"
"40","3/4/2024","とり肉のマーマレードソースかけ","鶏肉　胸・皮なし（唐揚げ用）","30"
"41","3/4/2024","とり肉のマーマレードソースかけ","鶏肉　もも・皮なし（唐揚げ用）","20"
"42","3/4/2024","とり肉のマーマレードソースかけ","清酒","1"
"43","3/4/2024","とり肉のマーマレードソースかけ","でんぷん","6"
"44","3/4/2024","とり肉のマーマレードソースかけ","なたね油","5"
"45","3/4/2024","とり肉のマーマレードソースかけ","マーマレード　調理用","9"
"46","3/4/2024","とり肉のマーマレードソースかけ","しょうゆ","2"
"47","3/4/2024","とり肉のマーマレードソースかけ","白ぶどう酒","2"
"48","3/4/2024","とり肉のマーマレードソースかけ","水","4"
"49","3/4/2024","大豆サラダ","（冷）大豆水煮","15"
"50","3/4/2024","大豆サラダ","（冷）むき枝豆　１㎏","5"
"51","3/4/2024","大豆サラダ","きゅうり","25"
"52","3/4/2024","大豆サラダ","人参","10"
"53","3/4/2024","大豆サラダ","焙煎ごまドレッシング","7"
"54","3/4/2024","野菜スープ","ベーコン（短冊）","7"
"55","3/4/2024","野菜スープ","玉葱","30"
"56","3/4/2024","野菜スープ","白菜","30"
"57","3/4/2024","野菜スープ","人参","5"
"58","3/4/2024","野菜スープ","セロリ","5"
"59","3/4/2024","野菜スープ","パセリ","0.5"
"60","3/4/2024","野菜スープ","サラダ油","0.5"
"61","3/4/2024","野菜スープ","（袋）がらスープ　１ｋｇ","4"
"62","3/4/2024","野菜スープ","食塩","0.4"
"63","3/4/2024","野菜スープ","こしょう","0.03"
"64","3/4/2024","野菜スープ","チキンコンソメ","0.5"
"65","3/4/2024","野菜スープ","ローリエ","0.1"
"66","3/4/2024","野菜スープ","湯","120"
"67","3/5/2024","ごはん","精白米（自校）","80"
"68","3/5/2024","ごはん","鉄強化米","0.5"
"69","3/5/2024","牛乳","牛乳","206"
"70","3/5/2024","あつあげとチンゲンサイのみそいため","豚肉赤身ミンチ","15"
"71","3/5/2024","あつあげとチンゲンサイのみそいため","清酒","2"
"72","3/5/2024","あつあげとチンゲンサイのみそいため","生姜","0.6"
"73","3/5/2024","あつあげとチンゲンサイのみそいため","にんにく　","0.2"
"74","3/5/2024","あつあげとチンゲンサイのみそいため","（冷）厚揚げ（カット）１㎏","45"
"75","3/5/2024","あつあげとチンゲンサイのみそいため","玉葱","25"
"76","3/5/2024","あつあげとチンゲンサイのみそいため","人参","10"
"77","3/5/2024","あつあげとチンゲンサイのみそいため","たけのこ水煮（ホール）","8"
