#property,lunchDay,menuName,foodName,quantity
1,3/1/2022,コッペパン,コッペパン（丸型）,60
2,3/1/2022,牛乳,牛乳　,206
3,3/1/2022,鶏肉のレモンソース,鶏肉　胸・皮なし（唐揚げ用）,30
4,3/1/2022,鶏肉のレモンソース,鶏肉　もも・皮なし（唐揚げ用）,20
5,3/1/2022,鶏肉のレモンソース,清酒,1
6,3/1/2022,鶏肉のレモンソース,でんぷん,1
7,3/1/2022,鶏肉のレモンソース,食用油,5
8,3/1/2022,鶏肉のレモンソース,上白糖,3.5
9,3/1/2022,鶏肉のレモンソース,（冷）レモン果汁　県産・500g,5
10,3/1/2022,鶏肉のレモンソース,しょうゆ,3
11,3/1/2022,ごぼうサラダ,洗いごぼう,30
12,3/1/2022,ごぼうサラダ,きゅうり,15
13,3/1/2022,ごぼうサラダ,人参,8
14,3/1/2022,ごぼうサラダ,（缶）ホールコーン,5
15,3/1/2022,ごぼうサラダ,焙煎ごまドレッシング,9
16,3/1/2022,うずら卵とロメインレタスのスープ,ボンレスハム（短冊）卵抜き,5
17,3/1/2022,うずら卵とロメインレタスのスープ,（レト）うずら卵１㎏,25
18,3/1/2022,うずら卵とロメインレタスのスープ,玉葱,20
19,3/1/2022,うずら卵とロメインレタスのスープ,ロメインレタス,20
20,3/1/2022,うずら卵とロメインレタスのスープ,人参,5
21,3/1/2022,うずら卵とロメインレタスのスープ,（袋）がらスープ,4
22,3/1/2022,うずら卵とロメインレタスのスープ,食塩,0.6
23,3/1/2022,うずら卵とロメインレタスのスープ,サラダ油,0.5
24,3/1/2022,うずら卵とロメインレタスのスープ,しょうゆ,0.5
25,3/1/2022,うずら卵とロメインレタスのスープ,チキンコンソメ,0.3
26,3/1/2022,うずら卵とロメインレタスのスープ,ごま油,0.2
27,3/1/2022,うずら卵とロメインレタスのスープ,こしょう,0.03
28,3/1/2022,うずら卵とロメインレタスのスープ,湯,120
29,3/2/2022,ビビンバ（麦ごはん）,精白米（委託）,70
30,3/2/2022,ビビンバ（麦ごはん）,米粒麦　委託,7
31,3/2/2022,ビビンバ（麦ごはん）,牛肉（３×３㎝スライス）,30
32,3/2/2022,ビビンバ（麦ごはん）,しょうゆ,2
33,3/2/2022,ビビンバ（麦ごはん）,清酒,1
34,3/2/2022,ビビンバ（麦ごはん）,三温糖,1
35,3/2/2022,ビビンバ（麦ごはん）,にんにく　,1.5
36,3/2/2022,ビビンバ（麦ごはん）,ごま油,1
37,3/2/2022,ビビンバ（麦ごはん）,中ねぎ,1
38,3/2/2022,ビビンバ（麦ごはん）,一味,0.01
39,3/2/2022,ビビンバ（麦ごはん）,炒り白ごま,1
40,3/2/2022,ビビンバ（麦ごはん）,ほうれん草,25
41,3/2/2022,ビビンバ（麦ごはん）,しょうゆ,1.5
42,3/2/2022,ビビンバ（麦ごはん）,ごま油,0.3
43,3/2/2022,ビビンバ（麦ごはん）,もやし,35
44,3/2/2022,ビビンバ（麦ごはん）,人参,15
45,3/2/2022,ビビンバ（麦ごはん）,食酢,2.4
46,3/2/2022,ビビンバ（麦ごはん）,ごま油,1.5
47,3/2/2022,ビビンバ（麦ごはん）,しょうゆ,1
48,3/2/2022,ビビンバ（麦ごはん）,上白糖,1
49,3/2/2022,ビビンバ（麦ごはん）,食塩,0.2
50,3/2/2022,牛乳,牛乳,206
51,3/2/2022,トック入りわかめスープ,ボンレスハム（短冊）卵抜き,5
52,3/2/2022,トック入りわかめスープ,トック　国産米使用,20
53,3/2/2022,トック入りわかめスープ,玉葱,20
54,3/2/2022,トック入りわかめスープ,中ねぎ,3
