"#property","lunchDay","menuName","foodName","quantity"
"1","1/9/2024","焼肉ピラフ","精白米（自校）","65"
"2","1/9/2024","焼肉ピラフ","鉄強化米","0.5"
"3","1/9/2024","焼肉ピラフ","牛肉（３×３㎝スライス）","25"
"4","1/9/2024","焼肉ピラフ","生姜","0.5"
"5","1/9/2024","焼肉ピラフ","にんにく　","0.6"
"6","1/9/2024","焼肉ピラフ","玉葱","10"
"7","1/9/2024","焼肉ピラフ","人参","7"
"8","1/9/2024","焼肉ピラフ","（冷）むき枝豆　１㎏","5"
"9","1/9/2024","焼肉ピラフ","サラダ油","0.5"
"10","1/9/2024","焼肉ピラフ","しょうゆ","2"
"11","1/9/2024","焼肉ピラフ","上白糖","1.3"
"12","1/9/2024","焼肉ピラフ","清酒","1"
"13","1/9/2024","焼肉ピラフ","チキンコンソメ","0.5"
"14","1/9/2024","焼肉ピラフ","食塩","0.5"
"15","1/9/2024","焼肉ピラフ","豆板醤","0.1"
"16","1/9/2024","牛乳","牛乳","206"
"17","1/9/2024","のりじゃこサラダ","上乾ちりめん","3"
"18","1/9/2024","のりじゃこサラダ","もやし","25"
"19","1/9/2024","のりじゃこサラダ","レタス　","20"
"20","1/9/2024","のりじゃこサラダ","きゅうり","15"
"21","1/9/2024","のりじゃこサラダ","人参","5"
"22","1/9/2024","のりじゃこサラダ","味付けもみのり（５～１０㎜幅）県産","1"
"23","1/9/2024","のりじゃこサラダ","食酢","2.2"
"24","1/9/2024","のりじゃこサラダ","しょうゆ","1"
"25","1/9/2024","のりじゃこサラダ","上白糖","1"
"26","1/9/2024","のりじゃこサラダ","サラダ油","0.5"
"27","1/9/2024","のりじゃこサラダ","ごま油","0.5"
"28","1/9/2024","トック入りわかめスープ","ロースハム（短冊）卵抜き","5"
"29","1/9/2024","トック入りわかめスープ","トック　国産米使用","20"
"30","1/9/2024","トック入りわかめスープ","玉葱","20"
"31","1/9/2024","トック入りわかめスープ","中ねぎ","3"
"32","1/9/2024","トック入りわかめスープ","干しわかめ（カット）","0.8"
"33","1/9/2024","トック入りわかめスープ","サラダ油","0.5"
"34","1/9/2024","トック入りわかめスープ","（袋）がらスープ","4"
"35","1/9/2024","トック入りわかめスープ","しょうゆ","0.8"
"36","1/9/2024","トック入りわかめスープ","食塩","0.4"
"37","1/9/2024","トック入りわかめスープ","こしょう","0.03"
"38","1/9/2024","トック入りわかめスープ","チキンコンソメ","0.3"
"39","1/9/2024","トック入りわかめスープ","ごま油","0.2"
"40","1/9/2024","トック入りわかめスープ","湯","140"
"41","1/9/2024","ココアワッフル","（個）ココアワッフル　鉄分強化","28"
"42","1/10/2024","年明け八菜うどん","（袋）ゆでうどん　さぬきの夢","300"
"43","1/10/2024","年明け八菜うどん","豚肉赤身（３×３㎝スライス）","20"
"44","1/10/2024","年明け八菜うどん","生姜","0.4"
"45","1/10/2024","年明け八菜うどん","清酒","1.5"
"46","1/10/2024","年明け八菜うどん","型抜きかまぼこ（梅）","5"
"47","1/10/2024","年明け八菜うどん","白菜","25"
"48","1/10/2024","年明け八菜うどん","玉葱","25"
"49","1/10/2024","年明け八菜うどん","大根","15"
"50","1/10/2024","年明け八菜うどん","金時人参","10"
"51","1/10/2024","年明け八菜うどん","もやし","10"
"52","1/10/2024","年明け八菜うどん","生しいたけ（スライス）県産・１kg","5"
"53","1/10/2024","年明け八菜うどん","中ねぎ","5"
"54","1/10/2024","年明け八菜うどん","サラダ油","0.5"
"55","1/10/2024","年明け八菜うどん","しょうゆ","4"
"56","1/10/2024","年明け八菜うどん","みりん","1"
"57","1/10/2024","年明け八菜うどん","食塩","0.5"
"58","1/10/2024","年明け八菜うどん","でんぷん","2"
"59","1/10/2024","年明け八菜うどん","煮干し　だし用","5"
"60","1/10/2024","年明け八菜うどん","水","110"
"61","1/10/2024","牛乳","牛乳","206"
"62","1/10/2024","えび入り金時かきあげ","（冷）金時揚げ","40"
"63","1/10/2024","えび入り金時かきあげ","なたね油","4"
"64","1/10/2024","ゆでブロッコリー","（生）ブロッコリー（カット）県産","25"
"65","1/10/2024","ゆでブロッコリー","ゆで塩","0.5"
"66","1/10/2024","紅白いちごゼリー","（個）紅白いちごゼリー","40"
"67","1/11/2024","ダイシモチ麦ごはん","精白米（自校）","73"
"68","1/11/2024","ダイシモチ麦ごはん","もち麦","7"
"69","1/11/2024","ダイシモチ麦ごはん","鉄強化米","0.5"
"70","1/11/2024","牛乳","牛乳","206"
"71","1/11/2024","がんもどきとひじきのうま煮","（冷）ミニひろうす　青大豆入り","20"
"72","1/11/2024","がんもどきとひじきのうま煮","牛肉（２×２㎝スライス）","15"
"73","1/11/2024","がんもどきとひじきのうま煮","つきこんにゃく","20"
"74","1/11/2024","がんもどきとひじきのうま煮","洗いごぼう","15"
"75","1/11/2024","がんもどきとひじきのうま煮","人参","10"
"76","1/11/2024","がんもどきとひじきのうま煮","（冷）さやいんげん　５００ｇ","8"
"77","1/11/2024","がんもどきとひじきのうま煮","たけのこ水煮（ホール）","7"
"78","1/11/2024","がんもどきとひじきのうま煮","（乾）ひじき","3"
"79","1/11/2024","がんもどきとひじきのうま煮","サラダ油","1"
"80","1/11/2024","がんもどきとひじきのうま煮","しょうゆ","4"
"81","1/11/2024","がんもどきとひじきのうま煮","三温糖","3"
"82","1/11/2024","がんもどきとひじきのうま煮","清酒","1"
"83","1/11/2024","がんもどきとひじきのうま煮","みりん","0.5"
"84","1/11/2024","がんもどきとひじきのうま煮","だし汁","20"
"85","1/11/2024","とん汁","豚肉並（３×３㎝スライス）","10"
"86","1/11/2024","とん汁","油揚げ","5"
"87","1/11/2024","とん汁","さつまいも（２㎝角）","30"
"88","1/11/2024","とん汁","大根","20"
"89","1/11/2024","とん汁","人参","8"
"90","1/11/2024","とん汁","えのきたけ","5"
"91","1/11/2024","とん汁","中ねぎ","5"
