"業務種別","施設名称１","施設郵便番号","施設所在地１","施設所在地２","開設者申請者名","開設者役職名","開設者代表者名","開設者都道府県名称","開設者住所１","開設者住所２","開設確認番号","開設確認日"
"理容所","ヘアースタイリングハウス　美松","760-0005","高松市宮脇町二丁目１９−１５",,"松山　伸一",,,,,,"第62-4号","S62.04.03"
"理容所","みどり理容所","760-0071","高松市藤塚町一丁目５−１９",,"森　勇喜彦",,,,,,"第62-6号","S62.07.01"
"理容所","ヘアーサロン　ツルミ","760-0036","高松市城東町一丁目６−２８",,"鶴身　保信",,,,,,"第62-13号","S63.01.07"
"理容所","ヘア・サロン　イマユキ","761-0104","高松市高松町２３０９−２",,"今雪　忠一",,,,,,"第63-1号","S63.04.01"
"理容所","カットハウスＫ","760-0080","高松市木太町５０１０−７",,"角屋　裕志",,,,,,"第63-3号","S63.04.06"
"理容所","ヘアーサロン　馬場","761-1402","高松市香南町由佐１７８番地６",,"馬場　勝",,,,,,"第63-5号","S63.05.16"
"理容所","ＢＡＲＢＥＲＳＨＯＰ","760-0045","高松市古馬場町１２−１",,"今川　雅人",,,,,,"第63-8号","S63.07.19"
"理容所","ヘアサロン　久米","761-0321","高松市前田西町７７−６",,"久米　基員",,,,,,"第63-16号","H01.03.27"
"理容所","いなや理容","760-0038","高松市井口町６番２号",,"稲毛　清進",,,,,,"第1-1号","H01.04.07"
"理容所","ヘアーサロン　Ｍ　ｃｌｕｂ（エムクラブ）","769-0103","高松市国分寺町福家甲２１９−１",,"松本　和久",,,,,,"第元-2号","H01.04.25"
"理容所","ヘアーサロンもりわき","760-0052","高松市瓦町一丁目７−７",,"森脇　照義",,,,,,"第1-2号","H01.05.16"
"理容所","いすゞ理容所","761-8081","高松市成合町１６−１１",,"井上　和子",,,,,,"第1-9号","H01.10.03"
"理容所","理容カワニシ","760-0020","高松市錦町二丁目１０番３号",,"理容カワニシ有限会社","代表取締役","川西　忠信","香川県","高松市錦町二丁目１０番３号",,"第1-11号","H01.10.25"
"理容所","ヘアーサロン　シブヤ","760-0073","高松市栗林町二丁目６番５号",,"岡本　卓児",,,,,,"第1-12号","H01.10.30"
"理容所","ヘアーサロングッドマン","761-8044","高松市円座町１１２２−６",,"藤沢　弘順",,,,,,"第1-13号","H01.12.15"
"理容所","ヘアサロン　　和","760-0012","高松市瀬戸内町１３−１６",,"新田　和俊",,,,,,"第1-16号","H02.03.28"
"理容所","ＬＯＮＧ　ｍｅｎ＇ｓ　ｈａｉｒ","760-0040","高松市片原町６番地４",,"今川　昌伸",,,,,,"第1-18号","H02.04.09"
"理容所","有限会社　マスヤマ理容館","760-0023","高松市寿町二丁目３番９号",,"有限会社　マスヤマ理容館","代表取締役","笠井　康博","香川県","高松市寿町二丁目３番９号",,"第2-2号","H02.04.21"
"理容所","サロン・ド・ジャンティ","760-0052","高松市瓦町一丁目８番地１",,"有限会社　丸山理容室","代表取締役","丸山　雄次","香川県","高松市瓦町一丁目８番地１",,"第2-4号","H02.05.21"
"理容所","ヘアーサロンかわすじ","760-0080","高松市木太町３８１７番地","１Ｆ","有限会社かわすじ","取締役","川筋　正仁","香川県","高松市木太町３８１７番地",,"第2-6号","H02.06.12"
"理容所","藤井理容所","769-0103","高松市国分寺町福家甲３８７５−６",,"藤井　小百合",,,,,,"第2-1号","H02.06.30"
"理容所","ヘアーサロン・ヤマグチ","769-0104","高松市国分寺町新名６８０−２",,"山口　恵子",,,,,,"第2-3号","H02.10.03"
"理容所","ミロードたむら屋島店","761-0113","高松市屋島西町１４５３−１",,"山本　晶啓",,,,,,"第2-12号","H02.11.01"
"理容所","メンズヘアー２１","760-0043","高松市今新町７−１４","シティビル１階","石田　卓也",,,,,,"第2-18号","H03.01.28"
"理容所","くすのき理容所","761-0322","高松市前田東町字長渕１０８１−４",,"楠　千頭子",,,,,,"第2-20号","H03.03.19"
"理容所","大西理容所","761-8078","高松市仏生山町甲４５１",,"大西　等",,,,,,"第3-4号","H03.09.21"
"理容所","ヘアスタジオマキノ","761-0441","高松市由良町２８−１",,"槙野　公雄",,,,,,"第3-7号","H03.10.04"
"理容所","理容　川西","761-0122","高松市牟礼町大町５０９−１",,"川西　明",,,,,,"第3-8号","H03.10.23"
"理容所","双葉理容院","761-8041","高松市檀紙町１６０２−４",,"西本　賀代子",,,,,,"第3-11号","H03.12.17"
"理容所","ヘアーサロン　ＩＳＥ","761-0442","高松市川島本町４４４−７",,"井清　光浩",,,,,,"第4-1号","H04.04.03"
"理容所","カットサロン　シザース","760-0008","高松市中野町１５番１７号",,"山田　昌三",,,,,,"第4-6号","H04.06.30"
"理容所","カットハウス　　アケタ","761-8012","高松市香西本町５０３−２",,"明田　太基",,,,,,"第4-9号","H04.09.21"
"理容所","ヘアースタジオ・リバー","761-8071","高松市伏石町１４９９番地１１",,"黒川　直人",,,,,,"第4-10号","H04.09.29"
"理容所","ヘアーサロン　ひまわり","761-1703","高松市香川町浅野１０３８−１０","２階","大内　律子",,,,,,"第4-11号","H04.10.08"
"理容所","植松理容","761-0104","高松市高松町４４１番地１２",,"平井　万理",,,,,,"第4-13号","H04.11.16"
"理容所","ヘアーサロン　　ウエタ","760-0080","高松市木太町２区１２４３番地",,"植田　利夫",,,,,,"第4-18号","H05.03.01"
"理容所","髪工房　ハツセ","761-0121","高松市牟礼町牟礼２１１５−１","マルイビル１階東","初瀬　名央",,,,,,"第4-20号","H05.03.30"
"理容所","ヘアーアート　　たに","761-0312","高松市東山崎町５５７−２",,"谷　直樹",,,,,,"第5-3号","H05.05.20"
"理容所","カット　ハウス　２１","761-0442","高松市川島本町３１２−９",,"上原　秀夫",,,,,,"第5-7号","H05.06.22"
"理容所","株式会社アートネイチャー　高松店","760-0056","高松市中新町１４−１","アートネイチャービル７Ｆ","株式会社アートネイチャー","代表取締役","五十嵐　祥剛","東京都","渋谷区代々木三丁目４０番７号",,"第5-13号","H05.11.01"
"理容所","中原　　理容所","761-8072","高松市三条町５６８−１３",,"中原　利雄",,,,,,"第6-1号","H06.04.22"
"理容所","おしゃれ床屋　　ＫＡＺＵ","761-0113","高松市屋島西町２４８６番地１５",,"横井　道和",,,,,,"第6-3号","H06.06.07"
"理容所","ウエタ理容室","761-0312","高松市東山崎町２０６−５",,"植田　和夫",,,,,,"第6-5号","H06.07.04"
"理容所","白井良彦理容店","761-1706","高松市香川町川東上１８３６",,"白井　良彦",,,,,,"第6-7号","H06.12.05"
"理容所","カットハウス　ＴＡＯＫＡ","761-8085","高松市寺井町１３６４−２４",,"田岡　敏雄",,,,,,"第6-10号","H07.01.23"
"理容所","理容　きみ","761-8012","高松市香西本町３１２","第３辰栄マンション１階","太田　貴美子",,,,,,"第6-11号","H07.02.20"
"理容所","メンズヘアーサロン　ＣＯＣＯ","761-8078","高松市仏生山町甲５０５番地１",,"有限会社　マツモト企画","取締役","松本　昇","香川県","高松市仏生山町甲５０５番地１",,"第6-13号","H07.03.24"
"理容所","ヘアーサロン　みやわき","761-0112","高松市屋島中町４８１番地",,"宮脇　宮繁",,,,,,"第7-3号","H07.04.26"
"理容所","久保理容所","760-0032","高松市本町５番９号",,"久保　康廣",,,,,,"第7-4号","H07.05.01"
"理容所","ステラ　メロディズ　ヘアー","769-0101","高松市国分寺町新居１５−１",,"桑村　和照",,,,,,"第7-2号","H07.05.25"
"理容所","理容　かわにし","760-0062","高松市塩上町三丁目１４−１２",,"川西　久男",,,,,,"第7-7号","H07.06.08"
"理容所","ホープ理容所","760-0004","高松市西宝町一丁目１７−２０",,"国宗　一郎",,,,,,"第7-18号","H08.03.26"
"理容所","福田理容所","761-8046","高松市川部町１７４５−３",,"福田　晴子",,,,,,"第8-2号","H08.04.12"
"理容所","カットルーム　ＴＡＫＡＨＡＳＨＩ","761-0101","高松市春日町５９６−３",,"松原　佳子",,,,,,"第8-3号","H08.04.15"
"理容所","ヘアサロンＫスポット","769-0104","高松市国分寺町新名９００番地１",,"黒田　美恵子",,,,,,"第8-1号","H08.05.01"
"理容所","理容ＫＡＷＡＳＡＫｉ","760-0054","高松市常磐町二丁目５番２９号","プレイタウンｕ","川崎　恭子",,,,,,"第8-7号","H08.11.07"
