"業務種別","施設名称１","施設郵便番号","施設所在地１","施設所在地２","開設者申請者名","開設者役職名","開設者代表者名","開設者都道府県名称","開設者住所１","開設者住所２","開設確認番号","開設確認日"
"理容所","ｈａｉｒ　ｓｐａｃｅ　Ｗｉｔｈ　（ヘアースペース　ウィズ）","761-8075","高松市多肥下町１５８８番地２８",,"木村　文治",,,,,,"第11083号","H17.10.04"
"理容所","ヘアーサロン　フジカワ","760-0080","高松市木太町７区３４４３−１０",,"藤川　泰臣",,,,,,"第11086号","H17.12.26"
"理容所","Ｋｏｊｉ","760-0075","高松市楠上町２−５−２０",,"濱野　耕司",,,,,,"第11087号","H18.01.06"
"理容所","ＨＡＩＲ　ＳＡＬＯＮ　ＭＯＮＳＴＥＲ","761-8076","高松市多肥上町字立石１８７２−２",,"宮武　頼政",,,,,,"第11090号","H18.03.24"
"理容所","髪　ｓａｌｏｎ　まつばら","761-8076","高松市多肥上町１８５５−１７","１階","松原　賢治",,,,,,"第11091号","H18.04.11"
"理容所","理容イケダ","761-8076","高松市多肥上町３０９−７",,"池田　博正",,,,,,"第11092号","H18.05.08"
"理容所","カットルーム　こーぞう","761-1703","高松市香川町浅野５９１番地３","１階","谷本　耕造",,,,,,"第11095号","H18.08.02"
"理容所","理容　カジハラ","760-0080","高松市木太町２区１７７５−１１","１階","梶原　信夫",,,,,,"第11096号","H18.09.26"
"理容所","ヘアーサロン　オオニシ","761-8045","高松市西山崎町字川向上６６６−７","メゾン宮本１階北側","大西　正剛",,,,,,"第11097号","H18.11.27"
"理容所","ＭＥＮ＇Ｓ　ＨＡＩＲ　ＭＡＹＢＥ","761-0301","高松市林町１１７０−１０",,"中村　幸宏",,,,,,"第11098号","H18.12.01"
"理容所","ヘアサロン唐渡","761-8024","高松市鬼無町藤井２１−２",,"唐渡　春雄",,,,,,"第11099号","H19.01.09"
"理容所","メンズサロン　タオカ","761-8045","高松市西山崎町６９４−１３",,"田岡　博文",,,,,,"第11100号","H19.01.11"
"理容所","ヘアーサロン　ウルシハラ","761-0122","高松市牟礼町大町１３６１−６",,"漆原　和也",,,,,,"第11102号","H19.01.29"
"理容所","理容　ふしみ","761-0113","高松市屋島西町１３４０−９",,"伏見　布善",,,,,,"第11103号","H19.01.31"
"理容所","Ｂａｒｂｅｒ　Ｓｈｏｐ　ミヤモト","761-0104","高松市高松町２１８３−１１",,"宮本　千章",,,,,,"第11104号","H19.02.07"
"理容所","ＮＴＴ香川支店理容所","760-0055","高松市観光通一丁目８","Ａ棟５階","奥田　勲",,,,,,"第11106号","H19.04.03"
"理容所","３／９　サンキュー","761-0121","高松市牟礼町牟礼１０００番地２７",,"石井　正博",,,,,,"第11109号","H19.05.08"
"理容所","ヘアーサロン　マナー","761-0113","高松市屋島西町２１０５番８号","西村ジョイ内","吉積　政義",,,,,,"第11110号","H19.06.26"
"理容所","岡理容所","760-0074","高松市桜町一丁目１４番１号",,"岡　洋子",,,,,,"第11111号","H19.09.11"
"理容所","Ｂ，Ｈｅａｒｔｓ","761-8012","高松市香西本町１５１−１５",,"古河　孝司",,,,,,"第11113号","H19.11.08"
"理容所","Ｈ＇　ｈｅａｄ　＆　ｆａｃｅ","761-8075","高松市多肥下町４３−４",,"山下　宏樹",,,,,,"第11115号","H19.11.30"
"理容所","ジョヴァーネ","761-0104","高松市高松町１７２２−９番地",,"大塚　誠史",,,,,,"第11116号","H20.02.01"
"理容所","Ｈｏｏ　Ｒｕｎ","769-0101","高松市国分寺町新居字下吉田１５０３−６　","１Ｆ中央","前田　るみ子",,,,,,"第11118号","H20.03.13"
"理容所","ＨＡＩＲ＇Ｓ　ＳＨＩＲＡＩ","761-8072","高松市三条町１６５−７",,"白井　啓正",,,,,,"第1220005号","H20.10.16"
"理容所","Ｈａｉｒ　Ｔｏｋｏ　ｔｏｃｏ","761-0450","高松市三谷町３６７−２",,"高橋　裕子",,,,,,"第1220008号","H21.01.06"
"理容所","理容　中村","761-0121","高松市牟礼町牟礼２６６４−３",,"中村　龍二",,,,,,"第1221001号","H21.04.22"
"理容所","ｈａｉｒ　Ｐｉｅｃｅ","761-8075","高松市多肥下町４０４−２","清水ビル１階","中前　仁",,,,,,"第1221002号","H21.05.01"
"理容所","カットハウスウインａｎｄベビーフェイス","761-1703","高松市香川町浅野１００２−９",,"有限会社もりた企画","代表取締役","森田　将弘","香川県","高松市香川町浅野１００２番地９",,"第1221004号","H21.05.07"
"理容所","カットハウスウイン（サンフラワー店）ａｎｄベビーフェイス（サンフラワー店）","761-8073","高松市太田下町３０４１番地１９",,"有限会社　もりた企画","代表取締役","森田　将弘","香川県","高松市香川町浅野１００２番地９",,"第1221005号","H21.07.31"
"理容所","男のＢＯＮＤ","760-0079","高松市松縄町４３−５　２Ｆ",,"藤本　正顕",,,,,,"第1221006号","H21.08.14"
"理容所","とこや","760-0080","高松市木太町２区１６６９番",,"横井　賢司",,,,,,"第1221007号","H21.09.01"
"理容所","Ｃｕｔ　ｈｏｕｓｅ　ｆｅｅｌ　ｉｎ　Ｍｏｄｅ","761-8084","高松市一宮町１６１４−２",,"髙橋　要平",,,,,,"第1221009号","H22.01.04"
"理容所","ヘアーサロン　宮西","761-8042","高松市御厩町９２４−３",,"宮西　富士光",,,,,,"第1221012号","H22.02.05"
"理容所","K's COMPANY BBcut","761-1701","高松市香川町大野９１６−１",,"有限会社イオス","代表取締役","橋野　清","香川県","高松市香川町大野９１６番地１",,"第1222001号","H22.04.08"
"理容所","ＮＯＢ　ＨＡＩＲ","761-0301","高松市林町２５７８−２",,"越智　野歩",,,,,,"第1222002号","H22.05.10"
"理容所","Ｈａｉｒ　ｓａｌｏｎ　Ｍａｈａｌｏ","769-0101","高松市国分寺町新居３４８０−１",,"宮脇　絢也",,,,,,"第1222003号","H22.06.09"
"理容所","理容　カットエー","760-0077","高松市上福岡町９７９番地５",,"株式会社　カットツイン","代表取締役","手島　秀貴","大阪府","高槻市芥川町一丁目７番２６号","カワノビル","第1222004号","H22.08.04"
"理容所","ヘアーサロン　マナー　成合店","761-8081","高松市成合町８１２−１",,"吉積　政義",,,,,,"第1222005号","H22.11.12"
"理容所","愛理容室","761-0104","高松市高松町４６３−１",,"岡田　アイ子",,,,,,"第1222006号","H22.11.16"
"理容所","ファミリーヘアー","761-0443","高松市川島東町５２３番地４",,"石川　修二",,,,,,"第1222007号","H23.03.30"
"理容所","Ｈａｉｒ　感’ｓ","760-0013","高松市扇町二丁目７番４号",,"株式会社　エムケイ","代表取締役","向井　憲吾","香川県","高松市扇町二丁目７番４号",,"第1223001号","H23.04.15"
"理容所","ヘアーサロン　ベリーズ","760-0067","高松市松福町２丁目１１−２４",,"堀　真与",,,,,,"第1223005号","H23.12.05"
"理容所","カットスタジオ・ムサール","761-1706","高松市香川町川東上１７８７−８",,"有限会社ムサール","取締役","藤澤　久司","香川県","高松市香川町川東上１７８７番地８",,"第1223006号","H23.12.21"
"理容所","ＨＡＩＲ＇Ｓ　ＳＨＯＰ　ＧＡＮＧ　ＢＯＹ","761-8078","高松市仏生山町甲４２","ジョリータウンかわにし東−２号","吉田　武洋",,,,,,"第1223007号","H23.12.21"
"理容所","カットハウス野口理容店","761-0444","高松市池田町７８５−７",,"野口　繁夫",,,,,,"第1223008号","H24.03.27"
"理容所","Ｈａｉｒ　Ｂｅｓｔ，","761-8064","高松市上之町３丁目５−１",,"河上　正孝",,,,,,"第1224002号","H24.04.27"
"理容所","理容　行天","761-8045","高松市西山崎町５８０−２",,"行天　さとみ",,,,,,"第1224003号","H24.06.01"
"理容所","ｃｕｔ　ｓｐａｃｅ　Ｔ＇ｅａｓｅ","761-8024","高松市鬼無町藤井１１０−１",,"曽根　貴嗣",,,,,,"第1224005号","H24.06.25"
"理容所","とこや","761-1703","高松市香川町浅野５７０−１",,"松浦　幸博",,,,,,"第1224004号","H24.06.27"
"理容所","Ｈａｉｒ　Ｐｏｓｉｔｉｏｎ　ＵＥＴＡ","760-0075","高松市楠上町２丁目５−２０",,"植田　耕滋",,,,,,"第1224006号","H24.07.23"
"理容所","カットクラブ正箱","761-8041","高松市檀紙町７９８番地２",,"有限会社カットクラブ正箱","代表取締役","正箱　真二","香川県","高松市檀紙町７９８番地２",,"第1224007号","H24.08.24"
"理容所","理髪　橋本屋","761-8084","高松市一宮町１７８−１",,"橋本　武志",,,,,,"第1224008号","H24.09.07"
"理容所","香川県庁内理容所","760-0017","高松市番町４丁目１−１０","県庁内北館２Ｆ","有限会社イースト","取締役","東条　千賀子","香川県","高松市高松町２４６番地の６",,"第1224012号","H24.12.20"
"理容所","BB cut １０００","761-8074","高松市太田上町８９８−７",,"有限会社イオス","代表取締役","橋野　清","香川県","高松市香川町大野９１６番地１",,"第1224014号","H25.01.31"
"理容所","Ａｒｅｅｍ（アリーム）メンズスタイル","761-8075","高松市多肥下町１５５１−１",,"有限会社Ｐｒｉｓｍ　Ｃｒｅａｔｅ","代表取締役","磯野　勝也","香川県","高松市瓦町二丁目１２番地の１７",,"第10001号","H25.05.31"
"理容所","ＨＡＩＲ　Ｅ−ＭＡＸ　タカギ","761-8044","高松市円座町１０６８",,"髙木　英次",,,,,,"第10002号","H25.06.12"
"理容所","Ｗｉｔｈ−ｅ−","761-8076","高松市多肥上町１１７６−９",,"木村　寿美",,,,,,"第10003号","H25.11.18"
"理容所","合同会社ＨＡＩＲＳＴＵＤＩＯ神谷","761-8064","高松市上之町１丁目５番１６号",,"合同会社ＨＡＩＲＳＴＵＤＩＯ神谷","代表社員","神谷　彰","香川県","高松市上之町一丁目５番１６号",,"第10004号","H25.11.20"
"理容所","へあ～さろん　みちひろ","760-0061","高松市築地町９−４４",,"川原　佳治",,,,,,"第10005号","H25.11.27"
"理容所","メンズ　髪伝説","761-8014","高松市香西南町４１−１",,"川田　裕之",,,,,,"第10007号","H25.12.24"
"理容所","香川県立中央病院内理容室","760-0065","高松市朝日町１丁目２番１号","１階","有限会社イースト","取締役","東条　千賀子","香川県","高松市高松町２４６番地の６",,"第10008号","H26.03.04"
"理容所","ＣＲＡＦＴ　ＨＡＩＲ","761-0301","高松市林町３８５−１２",,"上村　和矢",,,,,,"第10009号","H26.03.25"
"理容所","ｍｅｎ’ｓ　ｈａｉｒ　Ｇｒｏｗｔｈ","760-0068","高松市松島町２−２２−１１","東山ビル１Ｆ","藤河　裕介",,,,,,"第10011号","H26.04.14"
"理容所","そよかぜ","761-0443","高松市川島東町７３１−７",,"近石　延江",,,,,,"第10013号","H26.08.08"
"理容所","ＳＥＮＧＯＫＵ　ＲＩＹＯＵ","761-8072","高松市三条町６２４−１","インターステイツ三条１０３","錢谷　広幸",,,,,,"第10014号","H26.10.30"
"理容所","カットハウス　やすおの店","761-0432","高松市亀田南町１５４−２",,"川瀧　泰生",,,,,,"第10016号","H26.12.02"
"理容所","Ｓｕｉｔｅ　Ｓａｌｏｎ　Ｋ４","761-0433","高松市十川西町４０９−３",,"小西　達也",,,,,,"第10017号","H26.12.04"
"理容所","ＳＨＩＭＩＺＵ　ｈａｉｒ","760-0080","高松市木太町２３３９−１",,"株式会社エスワン","代表取締役","清水　和彦","香川県","高松市木太町２３３９番地１",,"第10018号","H26.12.24"
"理容所","Ｂａｒ　Ｂｅｒ　ハナコ","761-8075","高松市多肥下町１５６１−１１",,"株式会社エスワン","代表取締役","清水　和彦","香川県","高松市木太町２３３９番地１",,"第10019号","H26.12.26"
"理容所","二川化粧品店","760-0053","高松市田町３−３",,"二川　眞理",,,,,,"第10020号","H27.01.13"
"理容所","ヘアーサロン・ヤマモト","760-0011","高松市浜ノ町６３−１",,"山本　恵三",,,,,,"第10021号","H27.05.27"
"理容所","ＨＡＹＡＳＨＩ","761-8046","高松市川部町８１８番地３",,"林　和宏",,,,,,"第10022号","H27.07.09"
"理容所","Laid Back","761-0311","高松市元山町１０５６−１",,"高橋　正親",,,,,,"第10023号","H27.08.03"
"理容所","ヘアーサロン　ツカサ","760-0052","高松市瓦町二丁目８−３７","１Ｆ","樫村　伸司",,,,,,"第10024号","H27.08.05"
"理容所","カットスタジオ２４６","760-0052","高松市瓦町二丁目８−３７","２Ｆ","樫村　謙司",,,,,,"第10025号","H27.08.05"
"理容所","カラト理容","769-0102","高松市国分寺町国分５２２−１",,"唐渡　和子",,,,,,"第10026号","H27.08.18"
"理容所","クイックサロン　はんさむ","760-0013","高松市扇町３丁目１４−５","１階","福﨑　英司",,,,,,"第10027号","H27.10.08"
"理容所","赤十字病院内理容室","760-0017","高松市番町４丁目１−３",,"舛形　ひとみ",,,,,,"第10028号","H27.12.01"
"理容所","髪切虫　おぉ","761-0113","高松市屋島西町２４８５−２８",,"六車　雅巳",,,,,,"第10030号","H27.12.16"
"理容所","クイックハウス　国分寺店","769-0104","高松市国分寺町新名１６−５",,"新井建物管理有限会社","取締役","新井　久","東京都","杉並区南荻窪四丁目３１番１０号",,"第10031号","H28.01.15"
"理容所","バーバーヤマサキ","761-8084","高松市一宮町３２１−２",,"山﨑　学",,,,,,"第10032号","H28.04.11"
"理容所","ヘアーサロン　イケハラ","761-8041","高松市檀紙町２０６８−１",,"池原　良輔",,,,,,"第10033号","H28.04.14"
"理容所","ＴＷＩＮＳ　ＨＡＩＲ","761-0432","高松市亀田南町１５６−２",,"緋田　陽介",,,,,,"第10034号","H28.09.07"
"理容所","大籔理容所","761-8031","高松市郷東町２−１",,"大籔　宏樹",,,,,,"第10035号","H28.11.15"
"理容所","理容　カワダ","760-0073","高松市栗林町１丁目８−８",,"川田　文夫",,,,,,"第10036号","H28.11.16"
"理容所","J HAIR","760-0068","高松市松島町３丁目３−１",,"樽井　準",,,,,,"第10037号","H28.11.30"
"理容所","ＦＵＪＩＫＡＷＡ　ＨＡＩＲ","760-0079","高松市松縄町１１１２−１６",,"藤河　誠司",,,,,,"第10038号","H28.12.13"
"理容所","散髪屋．ｃｏｍ","761-0121","高松市牟礼町牟礼２４９番地５","１０２","西　幸一",,,,,,"第10039号","H29.02.22"
"理容所","ｄｏｒｍｉｒ","761-0121","高松市牟礼町牟礼１００５−７−２Ｆ",,"大橋　美奈代",,,,,,"第10040号","H29.04.25"
"理容所","サミット　今里店","760-0078","高松市今里町１番１",,"株式会社尾上","代表取締役","尾上　一昭","徳島県","徳島市佐古二番町８番９号",,"第10041号","H29.08.31"
"理容所","雲雀理髪店","760-0054","高松市常磐町２−１−２、２Ｆ",,"藤井　一弘",,,,,,"第10042号","H29.09.04"
"理容所","ＳＵＧＡＲ","761-8078","高松市仏生山町甲９６７−１",,"佐藤　真基子",,,,,,"第10043号","H29.11.02"
"理容所","カットハウス　ＹＯＵ","761-0104","高松市高松町３０１１−１",,"藤田　裕二",,,,,,"第10045号","H30.02.09"
"理容所","デザイン　スペース　プリズム","761-8075","高松市多肥下町１５４３−３",,"浦松　龍次",,,,,,"第10046号","H30.03.05"
"理容所","カットハウス・ハッピー高松店","761-0312","高松市東山崎町648番地","ラ・ムー高松東店テナント区画内","横井　笑香",,,,,,"第10047号","H30.03.28"
"理容所","男のＢＯＮＤ　藤塚店","760-0071","高松市藤塚町１丁目４−１１",,"株式会社ギブギブ","代表取締役","藤本　正顕","香川県","高松市松縄町４３番地５",,"第10048号","H30.04.10"
"理容所","理容　岡林","761-8071","高松市伏石町２０５４番地１",,"岡林　武史",,,,,,"第10049号","H30.07.19"
"理容所","Ｂｅｌ","761-8072","高松市三条町９０−３","松本ビル１Ｆ北","太田　直樹",,,,,,"第10050号","H30.11.28"
"理容所","Ｈａｉｒ　Ｓｕｚｙ　（ヘアースージー）","761-0450","高松市三谷町５０８５−２",,"川筋　美由紀",,,,,,"第10051号","H30.12.21"
"理容所","ＮＥＳ 丸亀町店","760-0029","高松市丸亀町１３−３","高松丸亀町参番街東館２Ｆ","株式会社エステシェービングＮＥＳ","代表取締役","磯野　千恵子","香川県","高松市瓦町二丁目１２番地の１７",,"第10053号","H31.03.22"
"理容所","ＣＬＡＬＡ　Ｔａｋａｍａｔｓｕ","76000029","高松市丸亀町１３−３","高松丸亀町参番街東館２Ｆ","有限会社Ｐｒｉｓｍ　Ｃｒｅａｔｅ","代表取締役","磯野　勝也","香川県","高松市瓦町二丁目１２番地の１７",,"第10052号","H31.03.22"
"理容所","ＹＡＮＧ　ＢＡＲＢＥＲ","760-0080","高松市木太町４６６−４",,"合同会社ＹＡＮＧ　ＢＡＲＢＥＲ","代表社員","横山　ゆか","香川県","高松市木太町４６６番地４",,"第10054号","H31.04.08"
"理容所","Ｍｅｅｔ　Ｈａｉｒ","760-0080","高松市木太町３５９３−１","グリーンライフ木太１０６号","岩井　雅則",,,,,,"第10055号","H31.04.18"
"理容所","Ｔｈｅ　ＧＯＯＤＭＡＮ　ＣＵＴ　ＣＬＵＢ","761-8076","高松市多肥上町１４８７−３　２階",,"株式会社ROOMS FUJIOKA'S BARBER","代表取締役","藤岡　孝久","香川県","観音寺市大野原町大野原１２７０番地１",,"第10056号","R01.05.07"
"理容所","アシストヘアー","761-0311","高松市元山町１２７２−２",,"植松　智也",,,,,,"第10057号","R01.07.25"
"理容所","男のＢＯＮＤ　２ｎｄ","760-0079","高松市松縄町４３−５",,"加藤　幸伸",,,,,,"第10058号","R01.09.20"
"理容所","フルカワ理容所","761-0443","高松市川島東町４３１−２",,"古川　智子",,,,,,"第10059号","R01.11.13"
"理容所","びゅうてぃしょっぷ　しばや","761-8078","高松市仏生山町甲３２７番地１２",,"有限会社しばや","代表取締役","岡　朋子","香川県","高松市仏生山町甲３２７番地１２",,"第10060号","R01.11.26"
"理容所","ヘアーカットワン","761-8044","高松市円座町９２７−９",,"山田　晃一",,,,,,"第10061号","R02.02.14"
"理容所","ＢＡＲＢＥＲ　池原","760-0080","高松市木太町５１１６−２２","Ｄ−ｄｒｅａｍ　１Ｆ","株式会社池原","代表取締役","池原　英治","香川県","高松市木太町５１１６番地２２",,"第10062号","R02.03.23"
"理容所","アデランス高松","760-0023","高松市寿町１−１−１２","パシフィックシティ高松７Ｆ","株式会社アデランス","代表取締役","鈴木　洋昌","東京都","品川区東品川四丁目１２番６号",,"第10063号","R02.07.14"
"理容所","かみきりどころ理容ＨＡＰＰＹ","761-8076","高松市多肥上町１５１５番地",,"株式会社エスワン","代表取締役","清水　和彦","香川県","高松市木太町２３３９番地１",,"第10064号","R02.07.31"
"理容所","カットスタジオ　モルトン","761-8082","高松市鹿角町４５５−１",,"株式会社モルトン","代表取締役","山﨑　鎮永","香川県","高松市鹿角町４５５−１",,"第10065号","R03.01.14"
"理容所","理容ケンジ＆チサト","761-1703","高松市香川町浅野２１９３−４３",,"有限会社理容ケンジアンドチサト","代表取締役","藤川　富和","香川県","高松市大工町４番地１０",,"第10066号","R03.02.02"
"理容所","松原理容","761-0122","高松市牟礼町大町１５４１番地１",,"松原　敏晃",,,,,,"第10067号","R03.03.18"
"理容所","ＳＷＥＥＴ　ＨＡＩＲ","761-1701","高松市香川町大野２０７７−８",,"小谷　勇雄",,,,,,"第10068号","R03.11.19"
"理容所","ＢＡＲＢＥＲハナコ","760-0029","高松市丸亀町７−１６","丸亀町グリーン西館１階","株式会社エスワン","代表取締役","清水　和彦","香川県","高松市木太町２３３９番地１",,"第10069号","R03.11.29"
"理容所","髪切り処　ｍｕｓｕｂｉ","760-0080","高松市木太町１５７４−１",,"株式会社ムスビ","代表取締役","井上　一重","香川県","高松市木太町１５７４番地１",,"第10070号","R04.03.22"
"理容所","湊理容所","761-8064","高松市上之町２−１５−２５",,"綱内　康之",,,,,,"第10071号","R04.08.01"
"理容所","グルック","760-0060","高松市末広町７−２５","庄司第３ビル１階東","グルック株式会社","代表取締役","青木　麻由美","香川県","高松市香川町川東上１０１０番地１",,"第10072号","R04.11.15"
"理容所","理容　カットエー　仏生山店","761-8078","高松市仏生山町甲４８−３",,"株式会社カットツイン","代表取締役","手島　秀貴","大阪府","高槻市芥川町一丁目７番２６号","カワノビル","第10073号","R05.01.04"
"理容所","Ｍｅｎ’ｓ　Ｈａｉｒ　Ａｒｅｅｍ　瓦町店","760-0052","高松市瓦町二丁目１２番地の１７",,"有限会社Ｐｒｉｓｍ　Ｃｒｅａｔｅ","代表取締役","磯野　勝也","香川県","高松市瓦町二丁目１２番地の１７",,"第10074号","R05.01.16"
"理容所","癒しの空間　ヘアーサロン　るぽ","769-0103","高松市国分寺町福家３３８４−５",,"宮地　優",,,,,,"第10075号","R05.02.22"
"理容所","理容プラーナ　ザ・ビッグ国分寺","769-0104","高松市国分寺町新名６５４−３",,"株式会社ハマ","代表取締役","濱屋　勉","大阪府","堺市東区北野田１０７７番地１０５",,"第10077号","R05.08.18"
"理容所","ヘアーサロン　アオイ","761-0102","高松市新田町甲久本２０３４−２",,"稲毛　のり子",,,,,,"第10078号","R05.09.27"
"理容所","理容プラーナ　ハローズ多肥","761-8076","高松市多肥上町９７３−１",,"株式会社ハマ","代表取締役","濱屋　勉","大阪府","堺市東区北野田１０７７番地１０５",,"第10079号","R05.11.02"
"理容所","バーバースタイルズ高松店メンズ専門サロン（床屋）","760-0051","高松市南新町１０−１","木内ビル１Ｆ東","高橋　諒",,,,,,"第10080号","R05.11.21"
"理容所","ｓｏｉｌ","760-0052","高松市瓦町２−１０−２２","２Ｆ","三笠　弘人",,,,,,"第10081号","R06.01.26"
"理容所","エステシェービングＮＥＳ（イオン店）","761-8012","高松市香西本町１−１","イオンモール高松３Ｆ","株式会社エステシェービングＮＥＳ","代表取締役","磯野　千恵子","香川県","高松市瓦町二丁目１２番地の１７",,"第10082号","R06.01.30"
"理容所","Ｂｅａｕｔｙ　Ｆａｃｅ","760-0011","高松市浜ノ町１−２０","高松オルネ北館３Ｆ","株式会社エスワン","代表取締役","清水　和彦","香川県","高松市木太町２３３９番地１",,"第10083号","R06.02.20"
"理容所","Ｍｕｕｓ　ｈａｉｒ","760-0068","高松市松島町３−１０−４１",,"宗田　哲幸",,,,,,"第10084号","R06.02.28"
"理容所","ＧＲＩＮ　ＨＡＩＲ","760-0017","高松市番町４−１０−２０−１Ｆ",,"眞鍋　孝彰",,,,,,"第10085号","R06.03.05"
"理容所","アンジュ","769-0104","高松市国分寺町新名１６５２−３",,"西川　瑞穂",,,,,,"第10086号","R06.05.16"
"理容所","ＢＡＲＢＥＲ　タニモ","760-0003","高松市西町２１−２８",,"谷本　淳一郎",,,,,,"第10087号","R06.08.29"
